X1 X2 X3 X4 X5 Y1 Y2 Y3
0.9 -1.37 -1.09 0.7 1.02 -5.42 -3.23 -1.72
-0.03 0.23 0.25 -0.01 -0.4 2.2 1.56 2.21
-0.53 -1.89 0.01 -0.55 0.36 -2.14 0.33 -5.23
-1.05 -1.27 1.7 -0.43 -0.67 2.28 4.1 2.73
-1.2 0.48 0.98 0.1 -0.15 4.75 0.65 3.38
-1.71 -0.19 1.11 0.76 0.51 4.17 -2.37 -5.09
-0.34 1.81 -1.07 -0.65 -0.88 1.06 0.56 2.75
0.15 1 -2.06 2.34 1.75 -7.09 -9.64 -5.57
2.25 -0.4 -1.08 1.58 -0.55 -7.63 -3.62 1.6
1.36 -0.03 0.71 0.21 -0.64 1.64 1.91 4.15
0.97 0.42 0.01 1.43 -1.58 0.37 0.58 3.03
1.66 -0.93 -1.79 -0.33 -1.3 -5.98 1.4 0.63
-0.85 0.09 1.27 -0.26 -1.11 4.66 2.8 1.26
-1.02 1.55 1.62 0.05 -1.51 7.86 2.23 2.56
0.58 -1.57 -0.78 1.28 -0.11 -6.79 -2.88 -4.28
-0.32 -0.11 0.17 0.48 1.46 -0.09 -2.75 -3.84
1.25 -0.13 0.71 0.18 1.11 -0.43 -0.06 0.59
-1.91 1.68 -0.41 -0.52 0.55 3.88 -1.59 -0.48
-0.03 0.23 0.25 -0.01 -0.4 1.72 0.63 2.52
1.25 -0.13 0.71 0.18 1.11 -1.06 0.25 1.92
-1.02 1.55 1.62 0.05 -1.51 7.98 2.67 7.95
0.55 -0.31 -1.26 -1.25 -0.63 -1.61 3.19 1.11
0.06 0.16 0.22 -1.45 -1.38 2.73 5.33 5.33
0.69 -0.28 0.71 0.11 -0.3 0.91 1.53 0.68
0.71 1.06 -0.21 -1.6 0.8 2.19 2.19 -0.12
-0.16 1.5 -0.81 1.04 0.41 -1.27 -4.56 -1.03
0.1 1.06 -0.82 0.73 0.73 -0.21 -3.76 -0.63
0.95 0.08 -0.7 0.22 1.05 -4.03 -3 0.71
1.2 0.16 1.39 0.95 -0.67 1.96 2.19 3.33
-0.2 -0.49 -0.19 -0.51 -0.99 -0.64 2.89 -3.41
0.68 -0.69 -2.09 -1.15 -0.06 -4.47 0.18 -5.12
0.15 1 -2.06 2.34 1.75 -6.76 -11 -6.57
0.04 -0.04 0.23 -0.95 1.33 2.31 0.44 1.36
-1.25 1.57 -1.45 1.6 1.96 -3.64 -9.18 -5.65
-0.81 -1.14 -0.41 -0.29 -0.46 -1.25 1.07 -4.57
-0.54 0.22 0.33 1.35 0.35 -1.76 -3.22 3.09
-0.99 2.17 -1.34 0.15 0 -0.29 -3.28 0.89
-0.12 0.43 -0.31 1.31 1.03 -1.86 -5.52 -2.94
1.25 -0.13 0.71 0.18 1.11 -2.21 -0.44 1.71
1.24 1.19 0.67 -0.46 -1.54 3.06 4.38 9.88
0.41 -0.36 -0.6 0.59 1.39 -2.23 -4.32 2.8
-1.36 1.13 -0.39 -0.73 0.18 4.18 0.06 -1.27
1.65 0.29 1.58 -1.04 0.48 2.97 4.37 7.36
0 0.34 -0.55 -0.41 0.22 -1.91 -0.19 -3.65
-0.34 -0.78 0.12 1.98 1.35 -3.43 -5.68 -7.39
1.65 0.29 1.58 -1.04 0.48 1.96 3.23 5
1.3 -1.71 0.46 -0.09 -0.5 -1.94 2.75 1.74
-0.54 -1.34 1.01 0.17 -0.47 0.58 1.6 1.08
1.02 0.3 0.78 -0.71 -0.66 2.66 3.3 6.39
0.29 -1.55 0.92 0.51 -1.38 0.61 2.75 0.27
