X1 X2 X3 X4 X5 Y1 Y2 Y3
0.36 -0.27 -0.32 -0.71 0.8 -0.08 0.21 2.22
-0.11 -0.11 1.66 0.93 0.42 3.63 -0.06 2.37
-1.57 0.47 -0.85 -0.62 -2.15 1.18 2.07 -2.57
2.25 -0.4 -1.08 1.58 -0.55 -7.11 -2.07 0.87
-0.19 0.88 -0.57 0.27 1.55 -0.11 -3.79 0.98
1.87 -0.34 0.15 -0.48 -0.91 2.09 3.29 -0.13
-0.86 -0.43 -1.94 1.2 0.37 -6.7 -5.64 -5.53
0.24 -0.81 0.52 1.12 2.83 -2.78 -5.19 -3.12
-0.11 -0.11 1.66 0.93 0.42 0.68 -2.09 3.79
0.63 -0.91 -0.77 0.15 -0.88 -2.57 0.79 -0.21
-1.77 -0.43 -0.07 0.13 1.8 -0.25 -3.2 -2.86
0.62 0.69 -0.16 0.94 0.49 -1.76 -3.51 1.59
0.63 -0.91 -0.77 0.15 -0.88 -2.97 0.47 -2.47
0.69 -0.28 0.71 0.11 -0.3 1.47 0.76 -0.53
-1.77 -0.43 -0.07 0.13 1.8 -2.2 -4.37 -4.56
1.58 1.68 0.99 0.74 1.15 3.33 -1.66 2.31
-0.86 -0.43 -1.94 1.2 0.37 -6.86 -4.9 -7.41
0.62 0.69 -0.16 0.94 0.49 0.26 -2.61 0.04
0.04 -0.04 0.23 -0.95 1.33 1.26 -0.04 1.86
-0.99 2.17 -1.34 0.15 0 -0.95 -2.23 -0.12
-1.25 1.57 -1.45 1.6 1.96 -3.05 -9.62 -2
0.74 -0.12 0.88 -0.67 0.23 2.54 2.97 3.92
-1.95 -0.44 -0.98 -0.16 0.54 -2.55 -2.53 -2.92
-1.36 -0.23 0.69 1.38 -0.34 0.58 -2.16 -3.12
0.09 -0.53 -1.14 0.52 -0.14 -3.74 -1.45 -6.25
0.66 1.53 -0.47 2.55 1.15 -2.95 -8.15 -1.69
-0.19 -0.37 -0.77 1.76 0.3 -2.83 -4.76 -3.69
0.92 -0.19 -0.56 -0.74 1.92 -3.51 -2.13 0.9
-0.84 -0.76 -0.47 0.38 -1.41 -1.68 1.88 -2.33
0.2 0.8 1.61 -0.8 0.3 4.83 3.09 1.22
-0.1 0.9 0.53 -1.38 -0.2 4.75 2.72 0.98
1.1 0.97 0.39 -0.57 -1.71 3.88 3.84 4.67
0.17 -0.34 -1.74 0.12 1.4 -4.12 -3.91 -3.49
0.6 0.67 -0.87 -0.86 -1.81 0.54 3.93 2.01
1.12 -0.35 -0.85 -0.85 -1.63 -0.83 4.29 -0.33
-0.51 -0.24 1.13 -0.82 0.73 1.66 1.79 5.91
0.1 1.06 -0.82 0.73 0.73 -2.2 -4.09 0.32
-0.16 -0.9 -1.14 0.43 0.09 -4.16 -2.58 -4.54
-0.99 2.17 -1.34 0.15 0 -2.1 -2.92 -0.33
-0.19 -0.37 -0.77 1.76 0.3 -5.4 -4.9 -0.37
1.14 2.07 0.39 1.76 -1.75 3.8 -1.27 10
-0.16 -0.9 -1.14 0.43 0.09 -2.27 -1.64 -5.14
1.43 -0.25 0.35 -0.37 -2.35 0.31 6.25 5.77
1.33 0.16 0.66 -1.23 -1.02 1.73 5.58 1.66
-0.02 -1.67 0.13 0.39 0.29 -2.42 -0.1 -5.64
-3.04 -0.46 1.21 -1.08 2.2 1.37 -1.88 -3.63
-1.71 -0.19 1.11 0.76 0.51 1.71 -2.04 -0.39
-0.2 0.89 0.37 -0.46 0.37 2.18 0.16 3.54
-0.19 -0.37 -0.77 1.76 0.3 -4.68 -5.48 -2.12
2.5 -0.53 0.3 0.01 -0.63 -0.46 2.62 3.25
