X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.01 1.18 0.67 0.82 -1.82 4.38 1.5 5.88
-0.51 -0.24 1.13 -0.82 0.73 4.11 2.36 2.47
-0.08 -0.65 -1.09 -1.14 -1.5 -1.52 3.04 -2.71
0.63 -0.91 -0.77 0.15 -0.88 -4.49 1.2 0.58
-1.25 1.57 -1.45 1.6 1.96 -2.44 -9 -2.61
-0.31 0.83 1.59 -0.64 0.33 7.71 1.68 0.53
-1.71 -0.19 1.11 0.76 0.51 1.8 -2.09 -0.65
-0.73 0.68 1.47 -0.91 -0.76 6.47 4.78 4.52
0.71 1.06 -0.21 -1.6 0.8 -0.02 0.5 5.71
-0.54 -1.34 1.01 0.17 -0.47 1.42 1.62 0.46
-1.51 0.09 1.24 0.23 -0.6 4.82 1.78 2.21
0.95 1.41 0.06 1.58 0.34 -1 -4.49 2.78
0.48 -1.08 -0.33 -1.31 0.27 -1.15 2.19 -1.44
-1.46 1.94 0.04 -0.39 0.75 3.96 -2.58 -1.44
-0.69 -0.41 1.04 0.01 0.51 0.86 -0.32 -0.18
-0.2 -0.49 -0.19 -0.51 -0.99 1.01 3.08 -1.8
-0.15 -0.54 -0.84 -1.1 0.74 -2.39 0.96 -2.6
1.36 -0.03 0.71 0.21 -0.64 2.46 2.34 3.11
0.28 0.22 0.52 -0.2 1.36 1.35 -1.34 2.14
-0.38 1.82 -0.34 -1.43 -0.07 2.44 2.77 3.62
-1.25 1.57 -1.45 1.6 1.96 -3.05 -9.62 -2
-2.44 0.71 -0.92 -0.16 0.18 0.46 -1.92 -2.31
0.12 -0.2 0.63 -1.22 1.64 1.12 0.64 2.91
0.36 -0.27 -0.32 -0.71 0.8 -1.15 0.18 -1.43
0.08 -0.29 0.44 0.36 0.47 0.21 -0.46 -3.56
1.12 -0.35 -0.85 -0.85 -1.63 -1.29 4.01 1.56
-0.14 -1.19 -0.21 -0.97 0.06 0.48 2.32 -0.65
0.15 -0.68 0.58 -0.22 0.33 -0.71 0.4 1.92
-0.41 0.31 0.36 -0.68 1.17 1.2 0.67 0.18
-0.33 0.33 0.75 0.37 -2.3 2.64 3.77 -0.74
-0.69 -0.41 1.04 0.01 0.51 2.49 -0.53 -2.78
-0.84 -0.27 0.47 -0.13 1.12 1.13 -2 -2
-0.86 -0.43 -1.94 1.2 0.37 -4.8 -5.24 -5.57
-0.12 0.43 -0.31 1.31 1.03 -2.17 -4.81 -2.88
-0.54 -1.34 1.01 0.17 -0.47 1.24 1.89 -2.61
0.73 -0.07 -0.62 1.84 -0.94 -4.83 -2.47 3.09
-2.49 1.05 1.01 -0.05 -0.9 5.31 0.88 2.48
-0.91 0.75 1.17 -0.17 0.92 4.23 -1.14 0.79
1.34 0.96 0.08 2.99 0.65 -5.06 -6.7 -0.45
-0.16 -0.9 -1.14 0.43 0.09 -5.45 -1.94 -0.06
0.69 0.74 0.94 -1.14 -0.25 5.75 3.32 10.51
1.25 -0.13 0.71 0.18 1.11 2.2 -0.31 0.23
1.5 -0.81 0.49 0.37 0.37 -2.6 0.75 2.33
1.34 0.96 0.08 2.99 0.65 -4.2 -6.9 -4.18
-0.1 0.55 -0.2 1.41 -1.23 -0.29 -1.1 -3.1
-1.91 1.68 -0.41 -0.52 0.55 0.28 -2.51 -1.35
-2.75 -1.98 -0.7 -1.83 0.11 -1.52 2.23 -4.05
-0.54 0.22 0.33 1.35 0.35 -0.66 -3.55 0.15
-0.66 -2.01 -0.04 -0.73 0.76 -2.53 0.24 -1.37
-0.2 0.89 0.37 -0.46 0.37 2.95 0.16 1.83
