X1 X2 X3 X4 X5 Y1 Y2 Y3
0.68 -0.69 -2.09 -1.15 -0.06 -4.08 0.9 0.17
-0.19 -0.37 -0.77 1.76 0.3 -3.36 -4.23 -3.04
-1.25 1.57 -1.45 1.6 1.96 -3.78 -10.1 -7.39
0.15 1.68 1.61 1.98 -2.08 3.8 0.63 6.64
0.28 0.22 0.52 -0.2 1.36 1.95 -0.81 3.13
1.14 -0.3 1.64 0.24 1.14 4.06 -0.24 -0.85
2.05 1.46 -0.08 -0.39 0.16 0.85 0.78 5.7
-0.85 0.09 1.27 -0.26 -1.11 4.72 3.94 2.78
0.95 1.41 0.06 1.58 0.34 -2.23 -5.17 3.81
1.69 -0.92 -0.33 0.11 0.21 -2.66 0.15 0.97
0.04 -0.51 0.56 2.16 -1.08 -0.27 -1.24 0.33
-0.69 -0.41 1.04 0.01 0.51 1.26 -0.48 1.53
0.12 -0.2 0.63 -1.22 1.64 1.64 0.32 -0.21
0.47 -0.36 -0.47 2.03 -1.93 -2.51 -2.04 -3.73
-0.2 -0.49 -0.19 -0.51 -0.99 -0.98 2.11 -0.03
-0.1 0.55 -0.2 1.41 -1.23 0.42 -0.95 -2.16
1.53 2.18 0.85 -0.34 1.43 3.38 -0.12 4.72
0.41 -0.5 -0.24 0.06 -0.38 0.01 0.9 -0.35
-0.85 0.09 1.27 -0.26 -1.11 5.1 3.06 3.93
-0.47 -1.29 0.67 -1.72 1.33 0.03 3.45 0.07
-0.16 -0.9 -1.14 0.43 0.09 -3.88 -2.3 -0.83
-0.2 0.89 0.37 -0.46 0.37 2.89 0.89 2.99
1.28 -1.15 -0.86 -1.22 1.19 -4.1 0.66 0.79
0.2 0.8 1.61 -0.8 0.3 5.46 2.79 3.65
0.68 -0.69 -2.09 -1.15 -0.06 -4.74 1.25 -5.6
0.73 -0.07 -0.62 1.84 -0.94 -3.53 -2.79 -1.64
-1.35 -1.51 0.63 -1.42 -0.53 3.5 4.66 -0.15
1.48 -0.9 -0.06 -0.15 -0.15 -2.99 1.05 2.44
0.69 -0.64 0.52 -0.54 -0.94 0.81 4.84 1.97
-0.16 1.5 -0.81 1.04 0.41 -1.9 -4.07 -4.45
-0.47 -1.29 0.67 -1.72 1.33 1.66 1.85 -3.14
-0.96 0.62 -0.8 0.05 -1.65 0.85 0.23 -1.05
0.47 -0.36 -0.47 2.03 -1.93 -1.36 -1.03 -0.44
-1.46 1.94 0.04 -0.39 0.75 3.48 -1.69 0.31
2.25 -0.4 -1.08 1.58 -0.55 -5.36 -2.21 -2.99
-1.78 -2.36 1.25 1.08 0.6 -2.4 -1.63 -0.36
0.04 -0.51 0.56 2.16 -1.08 -1.56 -2.09 0.25
-0.63 0.38 -0.04 -1.24 -0.63 2.77 2.55 0.98
1.73 -0.09 1.98 1.16 0.39 0.01 0.26 4
0.17 -0.34 -1.74 0.12 1.4 -6.73 -4.11 -0.62
0.5 -1.8 -1.82 -0.42 3.09 -7.11 -5.65 -1.42
0.95 1.41 0.06 1.58 0.34 1.86 -3.51 -0.01
1.44 0.49 0.48 -0.19 0.62 -0.32 0.98 4.47
0.29 -1.55 0.92 0.51 -1.38 -1.22 2.97 -3.18
-0.19 -0.37 -0.77 1.76 0.3 -4.2 -4.6 -7.07
-0.09 1.36 0.91 -0.19 -0.08 2.11 0.31 2.78
1.69 -0.92 -0.33 0.11 0.21 -3.57 0.21 1.17
0 0.34 -0.55 -0.41 0.22 -0.85 -0.4 1.51
0.74 -0.12 0.88 -0.67 0.23 1.87 1.9 4.87
-0.34 1.81 -1.07 -0.65 -0.88 1.81 0.52 1.71
