X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.46 1.94 0.04 -0.39 0.75 4.46 -1.78 3.42
-1.25 1.57 -1.45 1.6 1.96 -2.57 -8.6 -3.91
-0.81 -1.14 -0.41 -0.29 -0.46 -1.77 0.18 -4.89
0.69 -0.28 0.71 0.11 -0.3 -0.38 1.76 3.64
-0.54 -1.34 1.01 0.17 -0.47 2.06 2.11 1.86
0.5 1.35 -0.06 -1.47 1.13 4.48 0.51 -0.32
0.69 0.74 0.94 -1.14 -0.25 4.03 3.75 5.94
-1.36 1.13 -0.39 -0.73 0.18 2.18 0.36 0.29
1.43 -0.25 0.35 -0.37 -2.35 -0.36 4.45 6.84
1.61 1.07 2.16 0.34 -0.53 6.34 2.75 8.24
0.9 -0.16 -2.75 0 0.2 -6.55 -2.11 -2.43
1.02 0.3 0.78 -0.71 -0.66 2.26 3.2 5.86
-0.54 0.22 0.33 1.35 0.35 -0.23 -3.84 -2.72
0.17 0.06 -0.82 -0.26 -0.46 -0.96 -0.28 -2.75
-0.51 -0.24 1.13 -0.82 0.73 1.99 1.18 1.14
1.42 -0.27 -0.71 -0.04 0.71 -2.29 -0.5 -2.31
-0.55 -2.53 -0.91 0.38 2 -7.55 -3.63 -8.63
1.1 0.97 0.39 -0.57 -1.71 4.71 4.81 5.36
0.08 -0.29 0.44 0.36 0.47 0.48 -1.07 1.15
0.1 0.66 -0.11 0.52 -0.32 -0.87 0.02 1.02
1.1 0.97 0.39 -0.57 -1.71 3.93 4.23 8.42
-0.69 -2.6 -0.94 0.47 -0.51 -5.39 0.04 -5.03
-0.53 -1.89 0.01 -0.55 0.36 -2.36 0.96 -0.98
-0.47 -1.29 0.67 -1.72 1.33 1 2.54 -1.49
1.09 -0.81 0.89 -0.37 -1.29 1.92 5.11 -0.09
1.49 1.99 -0.47 1.43 0.1 -0.86 -3.89 2.02
1.14 1.65 0.4 0.17 -0.48 4.36 0.97 5.1
1.09 -0.81 0.89 -0.37 -1.29 0.54 4.17 4.86
0.03 -0.77 0.59 -0.06 -0.57 0.4 3.06 0.3
-0.41 1.05 -0.22 0.65 -1.16 0.36 -0.05 -2.71
-1.91 1.68 -0.41 -0.52 0.55 3.09 -2.53 -3.25
0 0.34 -0.55 -0.41 0.22 -0.02 -0.92 -0.84
0.73 -0.07 -0.62 1.84 -0.94 -1.81 -2.35 -0.54
-1.49 0.23 -0.71 -0.25 -0.82 0.09 0.37 -2.29
0.1 1.06 -0.82 0.73 0.73 -1.43 -3.85 -3.15
-2.49 1.05 1.01 -0.05 -0.9 4.32 1.17 5.62
-0.1 0.55 -0.2 1.41 -1.23 -0.91 -1.59 1.23
1.3 -1.71 0.46 -0.09 -0.5 -1.27 2.27 -0.16
0.9 -0.52 0.89 -1.62 1.09 -0.16 3.54 3.03
0.97 -0.08 0.54 1.97 -0.14 -2.4 -2.73 3.78
-1.25 1.57 -1.45 1.6 1.96 -2.19 -9.88 0.51
0.34 0.89 0.72 -0.7 -1.25 6.49 4.47 3.45
-1.49 -0.86 -0.8 0.15 -0.72 -3.36 0.07 -2.4
-0.16 -0.9 -1.14 0.43 0.09 -5.81 -1.97 -7.39
1.58 0.3 1.8 -1.56 -0.03 5.88 6.36 4.29
-0.23 1.34 1.76 -0.75 -0.03 4.77 2.29 4.61
1.73 -0.09 1.98 1.16 0.39 1.85 -0.06 5.02
0.33 -0.23 1.98 -1.81 0.19 5.82 5.77 6.98
-1.77 -0.43 -0.07 0.13 1.8 -1.4 -4.44 -2.32
0 0.34 -0.55 -0.41 0.22 -0.08 -0.41 -0.19
