X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.57 0.47 -0.85 -0.62 -2.15 2.3 2.91 2.29
-1.49 -0.86 -0.8 0.15 -0.72 -1.07 0.3 -2.74
1.87 -0.34 0.15 -0.48 -0.91 -0.16 2.93 0.98
0.69 -0.64 0.52 -0.54 -0.94 -0.26 4.07 4.03
-1.77 -0.43 -0.07 0.13 1.8 0.05 -3.59 -1.95
-1.49 0.23 -0.71 -0.25 -0.82 2.2 -0.19 -5.14
-1 -0.45 -0.04 2.68 0.03 -3.5 -6.16 -3.83
-0.19 -0.37 -0.77 1.76 0.3 -4.22 -4.29 -3.88
0.95 0.08 -0.7 0.22 1.05 -4.86 -3.76 1.58
0.47 -0.36 -0.47 2.03 -1.93 -2.44 -1.45 -0.35
0.69 -0.64 0.52 -0.54 -0.94 2.02 4.53 3.72
-0.66 -2.01 -0.04 -0.73 0.76 -2.94 0.14 -1.89
1.44 0.49 0.48 -0.19 0.62 1.06 0.01 1.76
0.47 -0.3 -0.75 0.5 -1.95 -1.39 0.87 -2.42
0.17 0.06 -0.82 -0.26 -0.46 -2.49 0.01 -0.58
1.73 -0.09 1.98 1.16 0.39 3.14 0.54 1.83
-1.8 0.05 1.19 1.13 0.23 1.97 -1.73 -2.34
1.1 0.97 0.39 -0.57 -1.71 4.71 4.81 5.36
0.41 -0.5 -0.24 0.06 -0.38 -0.77 0.41 1.11
-0.03 0.23 0.25 -0.01 -0.4 0.08 1.76 1.5
-0.3 -0.09 1.37 1.84 1.57 0.87 -5.28 1.65
-0.69 -0.41 1.04 0.01 0.51 2.33 0.69 1.11
0.6 0.67 -0.87 -0.86 -1.81 0.18 3.64 4.52
-0.1 0.9 0.53 -1.38 -0.2 4.09 3.42 2.63
-1.77 -0.43 -0.07 0.13 1.8 -0.83 -3.52 -7.64
0.97 -0.08 0.54 1.97 -0.14 -1.51 -2.96 -0.18
0.9 -0.52 0.89 -1.62 1.09 3.63 3.51 3.3
1.66 -0.93 -1.79 -0.33 -1.3 -6.39 1.48 0.78
-1.36 -0.23 0.69 1.38 -0.34 0.35 -1.16 -2.22
-0.12 0.43 -0.31 1.31 1.03 -2.89 -4.62 -5.84
1.87 -0.34 0.15 -0.48 -0.91 0.57 3.04 0.54
-1.36 -0.23 0.69 1.38 -0.34 1.21 -2.88 -2.68
-0.23 1.34 1.76 -0.75 -0.03 8.64 3.2 6.43
0.04 -0.51 0.56 2.16 -1.08 -1.17 -1.82 -1.79
-0.19 -0.37 -0.77 1.76 0.3 -4.05 -4.85 -6.22
-0.09 0.78 0.38 0.49 0.56 -0.27 -1.71 5.26
1.28 -1.15 -0.86 -1.22 1.19 -4.13 0.68 0.32
1.14 0.92 -0.68 1.82 -1.23 -1.92 -2.96 -0.14
-1.49 -0.86 -0.8 0.15 -0.72 -4.34 -0.2 -3.66
0.68 -0.69 -2.09 -1.15 -0.06 -6.03 0.91 1.48
-0.32 -0.11 0.17 0.48 1.46 0.42 -3.82 3.66
0.34 -0.54 -0.48 0.79 0.26 -0.94 -1.83 -3.46
-1.49 -0.86 -0.8 0.15 -0.72 -3.36 0.07 -2.4
-1.51 0.09 1.24 0.23 -0.6 2.58 1.09 -2.82
1.66 -0.93 -1.79 -0.33 -1.3 -5.09 2.38 -3.79
-1.95 -0.44 -0.98 -0.16 0.54 -4.42 -3.02 -5.71
-0.85 0.09 1.27 -0.26 -1.11 4.16 3.18 3.72
-0.84 -0.27 0.47 -0.13 1.12 0.3 -1.48 0.35
1.14 0.92 -0.68 1.82 -1.23 -2.49 -2.91 2.59
1.14 -0.3 1.64 0.24 1.14 2.44 0 2.55
