X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.74 0.62 -0.46 -1.39 -0.82 3.1 3.18 3.94
-1.8 0.05 1.19 1.13 0.23 3.46 -1.62 -0.3
-0.84 -0.76 -0.47 0.38 -1.41 -1.51 0.07 -4.44
0.97 -0.08 0.54 1.97 -0.14 -2.8 -2.54 1.79
0.62 0.69 -0.16 0.94 0.49 0.09 -2.56 2.48
2.05 1.46 -0.08 -0.39 0.16 3.22 0.5 1.25
-0.34 -0.78 0.12 1.98 1.35 -3.92 -6.17 -3.51
-2.12 -1.23 1.69 -0.42 -1.5 4.92 5.25 0.61
1.28 -1.15 -0.86 -1.22 1.19 -5.63 -0.49 1.45
-1.49 0.23 -0.71 -0.25 -0.82 0.65 0.08 -0.65
0 0.34 -0.55 -0.41 0.22 0.33 0.49 1.38
0.09 -0.53 -1.14 0.52 -0.14 -4.72 -2.47 -1.45
-0.41 0.26 0.83 0.56 0.75 1.59 -2.23 -1.12
0.69 -0.64 0.52 -0.54 -0.94 1.6 3.07 -0.14
1.02 0.3 0.78 -0.71 -0.66 1.86 3.37 4.15
-0.1 0.55 -0.2 1.41 -1.23 0.42 -0.95 -2.16
-1.46 1.94 0.04 -0.39 0.75 3.06 -1.22 0.01
0.79 -0.51 -0.07 -0.22 0.36 0.07 0.68 0.1
2.5 -0.53 0.3 0.01 -0.63 -0.36 2.59 4.75
-0.12 0.43 -0.31 1.31 1.03 -3.22 -4.03 -1.85
0.41 -0.97 0.29 0.25 -0.89 -0.08 1.52 3.15
-0.99 2.17 -1.34 0.15 0 0.53 -2.61 0.56
0.1 1 0.37 0.53 2.76 -0.43 -5.62 1.3
0.22 -2.09 2.81 0.83 1.06 2.03 0.64 -0.74
0.5 1.35 -0.06 -1.47 1.13 2.69 1.33 -0.13
-0.16 1.5 -0.81 1.04 0.41 -1.27 -4.56 -1.03
-0.14 -1.19 -0.21 -0.97 0.06 0.48 2.32 -0.65
1.14 0.92 -0.68 1.82 -1.23 -3.3 -2.93 2.21
0.5 1.35 -0.06 -1.47 1.13 2.06 1.96 2.9
0.15 1.68 1.61 1.98 -2.08 4.46 0.7 1.25
0.16 -1.19 0.35 0.98 0.41 -1.68 -2.43 -5.02
0.65 0.81 1.43 -0.58 0.09 5.34 1.97 4.27
1.02 0.3 0.78 -0.71 -0.66 4.55 4.09 5.28
0.33 -1.74 0.89 -0.93 0.66 0.12 2.9 -0.58
-1.05 -1.27 1.7 -0.43 -0.67 4.03 3.95 -1.13
-0.52 -0.44 0.36 1.72 1.52 -3.72 -5.56 0.9
0.34 0.89 0.72 -0.7 -1.25 3.89 3.97 6.15
-0.99 2.17 -1.34 0.15 0 0.41 -3.72 -1.21
-1.77 -0.43 -0.07 0.13 1.8 -3.35 -3.69 -4.16
-0.93 1.34 -1.87 -1.15 -0.42 -1.65 0.09 3.04
1.03 -0.22 1.2 0.75 -0.41 2.9 0.45 8.07
0.13 0.64 0.8 0.29 -0.07 4.65 0.58 0.95
0.28 0.22 0.52 -0.2 1.36 -0.46 -0.63 2.18
-0.84 -0.27 0.47 -0.13 1.12 -0.76 -1.27 -4.81
1.24 1.19 0.67 -0.46 -1.54 4.26 4.68 3.18
-3.04 -0.46 1.21 -1.08 2.2 1.37 -1.88 -3.63
1.58 1.68 0.99 0.74 1.15 2.04 -2.26 5.49
0.17 0.06 -0.82 -0.26 -0.46 -1.72 0.29 1.25
1.24 0.31 -0.44 -0.17 0.91 -1.89 -1.58 2.75
2.05 1.46 -0.08 -0.39 0.16 1.6 0.74 4.66
