X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.47 -1.29 0.67 -1.72 1.33 2.06 2.57 2.15
0.18 -0.13 -0.76 0.1 0.01 -1.2 -0.18 -0.2
-2.49 1.05 1.01 -0.05 -0.9 5.56 0.23 -1.31
0.63 -0.91 -0.77 0.15 -0.88 -4.49 1.2 0.58
0.34 -0.54 -0.48 0.79 0.26 -1.94 -1.86 0.24
1.14 0.92 -0.68 1.82 -1.23 -0.13 -2.81 -2.93
0.73 -0.07 -0.62 1.84 -0.94 -3.71 -2.75 -0.51
0.58 0.52 0.59 1.78 1.59 -0.88 -4.86 -0.44
-0.1 0.55 -0.2 1.41 -1.23 -2.41 -2.76 2.35
0.34 -0.54 -0.48 0.79 0.26 -2.59 -2.34 -1.16
0.47 -0.36 -0.47 2.03 -1.93 -2.09 -0.58 0.13
-1.2 0.48 0.98 0.1 -0.15 2.9 -0.3 2.49
0 0.34 -0.55 -0.41 0.22 -0.42 -0.7 -1.36
0.04 -0.04 0.23 -0.95 1.33 1.16 -0.58 -1.93
-1.02 1.55 1.62 0.05 -1.51 6.33 2.52 4.72
-0.34 1.81 -1.07 -0.65 -0.88 2.27 1.21 -0.19
-1.94 -0.71 -0.55 -0.18 0.03 -1.63 -0.35 -4.93
-0.41 0.26 0.83 0.56 0.75 2.81 -1.48 0.1
-0.66 -2.01 -0.04 -0.73 0.76 -1.7 0.55 -1.99
0.73 -0.07 -0.62 1.84 -0.94 -4.5 -1.7 -1.06
1.3 -1.71 0.46 -0.09 -0.5 -0.99 2.55 3.55
-0.41 0.31 0.36 -0.68 1.17 1.93 0.19 1.53
0.36 -0.27 -0.32 -0.71 0.8 -1.43 0.01 1.61
2.05 1.46 -0.08 -0.39 0.16 1.03 0.94 3.58
1.43 -0.25 0.35 -0.37 -2.35 1.85 6.15 1.02
0.2 0.8 1.61 -0.8 0.3 5.46 2.6 4.64
1.24 1.19 0.67 -0.46 -1.54 5.63 4.52 6.56
0.02 -1.03 -1.71 -1.01 -1.04 -4.94 1.8 -0.65
0.22 -2.09 2.81 0.83 1.06 1.8 1.64 0.16
0.55 -0.31 -1.26 -1.25 -0.63 -2.75 2.97 -3.56
-1.46 1.94 0.04 -0.39 0.75 4.06 -2.5 -1.87
0 0.35 0.29 -0.85 -0.93 3.18 2.77 2
1.24 0.31 -0.44 -0.17 0.91 0 -0.79 1.64
-0.99 2.17 -1.34 0.15 0 0.1 -3.01 -1.15
1.36 -0.03 0.71 0.21 -0.64 1.47 2.18 1.08
0.5 -1.8 -1.82 -0.42 3.09 -9.95 -4.93 -2.39
0.28 0.22 0.52 -0.2 1.36 0.37 -1.26 2.14
0.36 -0.27 -0.32 -0.71 0.8 -0.75 -0.42 -0.95
0.18 -0.13 -0.76 0.1 0.01 -4.47 -0.68 -1.12
1.73 -0.09 1.98 1.16 0.39 1.23 0.09 7.59
1.2 0.16 1.39 0.95 -0.67 3.72 0.6 9.11
-1.78 -2.36 1.25 1.08 0.6 1.19 -1.42 -6.2
-1.46 1.94 0.04 -0.39 0.75 2.26 -1.33 2.39
0.61 0.06 -0.91 -0.45 -0.94 -2.72 1.79 -2.94
-1.49 0.23 -0.71 -0.25 -0.82 0.32 0.59 -4.57
1.61 1.07 2.16 0.34 -0.53 3.56 2.26 6.33
-1.91 1.68 -0.41 -0.52 0.55 2.15 -1.95 0.77
1.43 -0.25 0.35 -0.37 -2.35 1.25 5.57 5.94
0.15 -0.68 0.58 -0.22 0.33 0.11 0.42 2.3
1.87 -0.34 0.15 -0.48 -0.91 0.47 3.53 3.27
