X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.11 -0.11 1.66 0.93 0.42 3.55 -0.73 3.74
-0.17 -0.8 0.43 1.48 -0.51 -0.3 -0.84 -0.62
-0.53 -1.89 0.01 -0.55 0.36 -2.14 0.33 -5.23
1.02 0.3 0.78 -0.71 -0.66 1.54 4.08 6.16
-0.69 -2.6 -0.94 0.47 -0.51 -4.61 -0.18 -3.7
-0.66 -2.01 -0.04 -0.73 0.76 -0.18 0.34 -6.89
0.15 1.68 1.61 1.98 -2.08 4.91 0.24 5.8
0.51 -1.11 -0.15 1.32 1.5 -4.36 -3.95 -3.5
-1.05 -1.27 1.7 -0.43 -0.67 1.77 2.54 3.46
-0.97 -0.95 -1.69 0.74 0.06 -5.25 -3.75 -5.15
-0.52 -0.44 0.36 1.72 1.52 -1.43 -5 -2.17
-0.32 -0.11 0.17 0.48 1.46 -1.68 -3.88 -0.36
-0.51 -0.24 1.13 -0.82 0.73 3.2 1.17 0.1
-0.54 0.22 0.33 1.35 0.35 0.1 -4.12 -3.84
-0.52 -0.44 0.36 1.72 1.52 -3.39 -6.17 -3.87
-0.24 1.88 -0.43 -0.96 -0.15 3.75 1.44 0.89
-1 -0.45 -0.04 2.68 0.03 -3.65 -5.41 -5.72
1.14 -0.3 1.64 0.24 1.14 3.32 0.46 2.6
0.74 -0.12 0.88 -0.67 0.23 2.71 2.21 4.25
0.9 -0.52 0.89 -1.62 1.09 0.99 4.24 3.24
1.02 0.3 0.78 -0.71 -0.66 3.5 3.52 7.38
0.79 -0.51 -0.07 -0.22 0.36 -0.88 0.95 1.22
0.1 1.06 -0.82 0.73 0.73 -2.17 -4.11 0.79
0.33 -1.74 0.89 -0.93 0.66 0.03 2.78 -1.12
-0.41 0.26 0.83 0.56 0.75 1.76 -1.36 -3.16
0.11 1.77 0.08 -0.11 -0.43 2.86 0.2 3.11
0.73 -0.07 -0.62 1.84 -0.94 -1.85 -2.42 -1
1.48 -0.9 -0.06 -0.15 -0.15 -2.99 1.05 2.44
-0.63 0.38 -0.04 -1.24 -0.63 2.15 4.15 1.4
0.13 0.64 0.8 0.29 -0.07 1.73 0.54 -1.36
-1.05 -1.27 1.7 -0.43 -0.67 4.24 3.17 -1.88
-0.23 1.34 1.76 -0.75 -0.03 7.55 2.24 4.78
0.95 1.41 0.06 1.58 0.34 1.29 -3.6 2.19
0.97 0.42 0.01 1.43 -1.58 -0.54 0 0.91
-0.03 0.23 0.25 -0.01 -0.4 1.51 0.95 -0.96
-0.16 1.5 -0.81 1.04 0.41 -2.57 -4.24 3.7
0.36 -0.27 -0.32 -0.71 0.8 -1.45 0.02 1.14
-0.53 -1.89 0.01 -0.55 0.36 -1.69 0.54 -3.55
-1.25 1.57 -1.45 1.6 1.96 -5.84 -9.09 -4.83
-2.49 1.05 1.01 -0.05 -0.9 4.72 1.07 4.85
0.71 1.06 -0.21 -1.6 0.8 3.32 1.24 8.7
0.34 -0.54 -0.48 0.79 0.26 -0.94 -1.83 -3.46
-1.05 -1.27 1.7 -0.43 -0.67 2.43 4.34 2.39
-1.88 1.24 -0.56 -0.39 0.51 0.08 -2 -4.9
-3.04 -0.46 1.21 -1.08 2.2 3.84 -0.88 -5.64
-0.41 0.26 0.83 0.56 0.75 -0.79 -2.4 -0.77
-1.95 -0.44 -0.98 -0.16 0.54 -2.54 -2.47 -3.59
-0.02 -1.67 0.13 0.39 0.29 -2.94 -0.63 -1.1
0.69 -0.64 0.52 -0.54 -0.94 0.87 3.29 4.27
-0.47 -1.29 0.67 -1.72 1.33 1.57 2.34 -0.41
