X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.2 -0.49 -0.19 -0.51 -0.99 1.06 2.62 2.66
-1.78 -2.36 1.25 1.08 0.6 0.05 -1.06 -3.81
0.2 -1.66 0.42 -0.23 -0.2 -1.21 1.27 -3.24
0.2 0.8 1.61 -0.8 0.3 4.17 3.03 6.61
-0.55 -2.53 -0.91 0.38 2 -5.93 -3.92 -5.29
-0.51 -0.24 1.13 -0.82 0.73 5.15 1.22 -2.13
-1.05 -1.27 1.7 -0.43 -0.67 3.39 3.71 1.89
-0.11 -0.11 1.66 0.93 0.42 2.78 -0.12 1.53
-1.46 1.94 0.04 -0.39 0.75 1.59 -3.13 3.47
-1.46 1.94 0.04 -0.39 0.75 4.03 -1.99 1.94
-0.17 -0.8 0.43 1.48 -0.51 -0.46 -0.85 -0.24
0.08 -0.29 0.44 0.36 0.47 -0.77 -1.48 1.24
0.5 -1.8 -1.82 -0.42 3.09 -8.41 -5.56 -8.2
-0.2 1.95 -1.09 0.54 0.72 -0.36 -5.09 -2.83
-1.77 -0.43 -0.07 0.13 1.8 -2.2 -4.37 -4.56
-0.19 0.88 -0.57 0.27 1.55 -0.36 -3.61 -3.4
-1.05 -1.27 1.7 -0.43 -0.67 3.24 4.45 0
-1.35 -1.51 0.63 -1.42 -0.53 3.28 4.74 -0.64
1.48 -0.9 -0.06 -0.15 -0.15 -1.34 1.39 2.2
-0.01 1.18 0.67 0.82 -1.82 2.35 2.37 3.8
-0.02 -1.67 0.13 0.39 0.29 -2.06 -0.76 0.3
-0.16 1.5 -0.81 1.04 0.41 -0.76 -3.85 0.23
-0.54 0.22 0.33 1.35 0.35 -0.74 -3.52 0.41
2.05 1.46 -0.08 -0.39 0.16 1.03 0.94 3.58
0.33 -0.23 1.98 -1.81 0.19 6.42 6.34 2.06
-1.8 0.05 1.19 1.13 0.23 2.31 -2.51 -1.59
0.63 -0.91 -0.77 0.15 -0.88 -1.52 1.14 -0.75
-1.8 0.05 1.19 1.13 0.23 1.33 -2.88 0.24
0.37 -0.24 0.82 -1.55 1.48 1.91 3.1 1.83
-0.1 0.9 0.53 -1.38 -0.2 3.46 3.72 0.2
-0.08 -0.65 -1.09 -1.14 -1.5 -0.8 3.15 -3.15
-0.53 -1.89 0.01 -0.55 0.36 -1.45 0.41 -3.59
-0.1 0.9 0.53 -1.38 -0.2 5.81 3.66 4.71
0.15 1.68 1.61 1.98 -2.08 5.18 0.52 4.21
0.63 -0.91 -0.77 0.15 -0.88 -2.74 1.05 -3.28
-1.05 -1.27 1.7 -0.43 -0.67 2.27 4 5.49
0.95 1.41 0.06 1.58 0.34 -0.73 -4 2.68
-0.69 -2.6 -0.94 0.47 -0.51 -5.5 -1.07 -6.8
0.62 0.69 -0.16 0.94 0.49 -3.31 -2.66 0.27
0.5 -1.8 -1.82 -0.42 3.09 -9.54 -5.02 -3.16
0.9 -0.52 0.89 -1.62 1.09 3.49 2.75 8.36
0.33 -1.74 0.89 -0.93 0.66 2.32 3.12 -1.24
0.1 0.66 -0.11 0.52 -0.32 -1.04 -0.4 2.07
-0.96 0.62 -0.8 0.05 -1.65 -1.03 0.96 -3.86
0.03 -0.77 0.59 -0.06 -0.57 0.94 2.39 -2.35
-0.73 0.68 1.47 -0.91 -0.76 4.03 3.47 3.34
1.65 0.29 1.58 -1.04 0.48 3.84 3.78 7.12
0.74 -0.12 0.88 -0.67 0.23 1.83 2.24 4.46
-0.09 0.78 0.38 0.49 0.56 0.87 -2.39 2.74
1.73 -0.09 1.98 1.16 0.39 2.69 -0.15 3.72
