X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.36 -0.23 0.69 1.38 -0.34 1.64 -2.13 0.53
0.34 0.89 0.72 -0.7 -1.25 5.35 4.83 5.85
-0.11 -0.11 1.66 0.93 0.42 2.43 -1.57 -1.12
0.9 -0.16 -2.75 0 0.2 -8.82 -2.57 -2.12
0.09 -0.53 -1.14 0.52 -0.14 -2.87 -1.52 -0.56
-0.84 -0.27 0.47 -0.13 1.12 2.69 -1.73 -4.76
-0.81 -1.14 -0.41 -0.29 -0.46 -1.89 0.83 -1.56
-0.2 0.89 0.37 -0.46 0.37 2.67 1.01 2.18
-0.2 -0.49 -0.19 -0.51 -0.99 -1.81 1.27 2.71
-2.44 0.71 -0.92 -0.16 0.18 0.59 -2.61 -2.39
-0.73 0.68 1.47 -0.91 -0.76 7.16 4.83 5.74
-2.12 -1.23 1.69 -0.42 -1.5 4.05 3.96 1.85
0.9 -0.16 -2.75 0 0.2 -7.3 -3.3 -5.17
-0.81 -1.14 -0.41 -0.29 -0.46 -1.15 0.22 -4.88
-0.41 0.31 0.36 -0.68 1.17 0.45 -0.81 0.24
-2.49 1.05 1.01 -0.05 -0.9 6.64 1.52 -0.91
0.5 1.35 -0.06 -1.47 1.13 1.96 1.54 2.24
0.12 -0.2 0.63 -1.22 1.64 2.85 1.07 1
1.24 0.31 -0.44 -0.17 0.91 -1.05 -1.27 2.13
-3.04 -0.46 1.21 -1.08 2.2 2.55 -0.32 -2.32
-1.46 1.94 0.04 -0.39 0.75 4.07 -2.13 3.96
0.9 -1.37 -1.09 0.7 1.02 -5.97 -2.74 -3.12
0.24 -0.81 0.52 1.12 2.83 -3.36 -6.01 -1.51
0.36 -0.27 -0.32 -0.71 0.8 -1.15 0.18 -1.43
-0.12 0.43 -0.31 1.31 1.03 -1.85 -4.55 -5.54
-1.71 -0.17 -0.65 0.13 0.1 -1.29 -2.1 -3.74
0.97 0.42 0.01 1.43 -1.58 1.06 0.06 2
0.1 1.06 -0.82 0.73 0.73 -2.87 -4.5 0.57
0 0.35 0.29 -0.85 -0.93 2.33 4.49 2.47
2.05 1.46 -0.08 -0.39 0.16 0.4 1.24 1.15
1.24 1.19 0.67 -0.46 -1.54 4.62 3.65 3.29
0.29 -1.55 0.92 0.51 -1.38 0.67 2.24 -0.37
0.1 1 0.37 0.53 2.76 1.58 -5.2 0.34
1.25 -0.13 0.71 0.18 1.11 -0.01 -0.53 0.89
1.03 -0.22 1.2 0.75 -0.41 1.82 1.12 0.49
-0.91 0.75 1.17 -0.17 0.92 2.53 -0.42 6.04
-1.05 -1.27 1.7 -0.43 -0.67 3.27 3.71 2.34
0.22 -2.09 2.81 0.83 1.06 2.42 0.04 -0.27
0.03 -0.77 0.59 -0.06 -0.57 -1.49 2.27 0.76
0.69 0.74 0.94 -1.14 -0.25 3.32 3.94 8.77
-1.88 -0.07 1 -0.26 -0.46 5.21 0.91 5.6
0.97 0.42 0.01 1.43 -1.58 1.67 0.22 0.25
-0.93 1.34 -1.87 -1.15 -0.42 -1.89 0.52 0.71
-0.1 0.31 1.07 0.18 -0.28 1.64 1.11 -1.29
0.15 1 -2.06 2.34 1.75 -7.07 -9.95 -8.76
0.95 0.08 -0.7 0.22 1.05 -5.2 -3.1 -1.86
0.41 -0.97 0.29 0.25 -0.89 -1.02 1.72 1.34
-0.24 1.88 -0.43 -0.96 -0.15 2.53 0.75 4.49
-0.17 -0.8 0.43 1.48 -0.51 -1.61 -2.09 0.31
0.04 -0.04 0.23 -0.95 1.33 1.16 -0.01 0.36
