X1 X2 X3 X4 X5 Y1 Y2 Y3
1.2 0.16 1.39 0.95 -0.67 3.25 1.21 6.07
-0.86 -0.43 -1.94 1.2 0.37 -5.37 -4.78 -5.38
-0.2 -0.49 -0.19 -0.51 -0.99 -0.06 1.79 -2.2
0.13 0.64 0.8 0.29 -0.07 1.07 0.47 4.03
-0.81 -1.14 -0.41 -0.29 -0.46 -0.43 1.29 -0.11
-0.55 -2.53 -0.91 0.38 2 -5.02 -4.67 -11.19
1.61 1.07 2.16 0.34 -0.53 5.53 2.77 8.19
-1.94 -0.71 -0.55 -0.18 0.03 -1 -0.29 -3.73
0.04 -0.51 0.56 2.16 -1.08 -3.06 -3.26 1.38
0.74 -0.12 0.88 -0.67 0.23 2.67 2.27 3.84
0.12 -0.2 0.63 -1.22 1.64 2.38 1.51 2.53
-0.32 -0.11 0.17 0.48 1.46 -1.68 -3.88 -0.36
0.69 -0.64 0.52 -0.54 -0.94 1.27 3.34 0.98
-0.2 0.89 0.37 -0.46 0.37 2.94 -0.4 -0.46
-1.88 -0.07 1 -0.26 -0.46 2.7 1.02 -0.13
1.87 -0.34 0.15 -0.48 -0.91 0.92 4.22 1.38
0.69 0.74 0.94 -1.14 -0.25 3.88 4.49 4.05
-0.41 0.31 0.36 -0.68 1.17 2.88 -0.08 0.41
1.12 -0.35 -0.85 -0.85 -1.63 -0.62 3.97 3.15
-0.51 -0.24 1.13 -0.82 0.73 1.99 2.56 1.76
0.63 -0.91 -0.77 0.15 -0.88 -2.52 0.64 1.8
-0.1 0.9 0.53 -1.38 -0.2 4.59 3.94 4.87
0.11 1.77 0.08 -0.11 -0.43 2.58 0.22 5.16
1.14 -0.3 1.64 0.24 1.14 1.87 0.21 1.47
0.47 -0.36 -0.47 2.03 -1.93 -2.68 -0.9 -4.65
1.58 0.3 1.8 -1.56 -0.03 5.57 5.84 7.03
1.32 -0.4 0.11 -0.81 0.33 1.29 2.32 2.38
-0.01 1.18 0.67 0.82 -1.82 2.34 0.91 5.06
-2.75 -1.98 -0.7 -1.83 0.11 -1.48 3.35 -5.52
-0.17 -0.8 0.43 1.48 -0.51 -2.07 -1.24 -5.32
-1.8 -0.55 1.85 -0.13 0.84 4.75 -0.38 -3.05
1.14 0.92 -0.68 1.82 -1.23 -1.69 -3.08 -0.18
-1.49 -0.86 -0.8 0.15 -0.72 -0.5 -0.16 -2.93
-0.1 0.9 0.53 -1.38 -0.2 4.17 3.53 3.16
0.6 0.67 -0.87 -0.86 -1.81 0.92 3.9 0.58
0.34 -0.54 -0.48 0.79 0.26 -4.53 -2.04 2.39
-0.91 0.75 1.17 -0.17 0.92 3.53 -0.7 2.89
0.79 -0.51 -0.07 -0.22 0.36 -0.99 -0.17 -0.55
-0.41 1.05 -0.22 0.65 -1.16 -1.12 -0.14 1.08
-2.75 -1.98 -0.7 -1.83 0.11 -2.14 2.38 -1.47
0.1 1 0.37 0.53 2.76 1.39 -6.03 4.95
0.58 -1.57 -0.78 1.28 -0.11 -3.53 -2.06 -5.36
0 0.34 -0.55 -0.41 0.22 -1.79 0.27 1.34
-1.02 1.55 1.62 0.05 -1.51 6.04 3.01 1.39
0.13 0.64 0.8 0.29 -0.07 2.68 0.57 -0.68
-1.94 -0.71 -0.55 -0.18 0.03 -3.44 -1.6 -4.91
-0.47 -1.29 0.67 -1.72 1.33 0.73 2.43 0.88
2.25 -0.4 -1.08 1.58 -0.55 -6.02 -2.5 0.69
1.09 -0.81 0.89 -0.37 -1.29 1.35 4.19 5.24
0.12 -0.2 0.63 -1.22 1.64 1.97 0.61 0.95
