X1 X2 X3 X4 X5 Y1 Y2 Y3
0.15 1 -2.06 2.34 1.75 -6.33 -10.26 -3.36
-1.91 1.68 -0.41 -0.52 0.55 3.57 -1.14 0.67
0.1 1 0.37 0.53 2.76 -0.2 -6.25 -2.95
-1.36 -0.23 0.69 1.38 -0.34 -0.71 -1.93 -0.15
-0.91 0.75 1.17 -0.17 0.92 5.11 -0.24 3.88
0.79 -0.51 -0.07 -0.22 0.36 0.81 -0.01 -3.35
0.18 -0.13 -0.76 0.1 0.01 -2.53 -1.04 -0.35
-0.81 -1.14 -0.41 -0.29 -0.46 -1.42 1.63 -2.24
0.22 0.07 -0.83 -0.79 -1.87 -1.95 2.52 3.93
-0.15 -0.54 -0.84 -1.1 0.74 -1.42 0.2 -0.67
1.5 -0.81 0.49 0.37 0.37 -0.48 0.97 2.37
-1.25 1.57 -1.45 1.6 1.96 -4.29 -9.94 -3.51
-0.2 0.89 0.37 -0.46 0.37 2.62 -0.13 0.66
-1.95 -0.44 -0.98 -0.16 0.54 -1.7 -3.12 -7.17
-1.57 0.47 -0.85 -0.62 -2.15 0.27 2.4 -0.41
0.04 -0.51 0.56 2.16 -1.08 -0.23 -1.45 -3.13
0.08 -0.29 0.44 0.36 0.47 -0.53 -0.25 -1.19
-0.79 -1.27 1.68 -0.77 -0.1 4.9 4.04 1.11
-0.14 -0.78 -1.06 1.1 -0.12 -4.16 -3.23 -2.68
-0.01 1.18 0.67 0.82 -1.82 2.35 2.37 3.8
-1.25 1.57 -1.45 1.6 1.96 -3.05 -9.62 -2
-0.1 0.31 1.07 0.18 -0.28 3.4 1.62 3.32
1.69 -0.92 -0.33 0.11 0.21 -3.58 0.15 1.84
-1.71 -0.19 1.11 0.76 0.51 1.98 -1.93 -2.77
0.58 0.52 0.59 1.78 1.59 -0.77 -5.12 -4.01
-0.55 -2.53 -0.91 0.38 2 -7.21 -4.41 -7.87
0.36 -0.27 -0.32 -0.71 0.8 0.53 0.35 0.2
1.87 -0.34 0.15 -0.48 -0.91 -1.08 3.17 5.01
-0.08 -0.65 -1.09 -1.14 -1.5 -1.69 4.85 -0.6
1.28 -1.15 -0.86 -1.22 1.19 -4.45 1.13 -4.68
-2.49 1.05 1.01 -0.05 -0.9 6.28 0.34 -1.74
-2.75 -1.98 -0.7 -1.83 0.11 -0.62 1.63 -5.99
1.02 0.3 0.78 -0.71 -0.66 4.55 4.09 5.28
1.24 0.31 -0.44 -0.17 0.91 -1.64 -0.92 0.09
-0.1 0.9 0.53 -1.38 -0.2 4.55 3.51 1.73
0.08 -0.29 0.44 0.36 0.47 -1.5 -0.71 4.29
0.5 -1.8 -1.82 -0.42 3.09 -8.95 -5.22 -5.54
-0.54 -1.34 1.01 0.17 -0.47 1.17 1.21 -1.24
0.47 -0.3 -0.75 0.5 -1.95 -4.07 1.85 0.15
1.58 1.68 0.99 0.74 1.15 1.42 -2.11 8.07
-0.09 0.78 0.38 0.49 0.56 2.57 -2.42 6.23
-0.17 -0.8 0.43 1.48 -0.51 0.85 -1.2 -3.02
-0.16 1.5 -0.81 1.04 0.41 -2.41 -3.89 0.6
-1.25 1.57 -1.45 1.6 1.96 -4.98 -9.29 -8.56
0.69 0.74 0.94 -1.14 -0.25 4.53 4.24 2.07
-1.77 -0.43 -0.07 0.13 1.8 -3.38 -4.56 -5.26
0.33 -0.23 1.98 -1.81 0.19 5.75 5.85 6.56
-0.14 -1.19 -0.21 -0.97 0.06 -1.41 1.94 0.52
0.08 -0.29 0.44 0.36 0.47 -0.36 -1.38 1.77
0.71 1.06 -0.21 -1.6 0.8 2.36 1.62 3.09
