X1 X2 X3 X4 X5 Y1 Y2 Y3
0.16 -1.19 0.35 0.98 0.41 -1.29 -1.71 0.27
0.41 -0.36 -0.6 0.59 1.39 -2.62 -3.03 -1.61
0.1 1 0.37 0.53 2.76 -0.2 -6.25 -2.95
2.02 -0.87 0.43 1.67 -0.01 -4.43 -1.39 1.99
-1.71 -0.17 -0.65 0.13 0.1 -0.01 -1.61 -1.16
0.24 -0.81 0.52 1.12 2.83 -0.88 -6.28 -6.87
0.62 0.69 -0.16 0.94 0.49 -1.37 -3.03 1.04
0.95 0.08 -0.7 0.22 1.05 -2.76 -1.79 -0.68
0.73 -0.07 -0.62 1.84 -0.94 -5.34 -3.92 1.07
0.36 -0.27 -0.32 -0.71 0.8 -0.51 0 0.74
0 0.34 -0.55 -0.41 0.22 0.33 0.49 1.38
0.15 1.68 1.61 1.98 -2.08 4.52 -0.25 6.35
0.55 -0.31 -1.26 -1.25 -0.63 -1.88 2.18 -1.22
-0.91 0.75 1.17 -0.17 0.92 4.4 -1.31 -0.89
1.3 -1.71 0.46 -0.09 -0.5 -2.64 2.39 0.32
-0.38 1.82 -0.34 -1.43 -0.07 4.43 2.36 1.25
0.58 0.52 0.59 1.78 1.59 -1.51 -4.91 -1.64
-1.57 0.47 -0.85 -0.62 -2.15 2.69 3.13 -0.23
0 0.34 -0.55 -0.41 0.22 0.02 -0.44 1.3
0.47 -0.36 -0.47 2.03 -1.93 -4.04 -0.37 -0.96
0.61 0.06 -0.91 -0.45 -0.94 -0.79 1.46 3.62
0.68 -0.69 -2.09 -1.15 -0.06 -4.63 1.39 -1.23
-1.77 -0.43 -0.07 0.13 1.8 -1.51 -4.07 -2.48
0.36 -0.27 -0.32 -0.71 0.8 -1.15 0.18 -1.43
0.36 -0.27 -0.32 -0.71 0.8 -0.74 0.55 -3.56
-1.2 0.48 0.98 0.1 -0.15 3.47 0.16 0.81
-1.71 -0.19 1.11 0.76 0.51 3.66 -1.76 -1.14
0.11 1.77 0.08 -0.11 -0.43 1.88 -0.17 4.94
0.04 -0.51 0.56 2.16 -1.08 -1.48 -0.94 -1.42
0.36 -0.27 -0.32 -0.71 0.8 -1.78 0.48 -3.86
0.12 -0.2 0.63 -1.22 1.64 2.07 0.12 -1.77
-1.36 -0.23 0.69 1.38 -0.34 1.21 -2.88 -2.68
-1.39 1.33 -1.2 -0.35 2.47 0.18 -5.48 -2.43
-0.54 0.22 0.33 1.35 0.35 -0.38 -3.23 -2.1
-0.79 -1.27 1.68 -0.77 -0.1 3.91 3.87 -0.92
0.15 1 -2.06 2.34 1.75 -8.69 -10.15 -1.28
1.14 0.92 -0.68 1.82 -1.23 -2.62 -2.52 1.96
-1.95 -0.44 -0.98 -0.16 0.54 -1.87 -2.95 -5.49
1.03 -0.22 1.2 0.75 -0.41 -0.75 1.24 2.74
-1.46 1.94 0.04 -0.39 0.75 2.5 -1.77 4.72
0.1 0.66 -0.11 0.52 -0.32 1.63 -1.46 6.14
-0.19 0.88 -0.57 0.27 1.55 0.9 -3.76 -2.71
0.92 -0.19 -0.56 -0.74 1.92 -3.67 -1.09 0.7
0.68 -0.69 -2.09 -1.15 -0.06 -6.39 0.88 -5.85
-0.97 -0.95 -1.69 0.74 0.06 -5.57 -3.24 -9.07
0.79 -0.51 -0.07 -0.22 0.36 -3.53 -0.24 -0.77
0.37 -0.24 0.82 -1.55 1.48 1.87 1.99 3.3
-0.74 0.62 -0.46 -1.39 -0.82 1.83 2.95 3.08
1.5 -0.81 0.49 0.37 0.37 -1.63 -0.27 2.91
0.29 -1.55 0.92 0.51 -1.38 0.61 2.75 0.27
