X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.8 0.05 1.19 1.13 0.23 3.37 -2.29 1.07
0.15 1 -2.06 2.34 1.75 -6.24 -9.58 -4.73
0.11 1.77 0.08 -0.11 -0.43 2.81 -0.41 0.91
1.73 -0.09 1.98 1.16 0.39 0.83 0.29 5.6
1.69 -0.92 -0.33 0.11 0.21 -2.02 0.63 2.37
1.14 1.65 0.4 0.17 -0.48 4.87 0.35 1.15
-3.04 -0.46 1.21 -1.08 2.2 3.34 -1.37 -1.77
0.9 -0.52 0.89 -1.62 1.09 2.25 3.98 3.11
0.33 -0.23 1.98 -1.81 0.19 4.21 4.64 7.89
-1.25 1.57 -1.45 1.6 1.96 -3.09 -9.48 -4.01
0.41 -0.97 0.29 0.25 -0.89 0.23 2.54 1.62
1.09 -0.81 0.89 -0.37 -1.29 0.94 4.09 4.71
-0.74 0.62 -0.46 -1.39 -0.82 2.27 2.66 0.21
0.2 0.8 1.61 -0.8 0.3 6.03 2.02 2.44
1.58 0.3 1.8 -1.56 -0.03 4.6 5.55 6.99
-1.8 0.05 1.19 1.13 0.23 3.33 -1.83 -3.39
0.53 -0.2 0.41 0.6 0.99 -1.29 -1.43 -1.26
-1.57 0.47 -0.85 -0.62 -2.15 2.69 3.13 -0.23
1.53 2.18 0.85 -0.34 1.43 4.39 -0.94 7.06
-0.53 -1.89 0.01 -0.55 0.36 -3.05 2.03 -2.46
0.41 -0.97 0.29 0.25 -0.89 -0.08 1.52 3.15
0.6 0.67 -0.87 -0.86 -1.81 0.97 4.34 3.73
-3.04 -0.46 1.21 -1.08 2.2 3.24 -1.39 -0.85
0.1 0.66 -0.11 0.52 -0.32 0.1 -0.88 -0.55
1.25 -0.13 0.71 0.18 1.11 0.31 -0.27 -1.77
0.03 -0.77 0.59 -0.06 -0.57 0.62 1.87 0.39
0.1 0.66 -0.11 0.52 -0.32 1.78 -0.7 1.08
0.95 1.41 0.06 1.58 0.34 -1.41 -4.41 2.93
0.16 -1.19 0.35 0.98 0.41 -2.58 -0.74 -2.48
0.51 -1.11 -0.15 1.32 1.5 -5.29 -4.3 -7.37
1.73 -0.09 1.98 1.16 0.39 2.79 -0.64 1
-0.69 -0.41 1.04 0.01 0.51 2.46 -0.55 -0.7
1.44 0.49 0.48 -0.19 0.62 2.54 0.75 3.93
-0.1 0.9 0.53 -1.38 -0.2 4.17 3.53 3.16
-0.16 -0.9 -1.14 0.43 0.09 -4.1 -1.89 -5.91
-1.02 1.55 1.62 0.05 -1.51 6 3.13 9.49
-1.51 0.09 1.24 0.23 -0.6 3.53 0.93 2.12
-0.54 -1.34 1.01 0.17 -0.47 1.17 1.21 -1.24
0.97 0.42 0.01 1.43 -1.58 -2.73 0.09 1.73
0.04 -0.51 0.56 2.16 -1.08 -2.15 -1.9 2.63
0.41 -0.36 -0.6 0.59 1.39 -2.23 -4.32 2.8
-0.63 0.38 -0.04 -1.24 -0.63 4.67 3.49 0.38
-0.16 1.5 -0.81 1.04 0.41 -2.41 -3.89 0.6
-1.35 -1.51 0.63 -1.42 -0.53 0.57 4.5 -4.14
0.2 0.8 1.61 -0.8 0.3 5.78 3.13 1.89
0.58 -1.57 -0.78 1.28 -0.11 -7.97 -3.07 -4.98
1.87 -0.34 0.15 -0.48 -0.91 -0.37 3.62 4.56
-0.73 0.68 1.47 -0.91 -0.76 5.97 3.93 5.88
0.2 0.8 1.61 -0.8 0.3 5.3 2.25 6.85
1.12 -0.35 -0.85 -0.85 -1.63 -0.72 3.99 1.65
