X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.97 -0.95 -1.69 0.74 0.06 -4.82 -3.55 -3.67
1.48 -0.9 -0.06 -0.15 -0.15 -0.86 2.32 1.89
-3.04 -0.46 1.21 -1.08 2.2 3.47 -2.02 -5.1
-0.53 -1.89 0.01 -0.55 0.36 -3.37 1.37 -1.06
0.06 0.16 0.22 -1.45 -1.38 4.29 5.81 5.86
-0.53 -1.89 0.01 -0.55 0.36 0.11 0.69 -6.35
0 0.34 -0.55 -0.41 0.22 -0.83 -0.36 0.85
-0.85 0.09 1.27 -0.26 -1.11 4.72 3.94 2.78
-1.8 0.05 1.19 1.13 0.23 0.5 -3.64 1.12
1.43 -0.25 0.35 -0.37 -2.35 2.09 5.6 5.31
-1.8 -0.55 1.85 -0.13 0.84 5.07 1.01 1.25
0.2 0.8 1.61 -0.8 0.3 4.89 2.15 6.32
-0.55 -2.53 -0.91 0.38 2 -6.98 -4.72 -8.95
0.36 -0.27 -0.32 -0.71 0.8 -0.58 -0.59 -2.64
-1.46 1.94 0.04 -0.39 0.75 2.42 -2.29 0.72
-1.2 0.48 0.98 0.1 -0.15 4.5 0.84 -1
-0.38 1.82 -0.34 -1.43 -0.07 3.07 2.46 2.29
-0.81 -1.14 -0.41 -0.29 -0.46 -0.26 1.24 -2.55
0.06 0.16 0.22 -1.45 -1.38 3.69 5.27 4.87
-0.01 1.18 0.67 0.82 -1.82 2.35 2.37 3.8
1.65 0.29 1.58 -1.04 0.48 4.79 3.57 8.93
-0.23 1.34 1.76 -0.75 -0.03 7.43 3.48 6.6
-1.88 -0.07 1 -0.26 -0.46 3.39 1.33 1.95
-0.15 -0.54 -0.84 -1.1 0.74 -2.05 0.37 -2.83
-1.77 -0.43 -0.07 0.13 1.8 -0.83 -3.52 -7.64
-0.15 -0.54 -0.84 -1.1 0.74 -2.06 0.18 -1.84
1.34 0.96 0.08 2.99 0.65 -1.26 -6.74 -0.18
-0.66 -2.01 -0.04 -0.73 0.76 -3.35 0.22 -1.74
1.24 0.31 -0.44 -0.17 0.91 -1.95 -0.04 0.45
-0.1 0.31 1.07 0.18 -0.28 2.27 1.4 -1.35
-0.1 0.31 1.07 0.18 -0.28 3.56 0.41 -0.57
0.95 1.41 0.06 1.58 0.34 0.21 -4.57 0.54
0.95 1.41 0.06 1.58 0.34 1.29 -3.6 2.19
-0.19 -0.37 -0.77 1.76 0.3 -4.43 -4.82 -4.79
0.22 -2.09 2.81 0.83 1.06 2.49 0.73 -1.64
1.42 -0.27 -0.71 -0.04 0.71 -4.62 -0.86 4.22
0.58 -1.57 -0.78 1.28 -0.11 -6.13 -2.56 -2.66
-0.03 0.23 0.25 -0.01 -0.4 1.44 0.26 0.41
1.3 -1.71 0.46 -0.09 -0.5 -3.78 3.08 0.72
1.61 1.07 2.16 0.34 -0.53 4.81 2.97 11.02
-0.69 -2.6 -0.94 0.47 -0.51 -4.36 -1.06 -0.58
-1.05 -1.27 1.7 -0.43 -0.67 5.86 4.21 -0.36
1.1 0.97 0.39 -0.57 -1.71 2.11 5.03 6.85
0.2 -1.66 0.42 -0.23 -0.2 -2.41 2.09 -4.41
0.92 -0.19 -0.56 -0.74 1.92 -2.22 -1.23 -3.67
-0.84 -0.76 -0.47 0.38 -1.41 -3.6 0.21 -2.98
1.24 0.31 -0.44 -0.17 0.91 -1.99 -1.15 1.93
0.2 0.8 1.61 -0.8 0.3 5.26 2.59 6.44
-0.73 0.68 1.47 -0.91 -0.76 6.01 3.59 6.29
0.15 -0.68 0.58 -0.22 0.33 0.84 0.76 0.18
