X1 X2 X3 X4 X5 Y1 Y2 Y3
1.53 2.18 0.85 -0.34 1.43 4.78 -0.68 8.13
0.71 1.06 -0.21 -1.6 0.8 2.93 2.52 4.28
1.43 -0.25 0.35 -0.37 -2.35 1.39 4.97 1.94
-0.1 0.55 -0.2 1.41 -1.23 -1.89 -1.21 1.62
-0.69 -0.41 1.04 0.01 0.51 3.11 0.47 2.43
1.19 -0.39 0.04 -0.14 -0.4 1.42 1.32 -1.98
-0.54 0.22 0.33 1.35 0.35 -0.64 -3.51 -0.51
0.12 -0.2 0.63 -1.22 1.64 1.69 1.46 1.31
-0.31 0.83 1.59 -0.64 0.33 3.72 0.8 6.55
1.65 0.29 1.58 -1.04 0.48 4.75 3.72 6.91
-1.77 -0.43 -0.07 0.13 1.8 -0.25 -3.2 -2.86
-0.85 0.09 1.27 -0.26 -1.11 3.86 2.65 4.02
0.95 0.08 -0.7 0.22 1.05 -2.81 -2.93 -2.2
0.92 -0.19 -0.56 -0.74 1.92 -1.97 -2.34 -3.13
-1.35 -1.51 0.63 -1.42 -0.53 0.85 4.01 -0.82
-2.44 0.71 -0.92 -0.16 0.18 0.97 -1.95 -5.37
0.41 -0.97 0.29 0.25 -0.89 -1.09 2.43 -0.8
-1.78 -2.36 1.25 1.08 0.6 0.36 -1.5 -4.95
-0.31 0.83 1.59 -0.64 0.33 6.19 1.89 5.43
-1.91 1.68 -0.41 -0.52 0.55 1.46 -0.94 -0.04
-0.01 1.18 0.67 0.82 -1.82 4 1.15 6.42
0.33 -1.74 0.89 -0.93 0.66 0.54 3.3 1.13
0.61 0.06 -0.91 -0.45 -0.94 -1.75 1.61 2.48
-0.63 0.38 -0.04 -1.24 -0.63 2.38 3.15 0.51
-1.94 -0.71 -0.55 -0.18 0.03 -0.89 -0.56 -7.3
0.06 0.16 0.22 -1.45 -1.38 3.01 5.32 3.28
0.1 1.06 -0.82 0.73 0.73 -0.21 -3.76 -0.63
1.73 -0.09 1.98 1.16 0.39 1.14 -0.51 5.46
-0.19 -0.37 -0.77 1.76 0.3 -4.74 -3.93 -4.42
0.47 -0.3 -0.75 0.5 -1.95 -2.59 1.94 -3.64
-0.79 -1.27 1.68 -0.77 -0.1 4.11 3.09 -1.66
-0.84 -0.76 -0.47 0.38 -1.41 -0.82 0.16 -2.8
0.55 -0.31 -1.26 -1.25 -0.63 -0.39 2.92 0.95
0.09 -0.53 -1.14 0.52 -0.14 -4.06 -1.71 -3.59
1.19 -0.39 0.04 -0.14 -0.4 -0.31 1.85 -0.55
-2.75 -1.98 -0.7 -1.83 0.11 -2.55 2.48 -0.7
-1.35 -1.51 0.63 -1.42 -0.53 1.52 4.33 0.8
0.68 -0.69 -2.09 -1.15 -0.06 -4.74 0.28 -3
-0.2 1.95 -1.09 0.54 0.72 -3.04 -4.12 -0.27
0.18 -0.13 -0.76 0.1 0.01 -3.24 -0.85 2.48
0.15 1.68 1.61 1.98 -2.08 6.63 -0.19 10.37
0.33 -0.23 1.98 -1.81 0.19 8.31 6.31 4.07
1.43 -0.25 0.35 -0.37 -2.35 0.31 6.25 5.77
0.69 0.74 0.94 -1.14 -0.25 2.96 3.91 1.45
1.19 -0.39 0.04 -0.14 -0.4 -0.45 2.1 -1.41
1.09 -0.81 0.89 -0.37 -1.29 -0.63 4.07 2.3
0.24 -0.81 0.52 1.12 2.83 -3.34 -5.95 -2.18
-1.57 0.47 -0.85 -0.62 -2.15 1.04 2.67 1.43
-1.57 0.47 -0.85 -0.62 -2.15 1.07 2.33 1.84
1.87 -0.34 0.15 -0.48 -0.91 0.47 3.53 3.27
