X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.14 -1.19 -0.21 -0.97 0.06 -0.14 2.17 1.37
1.53 2.18 0.85 -0.34 1.43 4.86 -0.01 6.75
-1 -0.45 -0.04 2.68 0.03 -3.37 -6.81 -7.17
0.41 -0.97 0.29 0.25 -0.89 -2.04 2.07 1.93
0.48 -1.08 -0.33 -1.31 0.27 -0.11 2.98 2.22
-1.57 0.47 -0.85 -0.62 -2.15 3.43 2.43 -3.68
0.37 -0.24 0.82 -1.55 1.48 1.96 1.94 3.05
-0.41 0.31 0.36 -0.68 1.17 1.72 0.31 0.72
0.62 0.69 -0.16 0.94 0.49 -3 -4.19 2.61
0.92 -0.19 -0.56 -0.74 1.92 -1.9 -1.75 0.25
0.74 -0.12 0.88 -0.67 0.23 3.02 3.14 4.33
0.79 -0.51 -0.07 -0.22 0.36 -1.96 -0.22 1.64
-0.33 0.33 0.75 0.37 -2.3 3.51 2.98 1.6
0.1 0.66 -0.11 0.52 -0.32 0.66 -1.64 -1.76
0.66 1.53 -0.47 2.55 1.15 -3.92 -8.44 -1.73
0.55 -0.31 -1.26 -1.25 -0.63 -1.09 3.16 -1.94
-0.86 -0.43 -1.94 1.2 0.37 -6.86 -4.9 -7.41
0.58 -1.57 -0.78 1.28 -0.11 -4.37 -2.15 -4.11
0.5 -1.8 -1.82 -0.42 3.09 -7.97 -5.29 -5.53
0.9 -1.37 -1.09 0.7 1.02 -7.45 -2.36 -3.8
-0.86 -0.43 -1.94 1.2 0.37 -5.84 -5.81 -3.47
1.48 -0.9 -0.06 -0.15 -0.15 -1.5 2.14 1.87
0.62 0.69 -0.16 0.94 0.49 -1.47 -3.04 1.96
-0.24 1.88 -0.43 -0.96 -0.15 2.73 0.95 1.7
-0.54 0.22 0.33 1.35 0.35 -0.06 -2.97 -4.76
0.34 -0.54 -0.48 0.79 0.26 -3.23 -2.36 -2.34
-0.16 -0.9 -1.14 0.43 0.09 -2.88 -1.81 -3.39
-0.34 1.81 -1.07 -0.65 -0.88 0.26 0.16 3.45
-0.97 -0.95 -1.69 0.74 0.06 -6.11 -2.58 -6.42
1.43 -0.25 0.35 -0.37 -2.35 0.82 6.07 0.72
-1.8 -0.55 1.85 -0.13 0.84 4.75 -0.38 -3.05
-1.77 -0.43 -0.07 0.13 1.8 -0.6 -4.61 -5.08
0.95 0.08 -0.7 0.22 1.05 -1.33 -2.19 -0.03
0.58 0.52 0.59 1.78 1.59 -1.09 -5.38 -1.35
1.19 -0.39 0.04 -0.14 -0.4 -0.31 1.85 -0.55
1.42 -0.27 -0.71 -0.04 0.71 -4.62 -0.86 4.22
-0.52 -0.44 0.36 1.72 1.52 -2.72 -5.85 -2.25
0.71 1.06 -0.21 -1.6 0.8 2.18 1.22 2.48
-0.09 1.36 0.91 -0.19 -0.08 2.14 1.18 3.87
1.14 1.65 0.4 0.17 -0.48 1.79 0.83 8.42
1.58 1.68 0.99 0.74 1.15 3.84 -2.73 9.8
1.42 -0.27 -0.71 -0.04 0.71 -1.03 -0.65 -1.62
-1 -0.45 -0.04 2.68 0.03 -4.46 -5.53 -3.34
1.65 0.29 1.58 -1.04 0.48 2.86 3.91 2.37
0.69 0.74 0.94 -1.14 -0.25 4.53 4.24 2.07
1.65 0.29 1.58 -1.04 0.48 1.96 3.23 5
-0.41 1.05 -0.22 0.65 -1.16 0.72 -0.46 2.1
-1 -0.45 -0.04 2.68 0.03 -3.52 -6.2 -3.17
-2.12 -1.23 1.69 -0.42 -1.5 4.46 4.06 2.38
0.53 -0.2 0.41 0.6 0.99 -0.39 -2.22 -0.42
