X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.88 1.24 -0.56 -0.39 0.51 2.39 -1.98 1.12
1.19 -0.39 0.04 -0.14 -0.4 0.38 2.46 2.62
0.22 0.07 -0.83 -0.79 -1.87 -0.2 3.04 -0.98
-1.88 1.24 -0.56 -0.39 0.51 0.04 -1.78 0.43
-0.24 1.88 -0.43 -0.96 -0.15 4.01 1.25 5.27
0.66 1.53 -0.47 2.55 1.15 -0.76 -8.41 -5.01
-0.34 1.81 -1.07 -0.65 -0.88 1.06 0.56 2.75
0.55 -0.31 -1.26 -1.25 -0.63 -1.82 3.32 0.3
-0.53 -1.89 0.01 -0.55 0.36 -3.89 -0.19 -0.33
-0.54 -1.34 1.01 0.17 -0.47 1.42 1.62 0.46
-0.32 -0.11 0.17 0.48 1.46 -0.13 -2.54 -0.37
0.37 -0.24 0.82 -1.55 1.48 1.57 1.46 3.6
-0.79 -1.27 1.68 -0.77 -0.1 3.68 3.29 -0.1
1.19 -0.39 0.04 -0.14 -0.4 -0.2 0.99 -0.86
-0.23 1.34 1.76 -0.75 -0.03 5.95 2.48 5.3
-1.8 -0.55 1.85 -0.13 0.84 5.11 0.81 -2.21
1.66 -0.93 -1.79 -0.33 -1.3 -5.74 2.64 -1.8
2.02 -0.87 0.43 1.67 -0.01 -1.69 -1.37 0.15
0 0.35 0.29 -0.85 -0.93 3.22 3.26 4.15
-0.53 -1.89 0.01 -0.55 0.36 -3.05 2.03 -2.46
-0.41 1.05 -0.22 0.65 -1.16 1.67 -0.67 3.91
-1.71 -0.19 1.11 0.76 0.51 2.48 -1.41 -0.52
-1.49 0.23 -0.71 -0.25 -0.82 -0.27 0.08 0.22
0.95 0.08 -0.7 0.22 1.05 -3.05 -2.44 -2.12
-0.69 -0.41 1.04 0.01 0.51 2.23 0.54 -3.26
-0.84 -0.76 -0.47 0.38 -1.41 -1.45 0.69 -2.24
0.12 -0.2 0.63 -1.22 1.64 3.08 0.99 1.5
-0.16 -0.9 -1.14 0.43 0.09 -5.54 -2.54 -2.19
0.53 -0.2 0.41 0.6 0.99 -1.18 -1.02 -0.6
1.19 -0.39 0.04 -0.14 -0.4 -1.4 2.06 -2.08
1.09 -0.81 0.89 -0.37 -1.29 2.18 4.04 0.4
-0.1 0.31 1.07 0.18 -0.28 3.53 0.39 1.51
-1.8 0.05 1.19 1.13 0.23 4.03 -2.07 -0.5
1.42 -0.27 -0.71 -0.04 0.71 -3.23 -0.87 -0.97
1.14 1.65 0.4 0.17 -0.48 3.14 0.88 2.57
0.15 -0.68 0.58 -0.22 0.33 -1.03 1.09 4.82
-0.85 0.09 1.27 -0.26 -1.11 4.12 3.14 3.92
-0.08 -0.65 -1.09 -1.14 -1.5 -1.07 3.25 -1.03
-0.84 -0.76 -0.47 0.38 -1.41 -3.57 1.08 -1.88
0.6 0.67 -0.87 -0.86 -1.81 -0.43 3.85 6.43
-0.41 0.26 0.83 0.56 0.75 2.89 -2.32 5.66
-0.2 -0.49 -0.19 -0.51 -0.99 2.28 2.93 -1.11
-0.09 0.78 0.38 0.49 0.56 -0.11 -1.36 2.16
-0.53 -1.89 0.01 -0.55 0.36 -3.34 1.14 -6.4
-0.34 -0.78 0.12 1.98 1.35 -3.43 -5.68 -7.39
-0.86 -0.43 -1.94 1.2 0.37 -8.67 -6.15 -7.39
0.1 1.06 -0.82 0.73 0.73 -2.16 -4.05 0.12
-0.41 0.31 0.36 -0.68 1.17 1.22 -0.54 2.07
1.2 0.16 1.39 0.95 -0.67 2.02 0.64 5.63
-1.05 -1.27 1.7 -0.43 -0.67 4.14 3.66 0.85
