X1 X2 X3 X4 X5 Y1 Y2 Y3
1.03 -0.22 1.2 0.75 -0.41 2.43 1.06 5.03
0.1 0.66 -0.11 0.52 -0.32 1.24 -0.18 1.73
0.1 1.06 -0.82 0.73 0.73 -1.95 -4.74 -3.46
0.02 -1.03 -1.71 -1.01 -1.04 -5.25 2.6 -0.51
-0.41 1.05 -0.22 0.65 -1.16 2.27 -0.04 3.29
-1.78 -2.36 1.25 1.08 0.6 1.1 -2.2 -8.4
-1 -0.45 -0.04 2.68 0.03 -3.5 -6.16 -3.83
-0.79 -1.27 1.68 -0.77 -0.1 3.74 4.43 1.42
0.24 -0.81 0.52 1.12 2.83 -4.88 -7.16 -0.86
0.1 0.66 -0.11 0.52 -0.32 0.73 -1.05 1.62
0.95 0.08 -0.7 0.22 1.05 -2.07 -1.74 0.54
-0.38 1.82 -0.34 -1.43 -0.07 2.84 1.23 4.73
0.34 -0.54 -0.48 0.79 0.26 -2.99 -2.66 -3.42
-0.41 0.26 0.83 0.56 0.75 1.92 -2.51 -2.24
1.09 -0.81 0.89 -0.37 -1.29 0.54 4.26 2.99
-1.77 -0.43 -0.07 0.13 1.8 -0.21 -3.41 -6.33
-1.35 -1.51 0.63 -1.42 -0.53 1.49 5.08 -1.54
-0.69 -2.6 -0.94 0.47 -0.51 -4.44 -0.22 -6.14
-0.99 2.17 -1.34 0.15 0 0.69 -3.36 0.89
0.73 -0.07 -0.62 1.84 -0.94 -4.5 -1.7 -1.06
0.69 0.74 0.94 -1.14 -0.25 4.89 3.58 8
0.73 -0.07 -0.62 1.84 -0.94 -3.02 -2.08 -0.38
0.04 -0.51 0.56 2.16 -1.08 -1.54 -2.11 0.72
0.47 -0.3 -0.75 0.5 -1.95 -1.96 1.64 -1.21
0.04 -0.04 0.23 -0.95 1.33 0.99 0.56 -2.84
-0.54 -1.34 1.01 0.17 -0.47 0.78 1.61 -0.72
-0.63 0.38 -0.04 -1.24 -0.63 4.06 3.32 2.13
1.14 -0.3 1.64 0.24 1.14 0.89 -0.36 4.29
-0.52 -0.44 0.36 1.72 1.52 -2.64 -4.69 -3.92
-0.11 -0.11 1.66 0.93 0.42 1.85 -0.46 -2.33
0.15 1.68 1.61 1.98 -2.08 5.76 -0.29 2.04
-0.09 1.36 0.91 -0.19 -0.08 4.89 0.25 2.95
-0.81 -1.14 -0.41 -0.29 -0.46 0.01 1.23 -1.59
1.28 -1.15 -0.86 -1.22 1.19 -3.74 0.95 -1.72
0.51 -1.11 -0.15 1.32 1.5 -4.2 -4.51 -5.84
-0.69 -2.6 -0.94 0.47 -0.51 -7.19 -0.35 -1.55
1.69 -0.92 -0.33 0.11 0.21 -3.6 0.17 1.37
-0.63 0.38 -0.04 -1.24 -0.63 2.77 2.55 0.98
-1.71 -0.19 1.11 0.76 0.51 -0.14 -1.72 -1.41
-1.35 -1.51 0.63 -1.42 -0.53 0.93 4.53 3.18
-0.09 0.78 0.38 0.49 0.56 2.57 -2.42 6.23
-0.03 0.23 0.25 -0.01 -0.4 3.34 1.2 -0.19
0.74 -0.12 0.88 -0.67 0.23 0.9 2.92 4.29
-0.09 0.78 0.38 0.49 0.56 -0.22 -1.83 -2.83
1.58 0.3 1.8 -1.56 -0.03 5.88 6.36 4.29
1.49 1.99 -0.47 1.43 0.1 -3.01 -4.37 1.29
1.87 -0.34 0.15 -0.48 -0.91 -0.37 3.62 4.56
1.24 1.19 0.67 -0.46 -1.54 3.75 4.14 7.72
1.87 -0.34 0.15 -0.48 -0.91 -0.27 3.18 5.39
-1.77 -0.43 -0.07 0.13 1.8 -0.66 -4.1 -4.44
