X1 X2 X3 X4 X5 Y1 Y2 Y3
1.53 2.18 0.85 -0.34 1.43 4.78 -0.68 8.13
-0.24 1.88 -0.43 -0.96 -0.15 3.88 1.65 3.97
-0.93 1.34 -1.87 -1.15 -0.42 -0.81 -0.76 -3.12
-2.49 1.05 1.01 -0.05 -0.9 4.33 1.27 2.87
-0.34 1.81 -1.07 -0.65 -0.88 2.52 1.03 4.19
0.04 -0.04 0.23 -0.95 1.33 2.78 -0.25 -3.04
-1.49 -0.86 -0.8 0.15 -0.72 -2.4 -0.56 -2.89
0.24 -0.81 0.52 1.12 2.83 -2.78 -5.19 -3.12
0.15 1 -2.06 2.34 1.75 -9.19 -11.61 -3.31
-1.95 -0.44 -0.98 -0.16 0.54 -1.63 -2.54 -3.79
0.58 0.52 0.59 1.78 1.59 -0.19 -4.8 0.78
0.68 -0.69 -2.09 -1.15 -0.06 -5.71 0.23 -0.8
-0.41 1.05 -0.22 0.65 -1.16 1.23 -0.84 -0.37
0.34 -0.54 -0.48 0.79 0.26 -2.66 -2.93 -4.54
-2.75 -1.98 -0.7 -1.83 0.11 -2.22 1.87 -5.47
0.74 -0.12 0.88 -0.67 0.23 3.06 2.93 0.86
-1.91 1.68 -0.41 -0.52 0.55 2.09 -1.25 -1.37
-0.34 -0.78 0.12 1.98 1.35 -2.29 -5.76 -4.51
-0.09 0.78 0.38 0.49 0.56 1.7 -2.07 2.12
0.11 1.77 0.08 -0.11 -0.43 1.89 1.29 3.69
0.36 -0.27 -0.32 -0.71 0.8 -0.47 -0.14 2.76
-0.81 -1.14 -0.41 -0.29 -0.46 -1.2 1.51 -1.43
-0.85 0.09 1.27 -0.26 -1.11 4.15 3.12 4.39
0.51 -1.11 -0.15 1.32 1.5 -4.66 -4.6 -4.94
0.95 1.41 0.06 1.58 0.34 -0.02 -3.48 -2.02
0.51 -1.11 -0.15 1.32 1.5 -4.66 -4.79 -3.95
-0.3 -0.09 1.37 1.84 1.57 1.87 -4.78 -0.91
-0.51 -0.24 1.13 -0.82 0.73 1.98 1.1 3.01
-0.79 -1.27 1.68 -0.77 -0.1 3.22 4.78 0.88
0.69 0.74 0.94 -1.14 -0.25 3.58 4.2 1.39
1.09 -0.81 0.89 -0.37 -1.29 2.18 4.04 0.4
-0.41 1.05 -0.22 0.65 -1.16 1.62 -1.07 0.15
-1.25 1.57 -1.45 1.6 1.96 -2 -9.05 -4.1
0.47 -0.36 -0.47 2.03 -1.93 -2.99 -1.16 -1.99
0.51 -1.11 -0.15 1.32 1.5 -4.2 -4.51 -5.84
-1.39 1.33 -1.2 -0.35 2.47 -2.84 -5.59 1.21
-0.52 -0.44 0.36 1.72 1.52 -2.72 -5.85 -2.25
0.61 0.06 -0.91 -0.45 -0.94 -1.07 1.19 -0.09
-0.31 0.83 1.59 -0.64 0.33 3.41 2.33 4.21
-0.2 0.89 0.37 -0.46 0.37 1.49 0.4 5.7
1.14 -0.3 1.64 0.24 1.14 3.4 -0.38 8.16
-0.14 -0.78 -1.06 1.1 -0.12 -2.54 -2.66 -5.38
0.2 -1.66 0.42 -0.23 -0.2 -2.29 2.55 0.59
-0.55 -2.53 -0.91 0.38 2 -8.47 -4.21 -11.24
0.06 0.16 0.22 -1.45 -1.38 3.33 5.84 0.53
-1.8 0.05 1.19 1.13 0.23 0.16 -2.99 -2.32
-0.99 2.17 -1.34 0.15 0 -0.25 -3.24 0.69
1.49 1.99 -0.47 1.43 0.1 -1.06 -3.91 3.82
0.08 -0.29 0.44 0.36 0.47 -0.36 -1.38 1.77
-0.47 -1.29 0.67 -1.72 1.33 1.57 2.34 -0.41
