X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.74 0.62 -0.46 -1.39 -0.82 3.1 3.18 3.94
-0.16 -0.9 -1.14 0.43 0.09 -3.41 -1.28 -2.74
-2.75 -1.98 -0.7 -1.83 0.11 -1.31 1.54 -7.63
-0.03 0.23 0.25 -0.01 -0.4 -0.24 1.09 2.9
-0.09 1.36 0.91 -0.19 -0.08 5.54 1.28 6.09
0.13 0.64 0.8 0.29 -0.07 4.55 -0.2 -1.25
-0.93 1.34 -1.87 -1.15 -0.42 -0.93 -0.11 0.21
2.25 -0.4 -1.08 1.58 -0.55 -5.53 -1.66 -0.66
0.33 -1.74 0.89 -0.93 0.66 -1.77 1.46 2.58
1.09 -0.81 0.89 -0.37 -1.29 2.15 4.56 4.21
-0.54 -1.34 1.01 0.17 -0.47 1.76 2.5 0.94
-0.1 0.31 1.07 0.18 -0.28 2.32 0.46 3.75
0.22 0.07 -0.83 -0.79 -1.87 0.09 3.35 0.14
-0.1 0.31 1.07 0.18 -0.28 3.46 0.34 -0.13
0.22 -2.09 2.81 0.83 1.06 1.06 0.16 0.21
-0.2 0.89 0.37 -0.46 0.37 3.4 0.85 -0.06
-0.19 0.88 -0.57 0.27 1.55 -1.72 -3.51 -2.35
1.36 -0.03 0.71 0.21 -0.64 2.46 2.34 3.11
-0.86 -0.43 -1.94 1.2 0.37 -5.85 -5.72 -5.07
-0.81 -1.14 -0.41 -0.29 -0.46 -2.68 1.89 -2.11
0.69 -0.28 0.71 0.11 -0.3 1.58 1.2 4.86
0.47 -0.36 -0.47 2.03 -1.93 -2.57 -0.75 -0.28
1.34 0.96 0.08 2.99 0.65 -3.22 -7.08 1.23
-2.49 1.05 1.01 -0.05 -0.9 5.62 1.03 -0.1
-0.85 0.09 1.27 -0.26 -1.11 4.83 3.67 -0.78
1.24 1.19 0.67 -0.46 -1.54 3.95 4.16 5.92
2.5 -0.53 0.3 0.01 -0.63 0.65 3 3.8
-0.1 0.55 -0.2 1.41 -1.23 -1.58 -2 1.48
1.58 0.3 1.8 -1.56 -0.03 5.34 7.03 6.94
-0.53 -1.89 0.01 -0.55 0.36 -2.71 1.43 -6.45
1.58 1.68 0.99 0.74 1.15 2.97 -2.84 1.47
-1.86 0.76 -1.28 1.75 0.27 -2.65 -7.44 -6.13
-1.94 -0.71 -0.55 -0.18 0.03 0.42 -0.69 -3.09
-0.09 0.78 0.38 0.49 0.56 1.12 -1.72 0.07
0.08 -0.29 0.44 0.36 0.47 0.26 -0.75 -2.33
0.15 1 -2.06 2.34 1.75 -8.69 -10.15 -1.28
0.51 -1.11 -0.15 1.32 1.5 -4.96 -4.75 -2.36
-0.1 0.31 1.07 0.18 -0.28 3.29 0.51 1.55
0.36 -0.27 -0.32 -0.71 0.8 -3.26 0.39 -0.07
1.33 0.16 0.66 -1.23 -1.02 2.09 5.61 8.98
0.9 -0.16 -2.75 0 0.2 -6 -3.39 1.61
-0.55 -2.53 -0.91 0.38 2 -4.92 -3.88 -8.99
0.18 -0.13 -0.76 0.1 0.01 -3.49 -0.41 0.15
1.03 -0.22 1.2 0.75 -0.41 0.11 1.05 -0.99
-0.55 -2.53 -0.91 0.38 2 -6.9 -3.89 -10.61
1.58 1.68 0.99 0.74 1.15 0.16 -2.81 3.37
-0.1 0.31 1.07 0.18 -0.28 2.63 0.99 3.45
-0.16 1.5 -0.81 1.04 0.41 -1.47 -4.57 0.77
-0.99 2.17 -1.34 0.15 0 -0.15 -3.67 1.51
1.14 0.92 -0.68 1.82 -1.23 -1.75 -2.57 0.47
