X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.16 1.5 -0.81 1.04 0.41 -0.21 -4.34 1.63
-0.11 -0.11 1.66 0.93 0.42 3.63 -0.06 2.37
0.22 -2.09 2.81 0.83 1.06 1.97 -0.16 -1.95
-0.08 -0.65 -1.09 -1.14 -1.5 -2.76 4.08 1.46
-0.34 -0.78 0.12 1.98 1.35 -2.46 -5.71 -2.07
0.29 -1.55 0.92 0.51 -1.38 2.23 2.51 -3.13
0.15 1.68 1.61 1.98 -2.08 4.91 0.24 5.8
0.95 0.08 -0.7 0.22 1.05 -2.76 -1.79 -0.68
0.09 -0.53 -1.14 0.52 -0.14 -5.95 -3.14 -0.43
0.34 -0.54 -0.48 0.79 0.26 -2.59 -2.34 -1.16
-0.51 -0.24 1.13 -0.82 0.73 3.94 2.36 2.85
0.41 -0.5 -0.24 0.06 -0.38 -2.02 0 1.2
-0.16 1.5 -0.81 1.04 0.41 -1.03 -4.86 -2.1
0.9 -0.16 -2.75 0 0.2 -6.97 -3.57 -6.29
0.95 0.08 -0.7 0.22 1.05 -4.02 -2.92 -1.16
-3.04 -0.46 1.21 -1.08 2.2 4.54 -0.73 -4.7
-1.91 1.68 -0.41 -0.52 0.55 2.09 -1.25 -1.37
-0.53 -1.89 0.01 -0.55 0.36 -0.63 1.39 -2.9
-1.39 1.33 -1.2 -0.35 2.47 -0.87 -5.96 -1.94
-0.32 -0.11 0.17 0.48 1.46 -2.08 -2.34 -1.46
0.58 0.52 0.59 1.78 1.59 -0.5 -5.82 2.31
1.53 2.18 0.85 -0.34 1.43 4.22 -0.19 6.73
0.06 0.16 0.22 -1.45 -1.38 2.73 5.33 5.33
0.52 0.41 -0.23 0.54 0.41 -1.19 -1.91 -1.19
0.34 0.89 0.72 -0.7 -1.25 4.6 4.5 1.44
-0.03 0.23 0.25 -0.01 -0.4 1.05 0.67 0.93
0.2 -1.66 0.42 -0.23 -0.2 0.52 2.25 -0.41
-0.54 -1.34 1.01 0.17 -0.47 -0.2 1.24 1.11
-0.16 1.5 -0.81 1.04 0.41 -1.5 -3.37 -1.12
-1.36 -0.23 0.69 1.38 -0.34 -0.06 -1.86 -5.54
-0.1 0.9 0.53 -1.38 -0.2 4.75 2.72 0.98
-0.55 -2.53 -0.91 0.38 2 -6.58 -4.94 -8.43
0.69 -0.64 0.52 -0.54 -0.94 2.75 4.08 3.15
-1.36 -0.23 0.69 1.38 -0.34 0.66 -2.04 -2.58
-0.31 0.83 1.59 -0.64 0.33 5.98 2.21 1.96
-0.69 -0.41 1.04 0.01 0.51 0.53 0.29 4.58
-1.8 -0.55 1.85 -0.13 0.84 3.78 0.16 1.17
-1.78 -2.36 1.25 1.08 0.6 -0.7 -2.35 -5.61
1.42 -0.27 -0.71 -0.04 0.71 -5.43 -0.78 -0.14
1.19 -0.39 0.04 -0.14 -0.4 -1.66 1.8 5.3
-0.32 -0.11 0.17 0.48 1.46 0.42 -3.82 3.66
-0.41 0.26 0.83 0.56 0.75 3.64 -1.4 -1.15
0.73 -0.07 -0.62 1.84 -0.94 -4.67 -2.12 -0.01
1.36 -0.03 0.71 0.21 -0.64 -0.25 2.1 -0.39
1.24 1.19 0.67 -0.46 -1.54 4.26 4.68 3.18
0.15 1.68 1.61 1.98 -2.08 2.95 -0.27 3.94
0.12 -0.2 0.63 -1.22 1.64 1.13 0.7 2.25
-0.66 -2.01 -0.04 -0.73 0.76 -2.57 0.58 -1.78
0.97 0.42 0.01 1.43 -1.58 -0.79 -0.66 3.57
0.69 0.74 0.94 -1.14 -0.25 4.79 3.7 4.9
