X1 X2 X3 X4 X5 Y1 Y2 Y3
0.22 0.07 -0.83 -0.79 -1.87 0.92 3.88 3.88
1.02 0.3 0.78 -0.71 -0.66 3.97 4.55 5.47
0.68 -0.69 -2.09 -1.15 -0.06 -5.2 0.07 -4.68
-0.41 1.05 -0.22 0.65 -1.16 -0.3 -0.11 2.69
-0.41 1.05 -0.22 0.65 -1.16 2.27 -0.04 3.29
-0.86 -0.43 -1.94 1.2 0.37 -4.33 -5.93 -9.97
1.25 -0.13 0.71 0.18 1.11 -0.27 -0.81 2.48
1.24 1.19 0.67 -0.46 -1.54 4.24 4.99 6.37
0.73 -0.07 -0.62 1.84 -0.94 -5.34 -3.92 1.07
0.41 -0.97 0.29 0.25 -0.89 -0.12 1.66 1.13
0.69 0.74 0.94 -1.14 -0.25 5.2 4.6 6.47
0.58 -1.57 -0.78 1.28 -0.11 -6.39 -3.05 -2.56
1.01 -1.52 -0.64 -0.67 0.66 -3.74 0.29 -2.98
-0.73 0.68 1.47 -0.91 -0.76 6.74 3.37 1.88
-0.85 0.09 1.27 -0.26 -1.11 3.46 2.81 2.3
0.13 0.64 0.8 0.29 -0.07 3.38 0.73 0.26
0.55 -0.31 -1.26 -1.25 -0.63 -2.45 3.26 -0.9
2.05 1.46 -0.08 -0.39 0.16 2.48 1.19 4.7
0.9 -1.37 -1.09 0.7 1.02 -5.81 -3.49 -2.78
-2.49 1.05 1.01 -0.05 -0.9 4.65 1.93 1.47
-1.46 1.94 0.04 -0.39 0.75 4.07 -2.13 3.96
0.5 1.35 -0.06 -1.47 1.13 2.8 1.48 4.25
1.32 -0.4 0.11 -0.81 0.33 -0.67 1.98 3.79
0.2 0.8 1.61 -0.8 0.3 5.46 2.79 3.65
-1.88 -0.07 1 -0.26 -0.46 4.07 1.87 -3.21
-0.17 -0.8 0.43 1.48 -0.51 -1.44 -1.73 -1.9
1.34 0.96 0.08 2.99 0.65 -1.26 -6.74 -0.18
0.97 0.42 0.01 1.43 -1.58 -1.6 -0.68 3.2
-1.77 -0.43 -0.07 0.13 1.8 -1.46 -2.89 -4.62
-0.03 0.23 0.25 -0.01 -0.4 0.42 1.16 -2.49
-0.3 -0.09 1.37 1.84 1.57 0.86 -5.65 -4.18
0.52 0.41 -0.23 0.54 0.41 -0.56 -2.63 -0.76
1.3 -1.71 0.46 -0.09 -0.5 0.05 3.12 1.45
0.9 -0.52 0.89 -1.62 1.09 2.04 3.45 2.21
-0.2 -0.49 -0.19 -0.51 -0.99 0.45 2.68 -1.88
-1.02 1.55 1.62 0.05 -1.51 6 3.13 9.49
1.25 -0.13 0.71 0.18 1.11 -0.4 -0.8 2.93
-0.1 0.55 -0.2 1.41 -1.23 -0.21 -2.03 -0.87
0.97 -0.08 0.54 1.97 -0.14 -3.63 -2.56 0.18
0.9 -0.16 -2.75 0 0.2 -8.43 -2.76 -0.13
0.47 -0.3 -0.75 0.5 -1.95 -0.42 1.05 5.48
1.69 -0.92 -0.33 0.11 0.21 -1.01 0.66 -1.33
1.14 1.65 0.4 0.17 -0.48 1.54 1.27 6.09
0.15 -0.68 0.58 -0.22 0.33 -0.98 0.97 -3.27
-0.08 -0.65 -1.09 -1.14 -1.5 -1.15 4.18 -3.25
-0.66 -2.01 -0.04 -0.73 0.76 -4.51 0.12 -4.31
0.41 -0.97 0.29 0.25 -0.89 -1.02 1.72 1.34
0.06 0.16 0.22 -1.45 -1.38 2.81 5.31 5.08
-2.49 1.05 1.01 -0.05 -0.9 5.45 0.49 3.1
-1.46 1.94 0.04 -0.39 0.75 3.97 -2.01 0.85
