X1 X2 X3 X4 X5 Y1 Y2 Y3
0.15 1 -2.06 2.34 1.75 -6.33 -10.26 -3.36
2.25 -0.4 -1.08 1.58 -0.55 -4.67 -1.6 0.18
-0.1 0.31 1.07 0.18 -0.28 2.84 0.3 -0.13
0.68 -0.69 -2.09 -1.15 -0.06 -6.43 1.11 -0.51
1.69 -0.92 -0.33 0.11 0.21 -2.02 0.63 2.37
-0.38 1.82 -0.34 -1.43 -0.07 5.6 1.43 -0.26
-0.91 0.75 1.17 -0.17 0.92 3.65 -0.7 2.44
1.2 0.16 1.39 0.95 -0.67 2.48 1.83 3.86
-0.52 -0.44 0.36 1.72 1.52 -4.22 -7.02 -1.13
-1.77 -0.43 -0.07 0.13 1.8 -0.59 -4.07 -3.35
-1.71 -0.17 -0.65 0.13 0.1 -0.31 -1.22 -2.07
-0.31 0.83 1.59 -0.64 0.33 4.95 1.48 5.52
0.2 0.8 1.61 -0.8 0.3 5.7 2.3 3.56
-0.16 -0.9 -1.14 0.43 0.09 -3.99 -2.75 -6.22
-1.2 0.48 0.98 0.1 -0.15 2.5 -0.13 0.77
1.43 -0.25 0.35 -0.37 -2.35 2.47 6.26 2.34
0.58 0.52 0.59 1.78 1.59 -1.51 -4.91 -1.64
-0.41 0.31 0.36 -0.68 1.17 2.88 -0.08 0.41
-1.25 1.57 -1.45 1.6 1.96 -3.05 -9.53 -3.6
-0.99 2.17 -1.34 0.15 0 -0.95 -2.23 -0.12
1.49 1.99 -0.47 1.43 0.1 -0.18 -4.03 5.22
0.29 -1.55 0.92 0.51 -1.38 0.54 3.48 1.44
0.17 -0.34 -1.74 0.12 1.4 -6.12 -4.33 -2.53
-1.05 -1.27 1.7 -0.43 -0.67 3.57 3.87 -0.23
-0.1 0.9 0.53 -1.38 -0.2 4.49 3.79 0.5
-1.39 1.33 -1.2 -0.35 2.47 -1.54 -5.91 -3.53
-0.85 0.09 1.27 -0.26 -1.11 6.11 3.47 2.97
0.52 0.41 -0.23 0.54 0.41 -2.17 -2.47 1.63
1.1 0.97 0.39 -0.57 -1.71 3.03 5.56 5.13
-0.85 0.09 1.27 -0.26 -1.11 3.8 3.59 -1.08
2.05 1.46 -0.08 -0.39 0.16 1.7 0.25 1.93
-1.02 1.55 1.62 0.05 -1.51 7.93 2.28 4.2
0.18 -0.13 -0.76 0.1 0.01 -0.63 -0.64 -0.39
-1.91 1.68 -0.41 -0.52 0.55 2.51 -1.72 -1.07
-3.04 -0.46 1.21 -1.08 2.2 3.98 -1.13 -4.79
-0.14 -0.78 -1.06 1.1 -0.12 -6.13 -2.87 0.46
-0.1 0.31 1.07 0.18 -0.28 2.59 0.95 3.65
0.33 -1.74 0.89 -0.93 0.66 0.43 2.19 -0.64
0 0.34 -0.55 -0.41 0.22 -2.77 0 0.08
0.61 0.06 -0.91 -0.45 -0.94 -2.36 1.82 4.39
1.66 -0.93 -1.79 -0.33 -1.3 -3.87 1.46 4.65
0.5 1.35 -0.06 -1.47 1.13 4.58 1.3 1.88
0.48 -1.08 -0.33 -1.31 0.27 -2.52 3.16 1.27
0.41 -0.97 0.29 0.25 -0.89 -2.01 1.85 -3.41
1.14 0.92 -0.68 1.82 -1.23 -2 -2.03 -2.36
-0.31 0.83 1.59 -0.64 0.33 3.38 1.46 3.11
-1.49 0.23 -0.71 -0.25 -0.82 -0.26 0.14 -0.45
-2.44 0.71 -0.92 -0.16 0.18 -0.25 -2.64 -1.77
2.05 1.46 -0.08 -0.39 0.16 0.86 0.39 6.78
2.25 -0.4 -1.08 1.58 -0.55 -5.25 -2.51 -1.01
