X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.53 -1.89 0.01 -0.55 0.36 -1.02 1.16 -0.38
0.15 1 -2.06 2.34 1.75 -6.24 -9.58 -4.73
0.17 0.06 -0.82 -0.26 -0.46 -1.58 -0.32 -2.75
-0.17 -0.8 0.43 1.48 -0.51 -2.73 -1.31 0.07
-0.2 -0.49 -0.19 -0.51 -0.99 1.27 2.89 2.58
-3.04 -0.46 1.21 -1.08 2.2 5.71 -1.66 -6.21
-0.53 -1.89 0.01 -0.55 0.36 -2.26 0.97 -1.9
-0.1 0.55 -0.2 1.41 -1.23 -0.31 -0.79 0.09
0.69 0.74 0.94 -1.14 -0.25 2.41 2.58 7.52
-0.15 -0.54 -0.84 -1.1 0.74 -1.42 0.2 -0.67
-1.88 1.24 -0.56 -0.39 0.51 2.32 -1.32 0.12
0.36 -0.27 -0.32 -0.71 0.8 -1.72 -0.47 1.24
-0.33 0.33 0.75 0.37 -2.3 3.51 2.98 1.6
-0.38 1.82 -0.34 -1.43 -0.07 3.98 1.1 0.85
0.1 0.66 -0.11 0.52 -0.32 -0.88 -1.36 0.4
-0.97 -0.95 -1.69 0.74 0.06 -4.86 -3.09 -8.13
0.02 -1.03 -1.71 -1.01 -1.04 -4.29 2.95 -3.24
0.2 -1.66 0.42 -0.23 -0.2 0.3 2.33 -0.91
-1.88 1.24 -0.56 -0.39 0.51 2 -2.25 0.05
-0.1 0.9 0.53 -1.38 -0.2 3.12 4.32 4.19
0.9 -1.37 -1.09 0.7 1.02 -5.8 -3.58 -1.18
1.87 -0.34 0.15 -0.48 -0.91 0.41 4.25 4.44
-0.54 -1.34 1.01 0.17 -0.47 0.5 1.63 1.33
-0.14 -0.78 -1.06 1.1 -0.12 -4.83 -3 -5.26
0.68 -0.69 -2.09 -1.15 -0.06 -4.74 1.25 -5.6
0.24 -0.81 0.52 1.12 2.83 -3.08 -6.03 -3.56
-0.93 1.34 -1.87 -1.15 -0.42 0.93 0.22 -0.28
-0.2 1.95 -1.09 0.54 0.72 -1.91 -4.89 1.2
0.1 1.06 -0.82 0.73 0.73 -2.12 -2.93 -1.35
-0.33 0.33 0.75 0.37 -2.3 2.64 3.77 -0.74
0.15 1.68 1.61 1.98 -2.08 5.76 -0.29 2.04
0.15 -0.68 0.58 -0.22 0.33 0.9 0.25 -0.47
-0.14 -0.78 -1.06 1.1 -0.12 -3.11 -2.75 -3.18
1.53 2.18 0.85 -0.34 1.43 3.8 -0.59 5.01
-0.19 -0.37 -0.77 1.76 0.3 -4.05 -4.85 -6.22
-0.54 0.22 0.33 1.35 0.35 -1.76 -3.22 3.09
-1.94 -0.71 -0.55 -0.18 0.03 -1.6 -1.09 -2.6
-0.24 1.88 -0.43 -0.96 -0.15 3.12 0.35 2.17
1.14 1.65 0.4 0.17 -0.48 0.57 1 4.82
2.5 -0.53 0.3 0.01 -0.63 -1.93 2.86 7.13
-0.55 -2.53 -0.91 0.38 2 -5.68 -4.81 -2.17
1.24 1.19 0.67 -0.46 -1.54 6.24 4.69 4.81
-1.02 1.55 1.62 0.05 -1.51 6.16 3.47 6.38
-1.86 0.76 -1.28 1.75 0.27 -4.54 -6.71 -8.94
-0.96 0.62 -0.8 0.05 -1.65 0.54 1.28 -3.24
-0.2 -0.49 -0.19 -0.51 -0.99 -2.15 1.92 -0.73
-0.1 0.31 1.07 0.18 -0.28 2.63 0.99 3.45
0.68 -0.69 -2.09 -1.15 -0.06 -5.34 0.67 -0.68
-1.51 0.09 1.24 0.23 -0.6 3.66 0.54 2.75
1.61 1.07 2.16 0.34 -0.53 6.28 2.72 7.15
