X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.95 -0.44 -0.98 -0.16 0.54 -1.21 -2.33 -2.32
-0.81 -1.14 -0.41 -0.29 -0.46 -0.56 1.69 -1.4
1.25 -0.13 0.71 0.18 1.11 -0.15 -1.45 -0.85
0.03 -0.77 0.59 -0.06 -0.57 -0.67 2.29 2.37
0.65 0.81 1.43 -0.58 0.09 5.99 2.99 7.4
2.02 -0.87 0.43 1.67 -0.01 -0.95 -2.07 -3.3
0.34 0.89 0.72 -0.7 -1.25 4.02 3.97 5.69
-1.71 -0.19 1.11 0.76 0.51 2.27 -1.29 -1.33
0.24 -0.81 0.52 1.12 2.83 -4.88 -7.16 -0.86
-2.75 -1.98 -0.7 -1.83 0.11 -0.61 2.17 -4.25
-0.16 -0.9 -1.14 0.43 0.09 -3.57 -1.28 -2.36
0.52 0.41 -0.23 0.54 0.41 -1.76 -2.55 1.48
0.28 0.22 0.52 -0.2 1.36 0.91 -1.6 -0.52
-0.3 -0.09 1.37 1.84 1.57 0.76 -5.72 -3.75
-0.84 -0.27 0.47 -0.13 1.12 -0.47 -1.76 -1.49
-1.49 0.23 -0.71 -0.25 -0.82 1.03 0.74 -3.63
-0.16 -0.9 -1.14 0.43 0.09 -4.89 -1.39 -4.78
0.68 -0.69 -2.09 -1.15 -0.06 -3.69 1.13 -2.35
1.03 -0.22 1.2 0.75 -0.41 2.03 0.8 3.97
-1.57 0.47 -0.85 -0.62 -2.15 0.27 3.78 0.21
0 0.34 -0.55 -0.41 0.22 0.03 -0.53 2.91
0.15 1.68 1.61 1.98 -2.08 5.6 0.92 5.93
2.5 -0.53 0.3 0.01 -0.63 -1.32 2.65 5.21
1.48 -0.9 -0.06 -0.15 -0.15 -2.01 1.62 -0.38
0.58 -1.57 -0.78 1.28 -0.11 -5.42 -2.03 -7.36
1.01 -1.52 -0.64 -0.67 0.66 -3.98 0.6 -1.91
-0.16 -0.9 -1.14 0.43 0.09 -2.88 -1.81 -3.39
0.5 1.35 -0.06 -1.47 1.13 1.31 0.39 4.82
0.41 -0.5 -0.24 0.06 -0.38 -1.67 1.64 -0.57
0.69 0.74 0.94 -1.14 -0.25 3.58 4.2 1.39
0.34 0.89 0.72 -0.7 -1.25 4.87 3.43 1.93
0.13 0.64 0.8 0.29 -0.07 2.99 -0.48 1.5
0.66 1.53 -0.47 2.55 1.15 -1.23 -7.72 -0.6
-0.54 0.22 0.33 1.35 0.35 -0.38 -3.23 -2.1
1.43 -0.25 0.35 -0.37 -2.35 1.91 5.86 2.25
-0.34 1.81 -1.07 -0.65 -0.88 -0.06 0.85 6.35
0.12 -0.2 0.63 -1.22 1.64 1.09 0.66 2.45
0.41 -0.97 0.29 0.25 -0.89 -0.36 1.24 -0.56
0.18 -0.13 -0.76 0.1 0.01 -4.47 -0.68 -1.12
-1.49 -0.86 -0.8 0.15 -0.72 -3.11 -0.36 -0.06
-1.86 0.76 -1.28 1.75 0.27 -1.75 -7.3 0.12
1.19 -0.39 0.04 -0.14 -0.4 1.52 2.1 0.22
-0.33 0.33 0.75 0.37 -2.3 2.13 3.95 4.31
1.14 0.92 -0.68 1.82 -1.23 -3.57 -2.35 -2.98
1.14 -0.3 1.64 0.24 1.14 2.18 0.54 -0.28
0 0.34 -0.55 -0.41 0.22 -2.8 -0.87 -1.02
0.69 -0.64 0.52 -0.54 -0.94 0.77 3.72 3.44
0.73 -0.07 -0.62 1.84 -0.94 -3.73 -2.8 0.16
-0.23 1.34 1.76 -0.75 -0.03 6.75 2.41 7.55
-1.46 1.94 0.04 -0.39 0.75 3.97 -2.01 0.85
