X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.2 -0.49 -0.19 -0.51 -0.99 1.06 2.62 2.66
-1.2 0.48 0.98 0.1 -0.15 4.62 1.05 2.09
0.2 -1.66 0.42 -0.23 -0.2 -1.21 1.27 -3.24
0.1 1.06 -0.82 0.73 0.73 -3.18 -3.7 0.71
-0.84 -0.27 0.47 -0.13 1.12 1.78 -0.98 1.13
-0.53 -1.89 0.01 -0.55 0.36 0.11 0.69 -6.35
0.69 0.74 0.94 -1.14 -0.25 4.03 3.75 5.94
1.12 -0.35 -0.85 -0.85 -1.63 -1 4.84 2
-0.55 -2.53 -0.91 0.38 2 -9.02 -5.55 -5.17
0.1 1.06 -0.82 0.73 0.73 -1.26 -4.11 -0.08
-0.93 1.34 -1.87 -1.15 -0.42 0.23 0.74 0.75
-0.55 -2.53 -0.91 0.38 2 -7.78 -4.87 -6.19
1.25 -0.13 0.71 0.18 1.11 0.15 -1.14 0.27
-0.52 -0.44 0.36 1.72 1.52 -1.85 -6.46 -6.03
0.41 -0.36 -0.6 0.59 1.39 -4.74 -4.21 -2.93
1.44 0.49 0.48 -0.19 0.62 1.84 0.99 1.04
1.32 -0.4 0.11 -0.81 0.33 -0.72 2.74 0.99
-0.84 -0.27 0.47 -0.13 1.12 1.95 -1.03 -1.31
-0.85 0.09 1.27 -0.26 -1.11 5.1 3.06 3.93
0.12 -0.2 0.63 -1.22 1.64 0.43 1.71 1.44
-0.02 -1.67 0.13 0.39 0.29 -2.06 -0.76 0.3
0.74 -0.12 0.88 -0.67 0.23 2.54 2.97 3.92
1.58 0.3 1.8 -1.56 -0.03 5.29 5.86 9.08
0.02 -1.03 -1.71 -1.01 -1.04 -3.96 2.36 -3.47
0.15 -0.68 0.58 -0.22 0.33 0.67 1.34 -3.03
-0.66 -2.01 -0.04 -0.73 0.76 -2.37 0.59 -3.57
-0.33 0.33 0.75 0.37 -2.3 4.95 3.65 3.32
-0.41 0.31 0.36 -0.68 1.17 0.44 -0.9 2.11
-1.51 0.09 1.24 0.23 -0.6 3.61 2.08 0.45
0.2 -1.66 0.42 -0.23 -0.2 -1.78 2.38 -4.46
1.12 -0.35 -0.85 -0.85 -1.63 -0.62 3.51 -1.08
1.12 -0.35 -0.85 -0.85 -1.63 -0.66 3.48 1
-0.19 0.88 -0.57 0.27 1.55 0.34 -3.85 -0.51
-0.52 -0.44 0.36 1.72 1.52 -2.33 -5.58 -4.29
-0.32 -0.11 0.17 0.48 1.46 -0.65 -3.15 -3.93
1.09 -0.81 0.89 -0.37 -1.29 0.21 4.87 7.76
-0.51 -0.24 1.13 -0.82 0.73 2.66 1.51 2.76
-1.8 -0.55 1.85 -0.13 0.84 4.48 -0.28 -0.93
0.58 0.52 0.59 1.78 1.59 -3.29 -5.29 -0.52
-0.01 1.18 0.67 0.82 -1.82 2.43 1.51 7.19
1.2 0.16 1.39 0.95 -0.67 3.72 0.6 9.11
-0.32 -0.11 0.17 0.48 1.46 1.18 -2.9 -3.15
0.13 0.64 0.8 0.29 -0.07 1.22 0.71 3.69
-0.12 0.43 -0.31 1.31 1.03 -3.51 -4.91 -5.79
0.2 -1.66 0.42 -0.23 -0.2 -0.84 2.41 -3.79
0.36 -0.27 -0.32 -0.71 0.8 -3.29 -0.49 -1.17
0.2 0.8 1.61 -0.8 0.3 5.2 2.68 6.02
-0.97 -0.95 -1.69 0.74 0.06 -6.09 -3.78 -4.53
1.53 2.18 0.85 -0.34 1.43 3.55 -1.26 7.68
1.14 1.65 0.4 0.17 -0.48 3.25 0.59 4.55
