X1 X2 X3 X4 X5 Y1 Y2 Y3
1.1 0.97 0.39 -0.57 -1.71 4.32 4.59 7.88
0.02 -1.03 -1.71 -1.01 -1.04 -2.81 3.06 -1.2
-0.19 -0.37 -0.77 1.76 0.3 -4.57 -5.74 -6.53
0.12 -0.2 0.63 -1.22 1.64 0.11 1.05 2.84
0.9 -0.52 0.89 -1.62 1.09 3.23 3.64 5.24
-0.41 0.26 0.83 0.56 0.75 3.55 -2.18 -3.35
1.1 0.97 0.39 -0.57 -1.71 3.07 4.4 6.35
0.34 0.89 0.72 -0.7 -1.25 4.49 4.77 5.01
1.01 -1.52 -0.64 -0.67 0.66 -5.79 -0.54 0.8
0.79 -0.51 -0.07 -0.22 0.36 -0.75 0.25 1.14
1.24 0.31 -0.44 -0.17 0.91 -0.74 -0.34 2.21
0.16 -1.19 0.35 0.98 0.41 -2.92 -2.38 -0.7
-0.85 0.09 1.27 -0.26 -1.11 4.66 2.8 1.26
1.49 1.99 -0.47 1.43 0.1 -0.29 -4.47 -0.18
0.04 -0.04 0.23 -0.95 1.33 -0.38 -0.29 0.24
0.09 -0.53 -1.14 0.52 -0.14 -3.12 -1.33 -4.94
1.73 -0.09 1.98 1.16 0.39 1.79 0.64 2.88
-1.77 -0.43 -0.07 0.13 1.8 0.22 -3.64 -4.39
-0.99 2.17 -1.34 0.15 0 0.69 -3.36 0.89
-1.49 0.23 -0.71 -0.25 -0.82 -0.96 1.16 -1.25
0.41 -0.97 0.29 0.25 -0.89 -0.08 1.52 3.15
-0.81 -1.14 -0.41 -0.29 -0.46 -1.2 1.51 -1.43
2.05 1.46 -0.08 -0.39 0.16 0.75 0.77 6.62
0.47 -0.36 -0.47 2.03 -1.93 -3.08 -1.27 -2.52
-0.08 -0.65 -1.09 -1.14 -1.5 -1.07 4.22 -3.63
-1.8 0.05 1.19 1.13 0.23 2.31 -2.51 -1.59
0.6 0.67 -0.87 -0.86 -1.81 2.14 3.99 3.11
-0.81 -1.14 -0.41 -0.29 -0.46 -2.69 0.42 -0.85
0.95 1.41 0.06 1.58 0.34 -0.65 -2.85 1.01
-1.36 -0.23 0.69 1.38 -0.34 -0.06 -1.86 -5.54
0.08 -0.29 0.44 0.36 0.47 0.47 -1.53 -3.07
0.97 -0.08 0.54 1.97 -0.14 -0.88 -3.49 -0.74
-3.04 -0.46 1.21 -1.08 2.2 5.24 -0.97 -1.81
-0.41 0.31 0.36 -0.68 1.17 1.51 -0.22 -0.18
-0.47 -1.29 0.67 -1.72 1.33 1.45 2.63 -2.39
0 0.34 -0.55 -0.41 0.22 -1.95 -0.07 4.45
1.14 2.07 0.39 1.76 -1.75 1.96 -0.83 5.89
-0.41 0.26 0.83 0.56 0.75 1.75 -2.33 -0.55
-1.95 -0.44 -0.98 -0.16 0.54 -4.38 -2.15 -4.61
1.42 -0.27 -0.71 -0.04 0.71 -4.21 -0.95 3.45
-3.04 -0.46 1.21 -1.08 2.2 5.06 -1.8 2.8
0.04 -0.04 0.23 -0.95 1.33 2.88 0.53 -0.84
0.41 -0.36 -0.6 0.59 1.39 -4.91 -3.26 -1.26
1.14 1.65 0.4 0.17 -0.48 1.43 0.8 1.1
0.41 -0.5 -0.24 0.06 -0.38 -1.13 0.98 -3.22
1.36 -0.03 0.71 0.21 -0.64 -1.14 1.42 2.24
2.5 -0.53 0.3 0.01 -0.63 -1.3 2.71 4.55
-1.88 1.24 -0.56 -0.39 0.51 1.13 -2.21 0.26
0.34 0.89 0.72 -0.7 -1.25 4.03 3.58 6.77
-0.14 -1.19 -0.21 -0.97 0.06 -0.63 1.94 -1.19
