X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.12 0.43 -0.31 1.31 1.03 -1.19 -4.9 0.23
-0.74 0.62 -0.46 -1.39 -0.82 3.18 3.85 2.57
1.25 -0.13 0.71 0.18 1.11 -0.15 -1.45 -0.85
-0.53 -1.89 0.01 -0.55 0.36 -3.37 1.37 -1.06
-1.51 0.09 1.24 0.23 -0.6 5.11 1.39 3.12
-0.93 1.34 -1.87 -1.15 -0.42 1.44 -0.39 -4.23
1.14 0.92 -0.68 1.82 -1.23 -2.5 -2.52 1.51
0.18 -0.13 -0.76 0.1 0.01 -2.06 -0.24 -1.03
1.2 0.16 1.39 0.95 -0.67 0.38 -0.14 6.12
1.32 -0.4 0.11 -0.81 0.33 0.25 1.97 2.92
0.51 -1.11 -0.15 1.32 1.5 -3.67 -3.9 -2.28
0.58 -1.57 -0.78 1.28 -0.11 -6.39 -3.05 -2.56
-0.38 1.82 -0.34 -1.43 -0.07 3.65 1.38 1.97
0.61 0.06 -0.91 -0.45 -0.94 -0.9 1.01 -1.77
1.01 -1.52 -0.64 -0.67 0.66 -4.95 0.31 -1.95
2.5 -0.53 0.3 0.01 -0.63 -0.01 3.31 1.36
-0.3 -0.09 1.37 1.84 1.57 -0.14 -4.37 -2.3
-0.16 1.5 -0.81 1.04 0.41 0.18 -4.12 -0.89
0.95 1.41 0.06 1.58 0.34 0.25 -4.08 2.69
-0.1 0.9 0.53 -1.38 -0.2 3.12 4.32 4.19
-0.14 -0.78 -1.06 1.1 -0.12 -4.15 -3.32 -1.08
1.12 -0.35 -0.85 -0.85 -1.63 -0.78 4.72 2.81
-1.77 -0.43 -0.07 0.13 1.8 -1.51 -4.07 -2.48
-0.84 -0.27 0.47 -0.13 1.12 0.5 -1.28 -2.44
-0.81 -1.14 -0.41 -0.29 -0.46 -1.31 1.36 -5.8
-0.14 -1.19 -0.21 -0.97 0.06 -1.21 1.96 -1.28
-0.34 1.81 -1.07 -0.65 -0.88 2.92 0.9 2.25
0.69 0.74 0.94 -1.14 -0.25 3.24 3.34 6.64
-0.63 0.38 -0.04 -1.24 -0.63 2.15 4.15 1.4
1.43 -0.25 0.35 -0.37 -2.35 0.82 6.07 0.72
-1.36 -0.23 0.69 1.38 -0.34 1.24 -2.85 -4.76
0.41 -0.36 -0.6 0.59 1.39 -3.14 -4.45 -3.45
0.51 -1.11 -0.15 1.32 1.5 -2.94 -4.35 -2.86
-0.12 0.43 -0.31 1.31 1.03 -2.17 -4.81 -2.88
-0.97 -0.95 -1.69 0.74 0.06 -5.42 -3.49 -8.22
1.61 1.07 2.16 0.34 -0.53 4.41 3.06 11.79
-0.14 -0.78 -1.06 1.1 -0.12 -5.14 -3.15 -2.69
-1.25 1.57 -1.45 1.6 1.96 -3.33 -9.89 -5.71
-1.02 1.55 1.62 0.05 -1.51 5.18 3.2 5.12
-1.46 1.94 0.04 -0.39 0.75 2.5 -1.77 4.72
0.28 0.22 0.52 -0.2 1.36 2.21 -1.69 6.25
-1.49 -0.86 -0.8 0.15 -0.72 0.07 -0.06 -5.14
-0.84 -0.27 0.47 -0.13 1.12 -0.64 -0.81 0.18
-2.12 -1.23 1.69 -0.42 -1.5 3.37 4.62 -3.2
1.25 -0.13 0.71 0.18 1.11 0.22 -0.31 -1.4
0.73 -0.07 -0.62 1.84 -0.94 -5.68 -3.26 -2.37
1.42 -0.27 -0.71 -0.04 0.71 -3.58 -1.1 0.87
0.48 -1.08 -0.33 -1.31 0.27 -1.59 2.48 1.44
0.34 -0.54 -0.48 0.79 0.26 -3.39 -2.71 -0.13
-0.17 -0.8 0.43 1.48 -0.51 -0.87 -1.75 -1.81
