X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.97 -0.95 -1.69 0.74 0.06 -4.82 -3.55 -3.67
-0.19 0.88 -0.57 0.27 1.55 -0.24 -3.4 -0.31
0.9 -0.16 -2.75 0 0.2 -7.59 -3.61 -6.29
0.41 -0.97 0.29 0.25 -0.89 -2.04 2.07 1.93
1.73 -0.09 1.98 1.16 0.39 3.4 0.35 6.21
-0.63 0.38 -0.04 -1.24 -0.63 4.57 2.7 -1.82
1.25 -0.13 0.71 0.18 1.11 -0.27 -0.81 2.48
2.25 -0.4 -1.08 1.58 -0.55 -5.53 -1.66 -0.66
0.06 0.16 0.22 -1.45 -1.38 1.21 4.18 5.98
-0.1 0.9 0.53 -1.38 -0.2 4.72 3.24 4.79
2.05 1.46 -0.08 -0.39 0.16 2.01 1.64 6.23
0.41 -0.5 -0.24 0.06 -0.38 -2.02 0 1.2
0.28 0.22 0.52 -0.2 1.36 0.91 -1.6 -0.52
-0.11 -0.11 1.66 0.93 0.42 3.05 -1.53 -1.11
-0.38 1.82 -0.34 -1.43 -0.07 2.44 1.39 3.01
0.41 -0.97 0.29 0.25 -0.89 0.27 2.33 -1.84
1.36 -0.03 0.71 0.21 -0.64 0.67 2.68 2.22
0.92 -0.19 -0.56 -0.74 1.92 -1.08 -1.32 -0.79
0.9 -0.16 -2.75 0 0.2 -6.86 -3.04 -2.5
-1.51 0.09 1.24 0.23 -0.6 2.86 1.98 1.12
1.14 0.92 -0.68 1.82 -1.23 -1.64 -2.69 3.57
-0.51 -0.24 1.13 -0.82 0.73 3.47 2.18 2.44
0.5 1.35 -0.06 -1.47 1.13 2.01 0.78 5.04
0.41 -0.5 -0.24 0.06 -0.38 -1.44 0.64 -1.47
-0.15 -0.54 -0.84 -1.1 0.74 -1.65 0.75 -4.96
-0.1 0.31 1.07 0.18 -0.28 2.89 0.91 2.07
0.2 -1.66 0.42 -0.23 -0.2 0.52 2.25 -0.41
-0.34 -0.78 0.12 1.98 1.35 -4.72 -6.58 -2.81
0.15 1 -2.06 2.34 1.75 -7.61 -9.28 -6.1
0.71 1.06 -0.21 -1.6 0.8 1.15 2.12 -0.42
1.34 0.96 0.08 2.99 0.65 -2.27 -7.6 -3.45
1.3 -1.71 0.46 -0.09 -0.5 -1.04 2.15 -0.2
-1.05 -1.27 1.7 -0.43 -0.67 5.29 4.11 1.85
1.3 -1.71 0.46 -0.09 -0.5 -1.58 2.98 -0.1
-0.73 0.68 1.47 -0.91 -0.76 6.64 4.22 2.19
0.9 -0.52 0.89 -1.62 1.09 0.65 3.47 7.4
0.74 -0.12 0.88 -0.67 0.23 1.73 2.29 4.24
-0.69 -2.6 -0.94 0.47 -0.51 -5.5 -1.07 -6.8
0.18 -0.13 -0.76 0.1 0.01 -4.47 -0.68 -1.12
-0.12 0.43 -0.31 1.31 1.03 -3.15 -4.89 1.54
-1.77 -0.43 -0.07 0.13 1.8 0.3 -4.48 1.17
2.5 -0.53 0.3 0.01 -0.63 1.26 3.16 2.05
0.79 -0.51 -0.07 -0.22 0.36 -2.52 0.9 1.59
0.08 -0.29 0.44 0.36 0.47 -1.45 -0.83 -3.8
-0.99 2.17 -1.34 0.15 0 0.33 -2.79 -3.44
-1.57 0.47 -0.85 -0.62 -2.15 -0.91 2.21 -1.1
-0.73 0.68 1.47 -0.91 -0.76 5.91 4.02 5.46
1.61 1.07 2.16 0.34 -0.53 5.51 2.73 8.86
0.34 -0.54 -0.48 0.79 0.26 -3.39 -2.71 -0.13
-0.51 -0.24 1.13 -0.82 0.73 3.53 1.46 1.27
