X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.25 1.57 -1.45 1.6 1.96 -2.66 -9.27 -2.54
0.47 -0.3 -0.75 0.5 -1.95 -0.81 2.34 1.07
-0.86 -0.43 -1.94 1.2 0.37 -6.58 -6.29 -8.86
-2.75 -1.98 -0.7 -1.83 0.11 -2.54 2.58 -3.46
0.66 1.53 -0.47 2.55 1.15 -1.67 -7.66 0.89
0.73 -0.07 -0.62 1.84 -0.94 -1.34 -3.04 -4.95
0.5 1.35 -0.06 -1.47 1.13 2.11 0.8 4.12
-1.91 1.68 -0.41 -0.52 0.55 2.72 -1.2 -0.17
-0.15 -0.54 -0.84 -1.1 0.74 -3.86 -0.95 0.86
-0.91 0.75 1.17 -0.17 0.92 4.47 -0.72 2.48
-1.39 1.33 -1.2 -0.35 2.47 -0.56 -5.03 -1.86
-1.78 -2.36 1.25 1.08 0.6 -1.67 -2.4 -3.41
-0.03 0.23 0.25 -0.01 -0.4 1.29 0.36 -0.15
0.71 1.06 -0.21 -1.6 0.8 2.35 1.05 0.8
-1.05 -1.27 1.7 -0.43 -0.67 2.6 3.39 0.72
0.66 1.53 -0.47 2.55 1.15 -1.93 -7.47 -3.49
0 0.35 0.29 -0.85 -0.93 2.22 4.08 1.8
-0.99 2.17 -1.34 0.15 0 1.47 -2.87 -0.56
-0.1 0.55 -0.2 1.41 -1.23 0.07 -1.67 1.23
-1.8 0.05 1.19 1.13 0.23 1.34 -1.42 -1.01
0.09 -0.53 -1.14 0.52 -0.14 -3.47 -2.14 0.06
-1.94 -0.71 -0.55 -0.18 0.03 -0.79 -0.42 -2.92
0.11 1.77 0.08 -0.11 -0.43 2.58 0.22 5.16
-2.49 1.05 1.01 -0.05 -0.9 5.62 1.03 -0.1
0.65 0.81 1.43 -0.58 0.09 5.11 3.06 1.7
-0.31 0.83 1.59 -0.64 0.33 5.52 1.94 3.84
-0.96 0.62 -0.8 0.05 -1.65 1.9 1.12 0.14
0.69 0.74 0.94 -1.14 -0.25 3.24 3.34 6.64
-0.14 -1.19 -0.21 -0.97 0.06 -1.43 3.15 -1.37
1.1 0.97 0.39 -0.57 -1.71 2.62 4.86 1.8
-0.31 0.83 1.59 -0.64 0.33 6.19 1.43 1.21
-1 -0.45 -0.04 2.68 0.03 -2.69 -6.72 -5.52
0.66 1.53 -0.47 2.55 1.15 -1.23 -7.72 -0.6
-1.35 -1.51 0.63 -1.42 -0.53 1.91 4.6 -1.24
-0.09 1.36 0.91 -0.19 -0.08 4.72 1.06 1.62
0.04 -0.51 0.56 2.16 -1.08 -2.56 -1.81 3.4
-0.32 -0.11 0.17 0.48 1.46 -1.42 -3.39 -0.45
-1.36 -0.23 0.69 1.38 -0.34 0.97 -2.76 -2.64
-1.51 0.09 1.24 0.23 -0.6 1.72 1.29 0.91
-0.52 -0.44 0.36 1.72 1.52 -3.31 -5.65 0.13
-0.23 1.34 1.76 -0.75 -0.03 8.45 2.37 11.04
1.53 2.18 0.85 -0.34 1.43 6.01 -0.37 4.36
-1.88 1.24 -0.56 -0.39 0.51 0.19 -1.54 0.09
-0.84 -0.76 -0.47 0.38 -1.41 -2.7 0.89 -5.6
-0.54 -1.34 1.01 0.17 -0.47 1.09 2.14 -3.46
0.33 -0.23 1.98 -1.81 0.19 3.87 5.3 4.45
0.2 -1.66 0.42 -0.23 -0.2 -1.42 1.96 0.34
0.9 -0.52 0.89 -1.62 1.09 1.75 3.13 4.46
-1.05 -1.27 1.7 -0.43 -0.67 3.41 3.32 2.97
2.02 -0.87 0.43 1.67 -0.01 -2.57 -1.83 0.11
