X1 X2 X3 X4 X5 Y1 Y2 Y3
0.41 -0.36 -0.6 0.59 1.39 -2.71 -3.71 -0.24
0.79 -0.51 -0.07 -0.22 0.36 -0.24 1.13 1.25
0.69 -0.64 0.52 -0.54 -0.94 0.98 3.03 -0.14
0.58 -1.57 -0.78 1.28 -0.11 -7.11 -2.17 -2.27
-0.81 -1.14 -0.41 -0.29 -0.46 -0.43 1.29 -0.11
0.74 -0.12 0.88 -0.67 0.23 4.23 2 -0.65
-0.31 0.83 1.59 -0.64 0.33 5.34 1.97 4.97
0.79 -0.51 -0.07 -0.22 0.36 -1.09 1.07 0.41
0.41 -0.97 0.29 0.25 -0.89 -2.56 0.52 2.66
1.14 1.65 0.4 0.17 -0.48 3.32 0.62 5.64
-0.99 2.17 -1.34 0.15 0 1 -2.43 0.97
-0.93 1.34 -1.87 -1.15 -0.42 -1.32 -0.6 0.76
-1.02 1.55 1.62 0.05 -1.51 7.53 2.5 3.68
-1.95 -0.44 -0.98 -0.16 0.54 -1.7 -3.12 -7.17
0.69 0.74 0.94 -1.14 -0.25 3.24 3.42 4.77
0 0.34 -0.55 -0.41 0.22 0.37 0.29 -2.09
-1.05 -1.27 1.7 -0.43 -0.67 3.24 4.45 0
-1.35 -1.51 0.63 -1.42 -0.53 3.28 4.74 -0.64
-0.1 0.31 1.07 0.18 -0.28 3.57 0.87 3.66
-0.69 -2.6 -0.94 0.47 -0.51 -6.86 0.42 -5.71
0.63 -0.91 -0.77 0.15 -0.88 -2.52 0.64 1.8
0.37 -0.24 0.82 -1.55 1.48 2.65 2.62 3.18
-0.23 1.34 1.76 -0.75 -0.03 6.64 2.78 7.39
0.41 -0.5 -0.24 0.06 -0.38 -1.44 0.64 -1.47
1.49 1.99 -0.47 1.43 0.1 -0.46 -3.33 -1.09
1.53 2.18 0.85 -0.34 1.43 3.72 -0.9 5.47
-0.17 -0.8 0.43 1.48 -0.51 0.24 -1.37 -1.27
0.12 -0.2 0.63 -1.22 1.64 0.42 0.25 2.7
-0.47 -1.29 0.67 -1.72 1.33 0.77 3.55 -0.59
-0.01 1.18 0.67 0.82 -1.82 2.69 1.77 -0.19
-0.41 1.05 -0.22 0.65 -1.16 1.66 -1.04 -1.92
2.02 -0.87 0.43 1.67 -0.01 -2.51 -2.34 -0.54
0.16 -1.19 0.35 0.98 0.41 -0.63 -1.49 -1.29
-0.69 -0.41 1.04 0.01 0.51 1.91 0.28 -0.6
-0.69 -2.6 -0.94 0.47 -0.51 -5.43 -0.39 -8.17
-0.99 2.17 -1.34 0.15 0 -1.28 -3 4.04
-1.36 1.13 -0.39 -0.73 0.18 1.58 -0.44 1.43
-0.69 -2.6 -0.94 0.47 -0.51 -5.5 -1.07 -6.8
0.15 -0.68 0.58 -0.22 0.33 -1.84 1.17 0.45
1.14 2.07 0.39 1.76 -1.75 1.37 -0.64 8.27
0.47 -0.3 -0.75 0.5 -1.95 -0.42 1.05 5.48
0.9 -0.16 -2.75 0 0.2 -5.25 -2.46 -5.21
-0.31 0.83 1.59 -0.64 0.33 4.38 2.6 5.47
-0.99 2.17 -1.34 0.15 0 -1.24 -3.12 -4.06
0.69 -0.28 0.71 0.11 -0.3 1.22 1.86 -1.07
1.53 2.18 0.85 -0.34 1.43 1.57 -1.38 4.74
1.19 -0.39 0.04 -0.14 -0.4 -1.04 1.65 2.72
-0.34 1.81 -1.07 -0.65 -0.88 1.04 0.52 3.41
1.09 -0.81 0.89 -0.37 -1.29 1.35 4.19 5.24
0.18 -0.13 -0.76 0.1 0.01 -1.78 -1.09 -1.39
