X1 X2 X3 X4 X5 Y1 Y2 Y3
0.47 -0.36 -0.47 2.03 -1.93 -2.01 -1.24 1.12
-0.53 -1.89 0.01 -0.55 0.36 -0.94 1.83 -1.75
-1.51 0.09 1.24 0.23 -0.6 3.78 0.28 -1.66
-0.34 -0.78 0.12 1.98 1.35 -5.03 -5.78 -2.67
0.79 -0.51 -0.07 -0.22 0.36 -0.11 0.73 2.54
0.73 -0.07 -0.62 1.84 -0.94 -1.34 -3.04 -4.95
0.06 0.16 0.22 -1.45 -1.38 2.83 5.35 4.41
0.37 -0.24 0.82 -1.55 1.48 2.43 2.75 2.37
1.14 -0.3 1.64 0.24 1.14 0.06 -1.12 5.17
0.22 0.07 -0.83 -0.79 -1.87 0.49 3.67 2.4
0.71 1.06 -0.21 -1.6 0.8 2.77 2.52 4.66
1.33 0.16 0.66 -1.23 -1.02 2.41 4.92 6.7
-0.81 -1.14 -0.41 -0.29 -0.46 -1.47 0.49 -3.76
-0.16 -0.9 -1.14 0.43 0.09 -3.99 -2.75 -6.22
-1.77 -0.43 -0.07 0.13 1.8 -2.2 -4.37 -4.56
1.14 -0.3 1.64 0.24 1.14 2.89 0.7 0.66
-1.25 1.57 -1.45 1.6 1.96 -4.06 -8.71 -5.95
-0.93 1.34 -1.87 -1.15 -0.42 0.7 0.3 -0.78
1.1 0.97 0.39 -0.57 -1.71 3.92 4.32 6.81
0.68 -0.69 -2.09 -1.15 -0.06 -6.11 1.77 -1.91
-0.2 0.89 0.37 -0.46 0.37 3.06 0.04 4.93
0.15 -0.68 0.58 -0.22 0.33 0.78 1.48 1.35
-3.04 -0.46 1.21 -1.08 2.2 3.24 -1.39 -0.85
1.12 -0.35 -0.85 -0.85 -1.63 -1.29 4.2 0.57
0.6 0.67 -0.87 -0.86 -1.81 0.86 4.19 -0.65
0.04 -0.51 0.56 2.16 -1.08 -1.26 -2.13 -1.33
0.41 -0.5 -0.24 0.06 -0.38 0.24 0.82 0.15
-1.02 1.55 1.62 0.05 -1.51 6.32 2.43 6.59
-0.24 1.88 -0.43 -0.96 -0.15 2.5 1.95 2.6
0.15 1.68 1.61 1.98 -2.08 4.46 0.7 1.25
0.16 -1.19 0.35 0.98 0.41 -1.68 -2.43 -5.02
0.18 -0.13 -0.76 0.1 0.01 -1.72 -1.6 -2.04
-0.53 -1.89 0.01 -0.55 0.36 -0.36 1.38 -1.94
2.02 -0.87 0.43 1.67 -0.01 -3.06 -1.51 -0.44
-2.44 0.71 -0.92 -0.16 0.18 0.41 -2.35 -5.46
-1.78 -2.36 1.25 1.08 0.6 -2.4 -1.63 -0.36
-1.36 1.13 -0.39 -0.73 0.18 1.58 -0.44 1.43
-0.1 0.31 1.07 0.18 -0.28 3.29 0.51 1.55
0.33 -1.74 0.89 -0.93 0.66 -2.08 2.99 0.24
-0.32 -0.11 0.17 0.48 1.46 -2 -3.2 1.92
-0.14 -0.78 -1.06 1.1 -0.12 -3.3 -3.58 1.43
0.47 -0.3 -0.75 0.5 -1.95 0.33 1.98 -1.33
-1.8 0.05 1.19 1.13 0.23 1.17 -1.84 0.04
-0.79 -1.27 1.68 -0.77 -0.1 2.19 3.79 -2.39
0.22 -2.09 2.81 0.83 1.06 2.35 0.97 -2.49
0.5 -1.8 -1.82 -0.42 3.09 -10.79 -5.73 -7.86
-0.69 -0.41 1.04 0.01 0.51 1.56 0.05 1.24
0.66 1.53 -0.47 2.55 1.15 -3.15 -8.16 0.11
0.08 -0.29 0.44 0.36 0.47 -0.36 -1.38 1.77
0.63 -0.91 -0.77 0.15 -0.88 -2.63 0.76 -1.3
