X1 X2 X3 X4 X5 Y1 Y2 Y3
2.02 -0.87 0.43 1.67 -0.01 -2.08 -1.59 2.67
-0.23 1.34 1.76 -0.75 -0.03 8.07 3.66 6.63
-0.51 -0.24 1.13 -0.82 0.73 2.9 0.86 -1.02
-0.33 0.33 0.75 0.37 -2.3 1.98 3.71 4.65
-0.74 0.62 -0.46 -1.39 -0.82 3.31 3.45 3.86
0.9 -1.37 -1.09 0.7 1.02 -4.29 -3.7 -7.68
-0.53 -1.89 0.01 -0.55 0.36 -2.26 0.97 -1.9
-0.53 -1.89 0.01 -0.55 0.36 -1.79 1.78 -2.59
0.13 0.64 0.8 0.29 -0.07 0.55 -1.09 4.77
0.79 -0.51 -0.07 -0.22 0.36 -0.75 0.25 1.14
-0.86 -0.43 -1.94 1.2 0.37 -5.54 -4.79 -5
-0.69 -2.6 -0.94 0.47 -0.51 -6.46 -1.12 -4.6
1.5 -0.81 0.49 0.37 0.37 -1.22 -0.22 -0.37
-0.54 0.22 0.33 1.35 0.35 0.1 -4.12 -3.84
-0.86 -0.43 -1.94 1.2 0.37 -7.49 -5.96 -6.7
-0.93 1.34 -1.87 -1.15 -0.42 0.27 0.54 -2.72
-0.86 -0.43 -1.94 1.2 0.37 -6.86 -4.9 -7.41
-0.52 -0.44 0.36 1.72 1.52 -0.96 -5.44 -3.7
0.69 -0.28 0.71 0.11 -0.3 1.58 1.29 3.26
-1.77 -0.43 -0.07 0.13 1.8 -2.2 -2.99 -3.95
2.5 -0.53 0.3 0.01 -0.63 -0.36 2.5 6.36
0 0.35 0.29 -0.85 -0.93 3.06 4.01 3.82
-0.14 -1.19 -0.21 -0.97 0.06 -1.49 1.97 0.77
-0.41 1.05 -0.22 0.65 -1.16 0.99 -0.35 -0.28
-0.01 1.18 0.67 0.82 -1.82 3.72 1.85 0.11
0.37 -0.24 0.82 -1.55 1.48 2.14 1.91 1.92
1.3 -1.71 0.46 -0.09 -0.5 0.01 3.04 0.99
-0.09 1.36 0.91 -0.19 -0.08 3.28 0.41 5.34
-0.33 0.33 0.75 0.37 -2.3 3.04 4.47 2.59
-0.53 -1.89 0.01 -0.55 0.36 -2.71 1.43 -6.45
1.53 2.18 0.85 -0.34 1.43 4.38 -1.4 2.83
1.28 -1.15 -0.86 -1.22 1.19 -3.19 0.12 -1.82
-1.8 0.05 1.19 1.13 0.23 4.03 -2.07 -0.5
-0.01 1.18 0.67 0.82 -1.82 3.4 1.59 2.77
0.04 -0.51 0.56 2.16 -1.08 -0.79 -1.85 -3.22
-2.12 -1.23 1.69 -0.42 -1.5 3.32 4.74 4.9
1.36 -0.03 0.71 0.21 -0.64 0.7 1.93 4.56
0.37 -0.24 0.82 -1.55 1.48 2.53 1.51 1.41
-0.14 -1.19 -0.21 -0.97 0.06 -3.32 2.35 -0.92
-1.49 -0.86 -0.8 0.15 -0.72 -3.11 -0.36 -0.06
1.28 -1.15 -0.86 -1.22 1.19 -2.29 0.25 4.44
1.5 -0.81 0.49 0.37 0.37 0.83 0.62 -0.41
0.22 0.07 -0.83 -0.79 -1.87 -1.28 4.32 2.85
-0.99 2.17 -1.34 0.15 0 -1.24 -3.12 -4.06
1.24 0.31 -0.44 -0.17 0.91 -1.41 -0.7 -2.2
-2.49 1.05 1.01 -0.05 -0.9 3.47 0.37 0.16
-0.63 0.38 -0.04 -1.24 -0.63 2.11 3.03 2.88
0.22 -2.09 2.81 0.83 1.06 1.83 0.44 2.05
0.73 -0.07 -0.62 1.84 -0.94 -3.7 -3.14 0.57
0.69 -0.28 0.71 0.11 -0.3 1.48 1.32 1.76
