X1 X2 X3 X4 X5 Y1 Y2 Y3
1.49 1.99 -0.47 1.43 0.1 0.2 -3.68 4.68
0.33 -0.23 1.98 -1.81 0.19 7.17 6.67 6.46
-0.99 2.17 -1.34 0.15 0 -0.04 -3.93 -2.9
-1.05 -1.27 1.7 -0.43 -0.67 2.28 4.1 2.73
0.13 0.64 0.8 0.29 -0.07 3.64 0.54 4.64
0.1 1.06 -0.82 0.73 0.73 0.3 -4.38 -4.58
0.12 -0.2 0.63 -1.22 1.64 1.22 0.66 1.99
0.69 0.74 0.94 -1.14 -0.25 4.51 4.55 5.25
1.36 -0.03 0.71 0.21 -0.64 -0.8 0.76 5.68
-1.25 1.57 -1.45 1.6 1.96 -3.09 -9.48 -4.01
-0.11 -0.11 1.66 0.93 0.42 3.47 -0.07 2.75
-1.49 -0.86 -0.8 0.15 -0.72 -2.79 -1.05 -2.34
-0.41 0.26 0.83 0.56 0.75 1.59 -2.23 -1.12
1.1 0.97 0.39 -0.57 -1.71 3.82 3.79 3.02
0.17 -0.34 -1.74 0.12 1.4 -6.81 -4.63 -4.62
-0.09 0.78 0.38 0.49 0.56 2.05 -1.35 -1.27
-2.44 0.71 -0.92 -0.16 0.18 -0.38 -1.85 -4.32
-1.36 -0.23 0.69 1.38 -0.34 2.03 -1.91 -1.99
0.33 -1.74 0.89 -0.93 0.66 0.7 2.55 1.46
-3.04 -0.46 1.21 -1.08 2.2 2.55 -0.32 -2.32
0.69 0.74 0.94 -1.14 -0.25 4.89 3.58 8
0.95 0.08 -0.7 0.22 1.05 -2.54 -1.92 0.13
-0.17 -0.8 0.43 1.48 -0.51 -1.72 -1.72 0.15
-1.86 0.76 -1.28 1.75 0.27 -3.28 -6.72 -6.56
-0.74 0.62 -0.46 -1.39 -0.82 2.43 3.53 -1.83
-1.78 -2.36 1.25 1.08 0.6 -1.1 -1.95 -5.09
0.15 1.68 1.61 1.98 -2.08 6.77 0.57 5.31
0.69 0.74 0.94 -1.14 -0.25 3.24 3.34 6.64
0.04 -0.51 0.56 2.16 -1.08 -1.48 -0.94 -1.42
-0.99 2.17 -1.34 0.15 0 -0.61 -2.83 -4.11
-0.47 -1.29 0.67 -1.72 1.33 1.66 1.85 -3.14
-0.93 1.34 -1.87 -1.15 -0.42 -0.12 -0.67 -1.48
-0.38 1.82 -0.34 -1.43 -0.07 5.13 2.12 4.14
-1.8 -0.55 1.85 -0.13 0.84 4.17 0.43 -0.87
0.48 -1.08 -0.33 -1.31 0.27 -0.92 2.77 -2.25
1.14 0.92 -0.68 1.82 -1.23 -3.62 -2.23 5.11
-1.95 -0.44 -0.98 -0.16 0.54 -2.57 -2.51 -3.39
2.02 -0.87 0.43 1.67 -0.01 -2.74 -2.22 -0.5
-1.86 0.76 -1.28 1.75 0.27 -5.4 -6.51 -5.21
0.15 -0.68 0.58 -0.22 0.33 -0.62 1 4.05
-1.49 0.23 -0.71 -0.25 -0.82 1.54 -0.33 3.87
-0.93 1.34 -1.87 -1.15 -0.42 1.54 0.39 -2.03
1.24 0.31 -0.44 -0.17 0.91 -2.86 -0.56 2.17
0.15 1 -2.06 2.34 1.75 -8.64 -10.27 -9.38
0.69 -0.64 0.52 -0.54 -0.94 1.35 4.17 -0.68
1.65 0.29 1.58 -1.04 0.48 1.96 3.23 5
0.16 -1.19 0.35 0.98 0.41 -2.62 -1.85 -1
0.71 1.06 -0.21 -1.6 0.8 1.58 1.62 4.8
-0.09 0.78 0.38 0.49 0.56 0.87 -2.39 2.74
-0.33 0.33 0.75 0.37 -2.3 3.84 3.27 2.77
