X1 X2 X3 X4 X5 Y1 Y2 Y3
1.32 -0.4 0.11 -0.81 0.33 0.67 2.18 4.4
-0.1 0.31 1.07 0.18 -0.28 4.04 1.8 3.35
0.6 0.67 -0.87 -0.86 -1.81 0.4 3.01 0.27
1.14 -0.3 1.64 0.24 1.14 0.58 0.44 4.43
1.12 -0.35 -0.85 -0.85 -1.63 -0.01 4.5 4.14
0.04 -0.51 0.56 2.16 -1.08 0.94 -2.38 -4.64
-0.03 0.23 0.25 -0.01 -0.4 0.87 0.7 2.06
0.79 -0.51 -0.07 -0.22 0.36 -1.09 1.07 0.41
-0.86 -0.43 -1.94 1.2 0.37 -8.33 -6.81 -3.95
0.04 -0.04 0.23 -0.95 1.33 1.23 0.01 1.45
-1.71 -0.19 1.11 0.76 0.51 2.96 -1.23 -0.11
0.52 0.41 -0.23 0.54 0.41 -1.76 -2.55 1.48
0.04 -0.04 0.23 -0.95 1.33 0.83 -0.3 -0.8
0.9 -0.52 0.89 -1.62 1.09 2.52 2.57 0.47
0.92 -0.19 -0.56 -0.74 1.92 -3.5 -2.05 -0.97
1.12 -0.35 -0.85 -0.85 -1.63 -0.27 4.69 -0.24
0.55 -0.31 -1.26 -1.25 -0.63 -2.45 3.26 -0.9
1.61 1.07 2.16 0.34 -0.53 7.16 3.18 7.2
-0.2 1.95 -1.09 0.54 0.72 -0.26 -4.56 0.96
-0.19 -0.37 -0.77 1.76 0.3 -5.48 -4.03 -3.75
0.58 0.52 0.59 1.78 1.59 -0.5 -5.82 2.31
1.24 0.31 -0.44 -0.17 0.91 -1.21 -0.52 1.8
0.33 -0.23 1.98 -1.81 0.19 5.74 5.79 7.23
1.14 2.07 0.39 1.76 -1.75 2.26 -0.68 3.32
0.04 -0.51 0.56 2.16 -1.08 -0.85 -1.56 -4.45
1.14 1.65 0.4 0.17 -0.48 2.68 0.6 4.46
-0.34 1.81 -1.07 -0.65 -0.88 2.92 0.9 2.25
-2.49 1.05 1.01 -0.05 -0.9 4.64 0.47 2.72
1.25 -0.13 0.71 0.18 1.11 -0.32 0.35 1.25
0.1 1.06 -0.82 0.73 0.73 -2.52 -3.63 -4.68
1.87 -0.34 0.15 -0.48 -0.91 0.57 3.04 0.54
1.12 -0.35 -0.85 -0.85 -1.63 -0.66 3.48 1
0.52 0.41 -0.23 0.54 0.41 0.53 -1.66 0.89
-0.24 1.88 -0.43 -0.96 -0.15 2.81 1.06 2.23
0.28 0.22 0.52 -0.2 1.36 1.13 -1.02 -1.33
1.48 -0.9 -0.06 -0.15 -0.15 -3.31 1.75 5.34
1.32 -0.4 0.11 -0.81 0.33 -0.69 1.99 3.32
-1.8 -0.55 1.85 -0.13 0.84 4.48 -0.28 -0.93
0 0.34 -0.55 -0.41 0.22 -2.77 0 0.08
-0.86 -0.43 -1.94 1.2 0.37 -7.41 -5.44 -2.7
0.47 -0.3 -0.75 0.5 -1.95 -0.42 1.05 5.48
0.95 0.08 -0.7 0.22 1.05 -0.76 -2.1 -2.24
0.28 0.22 0.52 -0.2 1.36 -0.46 -0.63 2.18
0.69 0.74 0.94 -1.14 -0.25 2.96 3.91 1.45
0.1 0.66 -0.11 0.52 -0.32 0.41 -0.54 -2.3
0.28 0.22 0.52 -0.2 1.36 -1.47 -1.78 -0.18
0.63 -0.91 -0.77 0.15 -0.88 -3.47 0.85 -0.01
-0.03 0.23 0.25 -0.01 -0.4 0.85 0.66 2.73
-0.15 -0.54 -0.84 -1.1 0.74 -2.22 -0.17 0.37
0.6 0.67 -0.87 -0.86 -1.81 1.03 3.61 2.56
