X1 X2 X3 X4 X5 Y1 Y2 Y3
1.73 -0.09 1.98 1.16 0.39 3.18 0.08 6.29
0.22 0.07 -0.83 -0.79 -1.87 1.01 4.55 2.51
1.61 1.07 2.16 0.34 -0.53 5.65 2.13 4.86
0.11 1.77 0.08 -0.11 -0.43 1.57 0.62 5.08
-0.97 -0.95 -1.69 0.74 0.06 -4.6 -3.27 -3.75
0.17 -0.34 -1.74 0.12 1.4 -3.65 -4.6 -7.9
1.36 -0.03 0.71 0.21 -0.64 0.82 1.93 4.1
0.15 1.68 1.61 1.98 -2.08 5.39 1.04 5.12
-1.57 0.47 -0.85 -0.62 -2.15 -0.57 1.55 2.34
1.53 2.18 0.85 -0.34 1.43 4.35 -0.89 6.65
1.43 -0.25 0.35 -0.37 -2.35 2.43 6.47 5.8
0.5 1.35 -0.06 -1.47 1.13 1.72 0.31 4.67
-3.04 -0.46 1.21 -1.08 2.2 3.76 -1.71 -3.97
1.43 -0.25 0.35 -0.37 -2.35 2.01 5.01 1.94
-0.41 0.26 0.83 0.56 0.75 0.38 -2.22 -0.08
0.1 0.66 -0.11 0.52 -0.32 1.12 -0.39 -1.36
1.36 -0.03 0.71 0.21 -0.64 0.67 2.68 2.22
0.92 -0.19 -0.56 -0.74 1.92 -1.08 -1.32 -0.79
-0.11 -0.11 1.66 0.93 0.42 3.15 -1 2.67
0.63 -0.91 -0.77 0.15 -0.88 -4.17 1.86 -0.81
-0.99 2.17 -1.34 0.15 0 0.7 -3.45 2.5
-1.57 0.47 -0.85 -0.62 -2.15 1.75 3.4 0.89
-0.14 -0.78 -1.06 1.1 -0.12 -5.11 -3.17 -2.22
-0.19 0.88 -0.57 0.27 1.55 -1.38 -4.1 -2.59
0.15 -0.68 0.58 -0.22 0.33 0.67 1.34 -3.03
-1.39 1.33 -1.2 -0.35 2.47 -1.54 -5.91 -3.53
0.1 1.06 -0.82 0.73 0.73 -0.21 -3.76 -0.63
0 0.35 0.29 -0.85 -0.93 1.57 2.92 4.39
0.24 -0.81 0.52 1.12 2.83 -3.3 -4.83 -3.65
-2.49 1.05 1.01 -0.05 -0.9 4.99 1.34 -2.53
-0.3 -0.09 1.37 1.84 1.57 0.86 -5.65 -4.18
-0.31 0.83 1.59 -0.64 0.33 6.15 1.41 3.29
-1.77 -0.43 -0.07 0.13 1.8 0.49 -3.65 -3.43
-0.1 0.55 -0.2 1.41 -1.23 -0.52 -1.32 -0.81
-0.38 1.82 -0.34 -1.43 -0.07 3.87 1.96 1.16
0.41 -0.36 -0.6 0.59 1.39 -5.07 -3.6 1.84
-2.49 1.05 1.01 -0.05 -0.9 5.31 0.88 2.48
1.2 0.16 1.39 0.95 -0.67 2.58 0.59 2.9
-1.8 -0.55 1.85 -0.13 0.84 1.97 0.52 -0.05
1.5 -0.81 0.49 0.37 0.37 -2.35 0.32 4.66
0.51 -1.11 -0.15 1.32 1.5 -3.12 -5.18 1.75
0.34 -0.54 -0.48 0.79 0.26 -0.94 -1.83 -3.46
-0.51 -0.24 1.13 -0.82 0.73 1.82 2.14 2.81
-1.78 -2.36 1.25 1.08 0.6 -2.35 -1.75 -8.45
0.12 -0.2 0.63 -1.22 1.64 1.71 1.15 -1.88
1.42 -0.27 -0.71 -0.04 0.71 -5.46 -1.66 -1.24
0.47 -0.3 -0.75 0.5 -1.95 -2.22 1.53 1.17
0.65 0.81 1.43 -0.58 0.09 4.51 2.48 6.62
-0.96 0.62 -0.8 0.05 -1.65 0.05 0.4 1.72
-1.25 1.57 -1.45 1.6 1.96 -3.15 -9.5 -5.1
