X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.2 1.95 -1.09 0.54 0.72 0.13 -4.3 2.03
0.15 -0.68 0.58 -0.22 0.33 1.42 1.66 1.37
-0.96 0.62 -0.8 0.05 -1.65 0.16 0.14 -2.7
1.19 -0.39 0.04 -0.14 -0.4 -2.06 1.99 3.31
0.17 -0.34 -1.74 0.12 1.4 -4.56 -3.85 -2.01
2.02 -0.87 0.43 1.67 -0.01 -0.95 -2.07 -3.3
0.17 -0.34 -1.74 0.12 1.4 -6.02 -4.31 -3.45
-1.25 1.57 -1.45 1.6 1.96 -3.43 -8.65 -4.75
-0.97 -0.95 -1.69 0.74 0.06 -7.69 -4.9 -3.62
1.14 2.07 0.39 1.76 -1.75 2.9 -0.86 5.48
-0.54 -1.34 1.01 0.17 -0.47 1.76 2.5 0.94
-1.05 -1.27 1.7 -0.43 -0.67 3 3.22 2.44
-0.19 0.88 -0.57 0.27 1.55 -1.15 -4.59 -2.68
-0.24 1.88 -0.43 -0.96 -0.15 3.29 0.18 0.49
1.3 -1.71 0.46 -0.09 -0.5 -2.64 2.39 0.32
1.32 -0.4 0.11 -0.81 0.33 0.63 2.64 -0.06
-0.74 0.62 -0.46 -1.39 -0.82 1.7 3.74 0.53
-0.91 0.75 1.17 -0.17 0.92 5.28 -0.29 1.44
-0.84 -0.76 -0.47 0.38 -1.41 -0.78 0.64 -0.65
-0.91 0.75 1.17 -0.17 0.92 2.86 0.35 1.88
-0.2 -0.49 -0.19 -0.51 -0.99 0.67 2.27 3.2
1.19 -0.39 0.04 -0.14 -0.4 -0.26 2.28 2.59
1.43 -0.25 0.35 -0.37 -2.35 1.17 5.6 6.19
-0.52 -0.44 0.36 1.72 1.52 -2.41 -5.69 -4.82
-1.05 -1.27 1.7 -0.43 -0.67 3.98 4.24 -2.36
1.65 0.29 1.58 -1.04 0.48 4.11 3.71 5.73
0.73 -0.07 -0.62 1.84 -0.94 -1.85 -2.42 -1
-0.66 -2.01 -0.04 -0.73 0.76 -3.35 0.22 -1.74
-0.19 -0.37 -0.77 1.76 0.3 -4.74 -3.93 -4.42
-0.09 0.78 0.38 0.49 0.56 0.4 -1.54 -2.89
1.03 -0.22 1.2 0.75 -0.41 2.03 0.34 -0.26
-0.54 -1.34 1.01 0.17 -0.47 1.41 1.08 -1.28
0.66 1.53 -0.47 2.55 1.15 -1.23 -7.72 -0.6
0.97 -0.08 0.54 1.97 -0.14 -1.43 -2.65 -0.64
-0.17 -0.8 0.43 1.48 -0.51 -0.98 -1.46 -3.79
0.1 1.06 -0.82 0.73 0.73 -3.19 -3.8 3.47
-0.73 0.68 1.47 -0.91 -0.76 5.87 3.98 5.66
-1.57 0.47 -0.85 -0.62 -2.15 1.63 2.28 -0.88
0.34 0.89 0.72 -0.7 -1.25 2.08 4.33 4.93
0.17 0.06 -0.82 -0.26 -0.46 -2.41 0.53 3.41
0.16 -1.19 0.35 0.98 0.41 -0.81 -2.32 3.31
-0.41 0.31 0.36 -0.68 1.17 3.71 0.01 -0.84
0.55 -0.31 -1.26 -1.25 -0.63 -3.26 3.15 1.49
-0.53 -1.89 0.01 -0.55 0.36 -3.34 1.14 -6.4
2.05 1.46 -0.08 -0.39 0.16 1.34 1.28 1.82
2.02 -0.87 0.43 1.67 -0.01 -5.29 -2.29 -0.72
-0.96 0.62 -0.8 0.05 -1.65 -0.05 0.83 0.89
1.53 2.18 0.85 -0.34 1.43 3.52 -0.91 7.27
0.55 -0.31 -1.26 -1.25 -0.63 -2.28 2.13 2.07
-0.1 0.31 1.07 0.18 -0.28 3.47 0.9 2.16
