X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.51 -0.24 1.13 -0.82 0.73 4.02 1.69 3.84
1.14 2.07 0.39 1.76 -1.75 3.41 0.02 5.59
1.53 2.18 0.85 -0.34 1.43 3.66 -1.51 3.27
-0.19 0.88 -0.57 0.27 1.55 -2.67 -3.86 0.38
1.34 0.96 0.08 2.99 0.65 -1.66 -6.61 1.76
-0.17 -0.8 0.43 1.48 -0.51 0.75 -1.99 -5.22
-1.8 0.05 1.19 1.13 0.23 2.13 -2.48 -0.46
-1.88 -0.07 1 -0.26 -0.46 3.97 2.14 0.35
-0.47 -1.29 0.67 -1.72 1.33 -0.81 1.22 2.2
0.16 -1.19 0.35 0.98 0.41 -1.71 -1.91 -1.21
-0.69 -0.41 1.04 0.01 0.51 2.81 0.86 1.52
0.24 -0.81 0.52 1.12 2.83 -3.65 -6.48 -1.88
0.1 1 0.37 0.53 2.76 0.09 -5.94 -1.83
-0.69 -0.41 1.04 0.01 0.51 2.39 -0.6 -2.35
-0.24 1.88 -0.43 -0.96 -0.15 1.76 0.47 2.65
0.06 0.16 0.22 -1.45 -1.38 4.04 6 1.48
0.17 0.06 -0.82 -0.26 -0.46 -1.86 1.08 -1.3
-0.84 -0.76 -0.47 0.38 -1.41 0 1.13 -2.1
0.13 0.64 0.8 0.29 -0.07 3.03 0.01 3.65
-0.1 0.55 -0.2 1.41 -1.23 -1.57 -0.54 0.22
-2.12 -1.23 1.69 -0.42 -1.5 5.3 4.28 3.36
0.17 0.06 -0.82 -0.26 -0.46 -1.01 1.01 0.71
2.25 -0.4 -1.08 1.58 -0.55 -6.1 -2.47 0.94
-0.19 -0.37 -0.77 1.76 0.3 -4.51 -4.94 -5.32
-0.52 -0.44 0.36 1.72 1.52 -2.01 -5.32 -6.95
-0.93 1.34 -1.87 -1.15 -0.42 -0.75 -0.14 -0.92
1.66 -0.93 -1.79 -0.33 -1.3 -3.73 2.22 -0.41
0.34 0.89 0.72 -0.7 -1.25 3.22 3.56 6.39
-2.75 -1.98 -0.7 -1.83 0.11 -1.48 3.35 -5.52
1.09 -0.81 0.89 -0.37 -1.29 0.89 5.04 -0.39
2.02 -0.87 0.43 1.67 -0.01 -2.47 -2.32 -2.62
0.09 -0.53 -1.14 0.52 -0.14 -3.52 -2.54 -3.69
1.65 0.29 1.58 -1.04 0.48 5.83 4.14 6.83
-3.04 -0.46 1.21 -1.08 2.2 3.6 -1.1 -3.35
-0.01 1.18 0.67 0.82 -1.82 3.78 1.56 1.34
-0.38 1.82 -0.34 -1.43 -0.07 2.11 2 7.78
-0.51 -0.24 1.13 -0.82 0.73 2.66 1.51 2.76
0.17 -0.34 -1.74 0.12 1.4 -5.44 -4.75 -5.1
-2.49 1.05 1.01 -0.05 -0.9 3.5 1.24 1.26
-0.79 -1.27 1.68 -0.77 -0.1 2.55 3.82 4.94
-1.36 -0.23 0.69 1.38 -0.34 2.11 -2.74 3.57
1.36 -0.03 0.71 0.21 -0.64 3.29 2.43 1.86
-0.85 0.09 1.27 -0.26 -1.11 3.29 3.77 3.97
1.01 -1.52 -0.64 -0.67 0.66 -5.23 0.8 -5.27
-1.71 -0.19 1.11 0.76 0.51 2.29 -1.6 -4.52
0.65 0.81 1.43 -0.58 0.09 2.56 2.02 4.09
-0.85 0.09 1.27 -0.26 -1.11 4.16 3.18 3.72
-1.02 1.55 1.62 0.05 -1.51 7.1 2.8 6.55
0.28 0.22 0.52 -0.2 1.36 0.51 -1.66 2.76
1.12 -0.35 -0.85 -0.85 -1.63 -0.72 3.99 1.65
