X1 X2 X3 X4 X5 Y1 Y2 Y3
1.09 -0.81 0.89 -0.37 -1.29 2.58 4.76 5.69
1.3 -1.71 0.46 -0.09 -0.5 -0.52 3.57 1.64
0 0.34 -0.55 -0.41 0.22 -0.71 -1.01 -2.49
-0.55 -2.53 -0.91 0.38 2 -8.5 -3.99 -5.9
-0.01 1.18 0.67 0.82 -1.82 4.6 1.78 5.81
0.16 -1.19 0.35 0.98 0.41 -0.16 -2.18 -5.7
-0.34 -0.78 0.12 1.98 1.35 -3.92 -6.17 -3.51
0.69 0.74 0.94 -1.14 -0.25 4.51 4.55 5.25
-0.23 1.34 1.76 -0.75 -0.03 5.11 1.63 8.05
-0.09 1.36 0.91 -0.19 -0.08 4.89 0.79 4.69
1.69 -0.92 -0.33 0.11 0.21 -2.32 1.02 1.45
0.69 -0.64 0.52 -0.54 -0.94 0.46 3.19 3.74
-0.93 1.34 -1.87 -1.15 -0.42 -0.52 -0.44 -2
1.87 -0.34 0.15 -0.48 -0.91 0.47 2.96 0.98
-0.52 -0.44 0.36 1.72 1.52 -3.39 -6.17 -3.87
1.14 -0.3 1.64 0.24 1.14 2.89 0.7 0.66
0.6 0.67 -0.87 -0.86 -1.81 0.12 4.4 1.72
0.16 -1.19 0.35 0.98 0.41 -0.9 -1.48 -2.25
0.92 -0.19 -0.56 -0.74 1.92 -1.86 -1.8 0.66
0.06 0.16 0.22 -1.45 -1.38 2.05 6.41 3.85
0.6 0.67 -0.87 -0.86 -1.81 1.14 3.49 5.67
-0.09 0.78 0.38 0.49 0.56 1.54 -1.32 1.79
1.42 -0.27 -0.71 -0.04 0.71 -3.6 -1.16 1.54
0.11 1.77 0.08 -0.11 -0.43 2.86 0.39 2.12
-0.19 -0.37 -0.77 1.76 0.3 -4.11 -4.56 -7.45
1.5 -0.81 0.49 0.37 0.37 -1.46 0.09 0.7
0.48 -1.08 -0.33 -1.31 0.27 0.29 2.85 0.28
-0.51 -0.24 1.13 -0.82 0.73 1.98 1.1 3.01
-2.75 -1.98 -0.7 -1.83 0.11 -1.48 3.35 -5.52
1.69 -0.92 -0.33 0.11 0.21 -3.93 0.63 -3.63
1.1 0.97 0.39 -0.57 -1.71 3.92 3.86 2.59
0.47 -0.3 -0.75 0.5 -1.95 -1.32 0.92 -0.78
1.14 0.92 -0.68 1.82 -1.23 -0.6 -2.12 1.47
1.48 -0.9 -0.06 -0.15 -0.15 -1.93 1.73 0.15
-0.63 0.38 -0.04 -1.24 -0.63 2.84 3.23 -0.39
-0.09 1.36 0.91 -0.19 -0.08 2.95 1.1 8.24
-1 -0.45 -0.04 2.68 0.03 -3.62 -6.16 -3.38
-0.33 0.33 0.75 0.37 -2.3 3.66 2.88 2.16
0.28 0.22 0.52 -0.2 1.36 -1.44 -0.9 0.92
-0.91 0.75 1.17 -0.17 0.92 2.94 -0.51 5.27
-2.49 1.05 1.01 -0.05 -0.9 7.15 0.45 6.59
-1.49 -0.86 -0.8 0.15 -0.72 0.07 -0.06 -5.14
-2.44 0.71 -0.92 -0.16 0.18 -1.19 -1.96 -1.94
0.29 -1.55 0.92 0.51 -1.38 -1.22 2.97 -3.18
-1.71 -0.19 1.11 0.76 0.51 2.29 -1.6 -4.52
0 0.35 0.29 -0.85 -0.93 0.41 2.82 1.82
0.16 -1.19 0.35 0.98 0.41 -2.62 -1.85 -1
-1.95 -0.44 -0.98 -0.16 0.54 -2.47 -2.56 -3.17
-0.24 1.88 -0.43 -0.96 -0.15 2.56 0.4 4.9
0.04 -0.04 0.23 -0.95 1.33 1.16 -0.01 0.36
