X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.41 0.26 0.83 0.56 0.75 2.42 -1.71 2.62
0.41 -0.36 -0.6 0.59 1.39 -2.62 -3.03 -1.61
-0.16 1.5 -0.81 1.04 0.41 -1.33 -5.17 -3.23
0.95 1.41 0.06 1.58 0.34 -1.72 -3.62 3.07
0.36 -0.27 -0.32 -0.71 0.8 0.13 0.48 2.14
0.11 1.77 0.08 -0.11 -0.43 5.05 -0.05 -0.2
-1.57 0.47 -0.85 -0.62 -2.15 1.06 2.72 0.76
-0.54 0.22 0.33 1.35 0.35 -0.17 -2.71 -1.2
-0.1 0.55 -0.2 1.41 -1.23 -2.41 -2.76 2.35
0.5 -1.8 -1.82 -0.42 3.09 -8.01 -5.24 -5.94
-0.74 0.62 -0.46 -1.39 -0.82 3.02 3.85 2.95
0.13 0.64 0.8 0.29 -0.07 1.79 -0.41 3.74
-0.2 -0.49 -0.19 -0.51 -0.99 0.23 2.1 -1.07
1.01 -1.52 -0.64 -0.67 0.66 -3.41 0.02 -4.11
-1.2 0.48 0.98 0.1 -0.15 2.5 -0.13 0.77
0.9 -0.16 -2.75 0 0.2 -6.51 -2.31 -5.89
-0.55 -2.53 -0.91 0.38 2 -7.55 -3.63 -8.63
1.3 -1.71 0.46 -0.09 -0.5 -0.21 3.12 0.49
-0.69 -0.41 1.04 0.01 0.51 2.5 -0.07 1.44
1.32 -0.4 0.11 -0.81 0.33 -1.36 3.05 2.32
-1.46 1.94 0.04 -0.39 0.75 4.07 -2.13 3.96
0.95 1.41 0.06 1.58 0.34 0.08 -3.33 2.36
-0.11 -0.11 1.66 0.93 0.42 2.2 -0.94 3.13
-0.93 1.34 -1.87 -1.15 -0.42 -0.75 0.05 -1.91
1.87 -0.34 0.15 -0.48 -0.91 0.3 4.11 0.06
1.28 -1.15 -0.86 -1.22 1.19 -3.82 0.64 -1.26
-0.47 -1.29 0.67 -1.72 1.33 2.67 2.72 0.13
1.24 0.31 -0.44 -0.17 0.91 -2.7 -1.6 2.38
1.66 -0.93 -1.79 -0.33 -1.3 -5.63 3.05 -1.14
-0.23 1.34 1.76 -0.75 -0.03 6.29 3.26 1.92
-1.71 -0.19 1.11 0.76 0.51 2.64 -2.62 -4.41
-0.15 -0.54 -0.84 -1.1 0.74 -1.42 -0.34 -2.4
1.12 -0.35 -0.85 -0.85 -1.63 0.43 4.45 2.65
1.03 -0.22 1.2 0.75 -0.41 1.45 1.15 1.92
0.24 -0.81 0.52 1.12 2.83 -2.61 -5.75 -5.45
1.14 -0.3 1.64 0.24 1.14 0.57 0.34 7.19
-1.8 -0.55 1.85 -0.13 0.84 3.78 0.16 1.17
-0.85 0.09 1.27 -0.26 -1.11 4.82 2.7 1.82
0.92 -0.19 -0.56 -0.74 1.92 -4.65 -1.36 -0.57
0.62 0.69 -0.16 0.94 0.49 -2.08 -2.83 3.87
0.95 1.41 0.06 1.58 0.34 1.11 -4.43 6.8
1.19 -0.39 0.04 -0.14 -0.4 1.52 2.1 0.22
0.22 -2.09 2.81 0.83 1.06 0.89 1.12 1.88
0.53 -0.2 0.41 0.6 0.99 -2.21 -2.01 -3.87
0.02 -1.03 -1.71 -1.01 -1.04 -3.64 2.7 -5.23
-0.54 -1.34 1.01 0.17 -0.47 -1.37 1.14 -1.45
-0.53 -1.89 0.01 -0.55 0.36 -2.35 1.02 -1.65
1.1 0.97 0.39 -0.57 -1.71 3.05 4.36 7.02
1.24 0.31 -0.44 -0.17 0.91 -1.89 -1.58 2.75
-0.38 1.82 -0.34 -1.43 -0.07 3.98 1.67 3.14
