X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.36 1.13 -0.39 -0.73 0.18 2.95 -0.25 2.5
-0.2 0.89 0.37 -0.46 0.37 3.53 1.07 3.02
-1.86 0.76 -1.28 1.75 0.27 -3.34 -7.52 -7.78
0.28 0.22 0.52 -0.2 1.36 -0.61 -0.88 2.53
0.69 -0.64 0.52 -0.54 -0.94 2.31 4.14 4.64
-1.77 -0.43 -0.07 0.13 1.8 0.96 -4.34 -7.84
1.32 -0.4 0.11 -0.81 0.33 -0.57 1.99 2.87
-1.49 -0.86 -0.8 0.15 -0.72 -1.93 0.24 -3.58
-0.38 1.82 -0.34 -1.43 -0.07 1.6 0.55 5.76
1.65 0.29 1.58 -1.04 0.48 4.75 3.72 6.91
1.03 -0.22 1.2 0.75 -0.41 2.35 1.73 4.04
0.97 -0.08 0.54 1.97 -0.14 -2.08 -3.42 1.5
-0.03 0.23 0.25 -0.01 -0.4 1.29 0.36 -0.15
-0.34 -0.78 0.12 1.98 1.35 -3.18 -6.78 -6.84
-0.66 -2.01 -0.04 -0.73 0.76 -3.34 0.31 -3.61
-1.49 0.23 -0.71 -0.25 -0.82 1.03 0.74 -3.63
1.33 0.16 0.66 -1.23 -1.02 2.65 6.16 4.26
1.2 0.16 1.39 0.95 -0.67 3.64 1.44 3.55
-0.84 -0.27 0.47 -0.13 1.12 1.17 -1.52 0.14
0.51 -1.11 -0.15 1.32 1.5 -5.62 -3.7 -3.37
-0.86 -0.43 -1.94 1.2 0.37 -5.84 -5.81 -3.47
-0.3 -0.09 1.37 1.84 1.57 0.7 -4.43 -0.29
-1.8 0.05 1.19 1.13 0.23 2.03 -2.49 0.46
1.3 -1.71 0.46 -0.09 -0.5 -1.67 2.87 -0.64
0.04 -0.51 0.56 2.16 -1.08 -0.85 -1.56 -4.45
0.47 -0.3 -0.75 0.5 -1.95 -1.96 1.45 -0.22
-2.75 -1.98 -0.7 -1.83 0.11 0.43 2.52 -4.79
-1.39 1.33 -1.2 -0.35 2.47 -2.52 -6.29 -1.69
0.62 0.69 -0.16 0.94 0.49 -1.42 -1.87 -0.19
1.28 -1.15 -0.86 -1.22 1.19 -4.45 1.13 -4.68
0.36 -0.27 -0.32 -0.71 0.8 -0.48 -0.51 -3.08
1.02 0.3 0.78 -0.71 -0.66 3.46 3.13 3.63
1.32 -0.4 0.11 -0.81 0.33 1.33 2.4 2.83
0.92 -0.19 -0.56 -0.74 1.92 -2.45 -1.45 -1.39
-0.55 -2.53 -0.91 0.38 2 -6.75 -4.14 -9.76
1.36 -0.03 0.71 0.21 -0.64 -0.3 2.22 7.7
-0.52 -0.44 0.36 1.72 1.52 -2.72 -5.85 -2.25
-1.88 1.24 -0.56 -0.39 0.51 1.73 -2.61 -2.06
0.69 0.74 0.94 -1.14 -0.25 2.1 4.11 5.17
-1.86 0.76 -1.28 1.75 0.27 -4.17 -6.68 -1.61
0.52 0.41 -0.23 0.54 0.41 0.35 -2.49 5.49
1.66 -0.93 -1.79 -0.33 -1.3 -3.12 2.39 -2.16
0.61 0.06 -0.91 -0.45 -0.94 -2.6 2.26 2.05
-1.35 -1.51 0.63 -1.42 -0.53 0.57 4.5 -4.14
0.58 0.52 0.59 1.78 1.59 -0.86 -5.16 -3.63
-1.78 -2.36 1.25 1.08 0.6 -3.24 -2.42 -5.82
0.69 -0.64 0.52 -0.54 -0.94 0.77 3.72 3.44
0.62 0.69 -0.16 0.94 0.49 -1.39 -3.07 1.7
-3.04 -0.46 1.21 -1.08 2.2 3.35 -1.76 -0.69
-0.16 -0.9 -1.14 0.43 0.09 -3.99 -2.18 -3.93
