X1 X2 X3 X4 X5 Y1 Y2 Y3
0.41 -0.97 0.29 0.25 -0.89 0.31 1.87 2.61
-0.74 0.62 -0.46 -1.39 -0.82 3.18 3.85 2.57
-0.15 -0.54 -0.84 -1.1 0.74 -2.11 -0.43 -4.04
0.48 -1.08 -0.33 -1.31 0.27 -2.67 2.91 1.62
-0.09 0.78 0.38 0.49 0.56 2.31 -1.54 3.11
-1.05 -1.27 1.7 -0.43 -0.67 5.76 3.42 -2.56
1.87 -0.34 0.15 -0.48 -0.91 -0.28 3.57 4.31
0.28 0.22 0.52 -0.2 1.36 0.97 -0.46 1
-0.84 -0.27 0.47 -0.13 1.12 -1.31 -2.61 1.26
0.69 0.74 0.94 -1.14 -0.25 4.85 3.72 5.99
0.12 -0.2 0.63 -1.22 1.64 2.38 1.51 2.53
1.5 -0.81 0.49 0.37 0.37 -2.03 -0.37 2.38
1.03 -0.22 1.2 0.75 -0.41 1.6 0.54 1.3
-0.52 -0.44 0.36 1.72 1.52 -1.85 -6.46 -6.03
0.69 -0.28 0.71 0.11 -0.3 -0.06 1.05 1.63
0.02 -1.03 -1.71 -1.01 -1.04 -2.93 2.85 -4.29
0.6 0.67 -0.87 -0.86 -1.81 0.12 4.4 1.72
0.04 -0.51 0.56 2.16 -1.08 0.2 -1.69 -1.19
0.71 1.06 -0.21 -1.6 0.8 2.46 1.59 4.59
-0.32 -0.11 0.17 0.48 1.46 -2.08 -2.34 -1.46
-0.51 -0.24 1.13 -0.82 0.73 3.64 1.34 4.38
0.1 1.06 -0.82 0.73 0.73 -1.38 -3.41 -0.01
-1.78 -2.36 1.25 1.08 0.6 -1.38 -1.93 -3.04
0.17 -0.34 -1.74 0.12 1.4 -5.84 -4.15 -5.57
0.68 -0.69 -2.09 -1.15 -0.06 -4.74 1.25 -5.6
-0.85 0.09 1.27 -0.26 -1.11 4.43 3.1 2.34
0.11 1.77 0.08 -0.11 -0.43 4.54 0.56 3.75
-0.41 1.05 -0.22 0.65 -1.16 0.01 -0.91 2.54
-0.85 0.09 1.27 -0.26 -1.11 4.2 4.29 2.25
2.5 -0.53 0.3 0.01 -0.63 -1.66 3.12 -0.25
1.09 -0.81 0.89 -0.37 -1.29 2.18 4.04 0.4
-0.09 0.78 0.38 0.49 0.56 1.66 -2.56 -0.03
-0.73 0.68 1.47 -0.91 -0.76 7.9 4.38 5.17
0.53 -0.2 0.41 0.6 0.99 -0.87 -1.9 -0.96
-0.2 -0.49 -0.19 -0.51 -0.99 0.45 2.68 -1.88
-0.97 -0.95 -1.69 0.74 0.06 -7.19 -3.45 -1.6
-1.2 0.48 0.98 0.1 -0.15 3.17 0.19 2.39
-0.41 0.31 0.36 -0.68 1.17 1.82 -0.93 -0.24
0.15 -0.68 0.58 -0.22 0.33 -1.84 1.17 0.45
-0.31 0.83 1.59 -0.64 0.33 4.63 2.17 7.81
0.12 -0.2 0.63 -1.22 1.64 2.93 0.23 6.56
-0.74 0.62 -0.46 -1.39 -0.82 4.32 3.49 0.17
1.28 -1.15 -0.86 -1.22 1.19 -4.96 1.31 0.37
0.95 1.41 0.06 1.58 0.34 -1.68 -3.84 -2.26
-1.36 1.13 -0.39 -0.73 0.18 2.2 0.05 -2.89
-0.86 -0.43 -1.94 1.2 0.37 -8.67 -6.15 -7.39
0.97 -0.08 0.54 1.97 -0.14 -1.78 -2.88 1.2
-0.17 -0.8 0.43 1.48 -0.51 -1.64 -1.74 -0.1
-0.16 -0.9 -1.14 0.43 0.09 -4.73 -2.53 -1.81
-0.16 -0.9 -1.14 0.43 0.09 -3.99 -2.18 -3.93
