X1 X2 X3 X4 X5 Y1 Y2 Y3
0.37 -0.24 0.82 -1.55 1.48 3.2 2.13 4.58
-0.85 0.09 1.27 -0.26 -1.11 5.58 3.99 3.62
1.32 -0.4 0.11 -0.81 0.33 -0.44 1.34 -0.46
-0.63 0.38 -0.04 -1.24 -0.63 1.09 3.38 3.47
-0.97 -0.95 -1.69 0.74 0.06 -4.6 -3.27 -3.75
-0.66 -2.01 -0.04 -0.73 0.76 -0.18 0.34 -6.89
0.1 1.06 -0.82 0.73 0.73 -2.07 -4.09 -0.13
1.1 0.97 0.39 -0.57 -1.71 3.55 5.2 5.67
0.92 -0.19 -0.56 -0.74 1.92 -4.34 -2.89 1.78
0.33 -1.74 0.89 -0.93 0.66 0.67 2.61 1.05
1.12 -0.35 -0.85 -0.85 -1.63 -0.3 4.9 3.22
-0.41 0.31 0.36 -0.68 1.17 0.85 -0.98 1.96
-1.36 -0.23 0.69 1.38 -0.34 0.81 -2.65 -3.2
1.58 0.3 1.8 -1.56 -0.03 6.13 5.26 4.83
0.51 -1.11 -0.15 1.32 1.5 -5.63 -5.08 -3.99
0.95 1.41 0.06 1.58 0.34 0.6 -3.36 -0.7
1.49 1.99 -0.47 1.43 0.1 -1.2 -3.12 1.27
2.05 1.46 -0.08 -0.39 0.16 2.48 1.19 4.7
0.22 -2.09 2.81 0.83 1.06 2.7 0.41 1.84
1.65 0.29 1.58 -1.04 0.48 3.14 4.8 6.31
1.32 -0.4 0.11 -0.81 0.33 0.29 1.83 4.94
1.73 -0.09 1.98 1.16 0.39 2.63 0.57 4.89
1.65 0.29 1.58 -1.04 0.48 3.83 3.72 7.78
-0.79 -1.27 1.68 -0.77 -0.1 3.45 3.78 -0.02
1.12 -0.35 -0.85 -0.85 -1.63 -0.89 4.57 -1.56
0.69 -0.64 0.52 -0.54 -0.94 1.03 3.64 2.06
0.24 -0.81 0.52 1.12 2.83 -1.39 -5.66 -2.93
0.48 -1.08 -0.33 -1.31 0.27 -2.36 2.12 1.48
-0.08 -0.65 -1.09 -1.14 -1.5 -1.69 4.85 -0.6
1.14 -0.3 1.64 0.24 1.14 1.24 0.51 -0.96
0.79 -0.51 -0.07 -0.22 0.36 -0.72 -0.26 -2.67
0.2 0.8 1.61 -0.8 0.3 6.09 2.07 4.08
1.61 1.07 2.16 0.34 -0.53 7.43 3.18 8.15
-1.2 0.48 0.98 0.1 -0.15 3.56 0.46 0.35
-0.93 1.34 -1.87 -1.15 -0.42 -0.29 0.14 -2.81
0.69 0.74 0.94 -1.14 -0.25 2.91 4.03 9.54
0.95 0.08 -0.7 0.22 1.05 -3.35 -2.59 0.46
0.95 1.41 0.06 1.58 0.34 -0.03 -4.44 0.58
2.02 -0.87 0.43 1.67 -0.01 -5.26 -1.42 0.38
-0.12 0.43 -0.31 1.31 1.03 -3.15 -4.89 1.54
0.69 0.74 0.94 -1.14 -0.25 5.75 3.32 10.51
-0.14 -1.19 -0.21 -0.97 0.06 1.08 2.49 -2.4
0.9 -0.52 0.89 -1.62 1.09 0.81 3.81 4.3
-1.86 0.76 -1.28 1.75 0.27 -4.54 -6.71 -8.94
1.02 0.3 0.78 -0.71 -0.66 3.14 4.18 1.44
-0.02 -1.67 0.13 0.39 0.29 -4.88 -1.1 -3.63
-1.49 0.23 -0.71 -0.25 -0.82 -0.26 0.14 -0.45
0.97 0.42 0.01 1.43 -1.58 -0.82 -0.32 3.16
-2.49 1.05 1.01 -0.05 -0.9 5.45 0.49 3.1
0 0.34 -0.55 -0.41 0.22 -0.08 -0.41 -0.19
