X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.2 1.95 -1.09 0.54 0.72 0.13 -4.3 2.03
-1.8 0.05 1.19 1.13 0.23 3.46 -1.62 -0.3
0.6 0.67 -0.87 -0.86 -1.81 0.4 3.01 0.27
1.34 0.96 0.08 2.99 0.65 -4.23 -6.68 1.16
0.48 -1.08 -0.33 -1.31 0.27 -0.11 2.98 2.22
-0.33 0.33 0.75 0.37 -2.3 5.46 3.03 -0.63
-2.12 -1.23 1.69 -0.42 -1.5 4.44 4.45 1.3
-0.47 -1.29 0.67 -1.72 1.33 1.29 3.19 -0.06
-1.49 -0.86 -0.8 0.15 -0.72 -4.03 -1.73 -1.32
0 0.35 0.29 -0.85 -0.93 3.19 3.31 3.74
-0.41 0.31 0.36 -0.68 1.17 2.41 0.36 1.94
-1.2 0.48 0.98 0.1 -0.15 2.9 -0.3 2.49
-1.95 -0.44 -0.98 -0.16 0.54 -2.03 -2.85 -6.05
-1.2 0.48 0.98 0.1 -0.15 4.04 -0.42 -1.39
0.1 0.66 -0.11 0.52 -0.32 -0.88 -1.36 0.4
0.95 1.41 0.06 1.58 0.34 0.6 -3.36 -0.7
1.5 -0.81 0.49 0.37 0.37 -1.8 0.86 -0.05
0.09 -0.53 -1.14 0.52 -0.14 -2.69 -1.57 -3
0.2 0.8 1.61 -0.8 0.3 6.13 2.56 6.23
-0.31 0.83 1.59 -0.64 0.33 4.55 3.03 4.42
0.15 -0.68 0.58 -0.22 0.33 0.95 0.64 3.28
-0.33 0.33 0.75 0.37 -2.3 3.78 3.99 3.94
0.29 -1.55 0.92 0.51 -1.38 -0.25 2.78 2.23
-0.47 -1.29 0.67 -1.72 1.33 1 2.54 -1.49
0.41 -0.36 -0.6 0.59 1.39 -3.37 -3.36 -6.01
-0.54 -1.34 1.01 0.17 -0.47 0.78 1.61 -0.72
-0.47 -1.29 0.67 -1.72 1.33 2.67 2.72 0.13
0.06 0.16 0.22 -1.45 -1.38 2.04 4.94 5.11
1.58 0.3 1.8 -1.56 -0.03 5.34 7.03 6.94
0.41 -0.5 -0.24 0.06 -0.38 -2.07 0.94 -3.9
-0.41 0.31 0.36 -0.68 1.17 2.09 -1.03 -2.36
0.73 -0.07 -0.62 1.84 -0.94 -2.9 -3.31 -2.19
0.66 1.53 -0.47 2.55 1.15 -1.23 -7.72 -0.6
-0.16 -0.9 -1.14 0.43 0.09 -4.48 -1.86 -4.48
0.97 0.42 0.01 1.43 -1.58 -0.16 -0.03 -0.52
0.5 1.35 -0.06 -1.47 1.13 0.99 1.09 7.72
-0.34 1.81 -1.07 -0.65 -0.88 0.94 0.57 3.2
-1.91 1.68 -0.41 -0.52 0.55 2.82 -2.43 -1.13
1.24 1.19 0.67 -0.46 -1.54 1.83 4.55 6.29
-1.49 0.23 -0.71 -0.25 -0.82 -0.88 0.3 2.13
0.58 0.52 0.59 1.78 1.59 0.36 -6.08 4.81
-0.08 -0.65 -1.09 -1.14 -1.5 0.82 4.19 -1.63
2.25 -0.4 -1.08 1.58 -0.55 -6.96 -1.83 0.52
0.17 0.06 -0.82 -0.26 -0.46 -2.78 0.5 -3.91
-0.41 0.31 0.36 -0.68 1.17 1.74 0 -2.47
0.11 1.77 0.08 -0.11 -0.43 0.71 -0.28 2.38
-0.54 -1.34 1.01 0.17 -0.47 0.51 1.69 0.66
-1 -0.45 -0.04 2.68 0.03 -3.52 -6.2 -3.17
-1.86 0.76 -1.28 1.75 0.27 -3.45 -7.26 -3.36
-1.78 -2.36 1.25 1.08 0.6 -0.52 -1.96 -5
