X1 X2 X3 X4 X5 Y1 Y2 Y3
0.62 0.69 -0.16 0.94 0.49 -0.13 -2.84 2.56
0.15 1 -2.06 2.34 1.75 -6.24 -9.58 -4.73
0.18 -0.13 -0.76 0.1 0.01 -2.41 -1.69 -3.68
0.15 -0.68 0.58 -0.22 0.33 -1.02 1.2 2.06
1.32 -0.4 0.11 -0.81 0.33 0.89 2.45 4.32
1.02 0.3 0.78 -0.71 -0.66 5.02 3.4 0.87
-1.36 -0.23 0.69 1.38 -0.34 0.39 -2.32 -0.99
1.1 0.97 0.39 -0.57 -1.71 3.55 5.2 5.67
0.74 -0.12 0.88 -0.67 0.23 0.23 1.12 5.37
-0.85 0.09 1.27 -0.26 -1.11 5.06 3.11 3.52
1.53 2.18 0.85 -0.34 1.43 4.7 -0.01 7.13
1.44 0.49 0.48 -0.19 0.62 0.25 -0.14 4.52
-0.32 -0.11 0.17 0.48 1.46 -0.87 -3.73 -3.12
-1.39 1.33 -1.2 -0.35 2.47 -0.97 -6.49 -5.72
0.16 -1.19 0.35 0.98 0.41 -3.32 -2.22 -2.42
0.41 -0.5 -0.24 0.06 -0.38 -0.42 1.13 -2.28
1.48 -0.9 -0.06 -0.15 -0.15 -2.35 2.21 -0.14
-0.52 -0.44 0.36 1.72 1.52 -0.96 -5.44 -3.7
0.15 1.68 1.61 1.98 -2.08 5.76 0.17 6.26
1.02 0.3 0.78 -0.71 -0.66 1.86 4.75 4.76
1.14 0.92 -0.68 1.82 -1.23 -1.64 -2.69 3.57
0.6 0.67 -0.87 -0.86 -1.81 0.97 4.34 3.73
0.79 -0.51 -0.07 -0.22 0.36 -1.67 0.26 2.01
-2.44 0.71 -0.92 -0.16 0.18 -0.05 -2.44 -4.56
0.41 -0.5 -0.24 0.06 -0.38 -1.04 1.02 -3.6
0.09 -0.53 -1.14 0.52 -0.14 -4.15 -2.01 -3.13
-0.14 -0.78 -1.06 1.1 -0.12 -3.15 -2.82 -3.63
-1.36 -0.23 0.69 1.38 -0.34 -0.4 -2.73 -0.29
1.61 1.07 2.16 0.34 -0.53 5.48 3.93 6.97
-0.54 0.22 0.33 1.35 0.35 -1.09 -3.05 -5.06
1.14 1.65 0.4 0.17 -0.48 3.35 0.1 1.82
-1.57 0.47 -0.85 -0.62 -2.15 1.87 2.16 -0.92
-1.57 0.47 -0.85 -0.62 -2.15 2.96 3.12 0.72
-1.25 1.57 -1.45 1.6 1.96 -3.64 -9.18 -5.65
0.34 -0.54 -0.48 0.79 0.26 -2.76 -2.08 -4.23
1.58 0.3 1.8 -1.56 -0.03 4.27 6.16 11.76
1.73 -0.09 1.98 1.16 0.39 1.82 -0.1 5.21
1.49 1.99 -0.47 1.43 0.1 -0.47 -4.3 1.51
0.33 -1.74 0.89 -0.93 0.66 -2.08 2.99 0.24
-1.35 -1.51 0.63 -1.42 -0.53 0.93 4.53 3.18
0.5 -1.8 -1.82 -0.42 3.09 -7.11 -5.65 -1.42
-1.86 0.76 -1.28 1.75 0.27 -0.99 -6.38 -6.69
-0.55 -2.53 -0.91 0.38 2 -8.35 -3.75 -6.24
0.5 -1.8 -1.82 -0.42 3.09 -9.9 -5.05 -10.49
-0.16 1.5 -0.81 1.04 0.41 -0.96 -4.03 -3.77
1.3 -1.71 0.46 -0.09 -0.5 -3.81 2.2 -0.38
0 0.34 -0.55 -0.41 0.22 -0.92 -0.32 1.1
-0.2 1.95 -1.09 0.54 0.72 -1.13 -4.53 1.17
-1.88 1.24 -0.56 -0.39 0.51 1.16 -2.56 0.67
2.02 -0.87 0.43 1.67 -0.01 -2.57 -1.83 0.11
