X1 X2 X3 X4 X5 Y1 Y2 Y3
0.34 -0.54 -0.48 0.79 0.26 -2.16 -2.14 0.31
-1.91 1.68 -0.41 -0.52 0.55 3.57 -1.14 0.67
0.02 -1.03 -1.71 -1.01 -1.04 -4.01 1.56 -4.68
-0.01 1.18 0.67 0.82 -1.82 2.03 1.71 5.2
-0.69 -0.41 1.04 0.01 0.51 3.11 0.47 2.43
0.15 -0.68 0.58 -0.22 0.33 2.46 0.52 -3.22
-0.66 -2.01 -0.04 -0.73 0.76 -2.55 0.63 -2.44
0.2 -1.66 0.42 -0.23 -0.2 -0.86 2.72 -0.6
0.06 0.16 0.22 -1.45 -1.38 1.21 4.18 5.98
0.22 -2.09 2.81 0.83 1.06 2.67 0.46 1.43
1.02 0.3 0.78 -0.71 -0.66 3.81 4.54 5.85
-0.09 0.78 0.38 0.49 0.56 0.46 -2.48 2.21
-0.41 1.05 -0.22 0.65 -1.16 1.23 -0.84 -0.37
1.58 1.68 0.99 0.74 1.15 2.87 -2.91 1.91
-0.66 -2.01 -0.04 -0.73 0.76 -3.34 0.31 -3.61
0.15 1 -2.06 2.34 1.75 -6.37 -9.8 -7.81
-0.54 0.22 0.33 1.35 0.35 -0.8 -2.76 -2.4
-0.96 0.62 -0.8 0.05 -1.65 1.67 1.2 -0.36
0.15 1 -2.06 2.34 1.75 -6.72 -10.52 -4.42
-0.09 0.78 0.38 0.49 0.56 0.07 -0.94 1.11
0.34 -0.54 -0.48 0.79 0.26 -2.55 -2.49 0.85
-0.69 -2.6 -0.94 0.47 -0.51 -5.39 0.04 -5.03
0.18 -0.13 -0.76 0.1 0.01 -2.63 -1.06 0.57
1.5 -0.81 0.49 0.37 0.37 -1.46 0.28 -0.29
-3.04 -0.46 1.21 -1.08 2.2 3.92 -0.84 -6.01
-0.84 -0.76 -0.47 0.38 -1.41 -1.45 0.69 -2.24
1.49 1.99 -0.47 1.43 0.1 0.82 -3.53 2.66
-0.54 0.22 0.33 1.35 0.35 -1.44 -3.91 0.19
-2.75 -1.98 -0.7 -1.83 0.11 -1.48 3.35 -5.52
1.69 -0.92 -0.33 0.11 0.21 -3.93 0.63 -3.63
0.97 0.42 0.01 1.43 -1.58 0.05 -0.81 -1.27
0.12 -0.2 0.63 -1.22 1.64 2.03 0.1 0.31
0.41 -0.36 -0.6 0.59 1.39 -2.05 -3.49 -1.8
-1.02 1.55 1.62 0.05 -1.51 7.38 3.11 4.3
0.1 0.66 -0.11 0.52 -0.32 0.56 -0.79 -1.45
-1.49 0.23 -0.71 -0.25 -0.82 -1.29 0.39 2.9
1.36 -0.03 0.71 0.21 -0.64 0.7 1.93 4.56
-1.91 1.68 -0.41 -0.52 0.55 2.82 -2.43 -1.13
-0.1 0.55 -0.2 1.41 -1.23 -2.72 -1.23 0.01
1.14 -0.3 1.64 0.24 1.14 0.98 0.25 6.42
-0.85 0.09 1.27 -0.26 -1.11 5.96 2.71 8.04
-0.55 -2.53 -0.91 0.38 2 -4.92 -3.88 -8.99
-2.12 -1.23 1.69 -0.42 -1.5 3.49 5.08 1.8
-0.2 0.89 0.37 -0.46 0.37 1.12 0.38 -1.63
-1.25 1.57 -1.45 1.6 1.96 -3.41 -8.96 -7.93
-1.02 1.55 1.62 0.05 -1.51 5.15 2.33 4.02
0.61 0.06 -0.91 -0.45 -0.94 -1.73 1.67 1.81
1.49 1.99 -0.47 1.43 0.1 -1.06 -3.91 3.82
0.69 -0.64 0.52 -0.54 -0.94 0.87 3.29 4.27
0.51 -1.11 -0.15 1.32 1.5 -4.09 -4.8 -3.86
