X1 X2 X3 X4 X5 Y1 Y2 Y3
0.9 -1.37 -1.09 0.7 1.02 -5.42 -3.23 -1.72
-0.38 1.82 -0.34 -1.43 -0.07 4.56 2.57 4.33
1.5 -0.81 0.49 0.37 0.37 -1.52 -0.53 -1.5
0.69 -0.64 0.52 -0.54 -0.94 -0.26 4.07 4.03
-0.84 -0.27 0.47 -0.13 1.12 1.78 -0.98 1.13
0.58 -1.57 -0.78 1.28 -0.11 -3.63 -2.85 -7.56
0.47 -0.36 -0.47 2.03 -1.93 -3.26 -1.43 -0.4
-0.73 0.68 1.47 -0.91 -0.76 6.47 4.78 4.52
0.58 0.52 0.59 1.78 1.59 -2.98 -6.82 1.82
0.12 -0.2 0.63 -1.22 1.64 2.04 0.64 2.04
-0.1 0.31 1.07 0.18 -0.28 3.88 1.8 3.73
-1.57 0.47 -0.85 -0.62 -2.15 0.67 2.23 1.31
-1.2 0.48 0.98 0.1 -0.15 3.71 -0.15 -0.27
-1.8 0.05 1.19 1.13 0.23 2.87 -3.09 -3.79
0.37 -0.24 0.82 -1.55 1.48 1.17 1.62 1.88
0.41 -0.97 0.29 0.25 -0.89 0.27 2.33 -1.84
0.41 -0.36 -0.6 0.59 1.39 -4.1 -3.15 -3.65
-0.02 -1.67 0.13 0.39 0.29 -1.28 -0.18 -2.76
-2.44 0.71 -0.92 -0.16 0.18 0.62 -2.67 -1.98
-0.02 -1.67 0.13 0.39 0.29 -3.7 0.47 -2.32
1.65 0.29 1.58 -1.04 0.48 4.79 3.57 8.93
-0.81 -1.14 -0.41 -0.29 -0.46 -1.2 1.51 -1.43
-0.16 1.5 -0.81 1.04 0.41 -1.55 -4.54 1.02
-0.24 1.88 -0.43 -0.96 -0.15 2.73 0.95 1.7
1.33 0.16 0.66 -1.23 -1.02 3.39 5.94 1.9
-1.8 0.05 1.19 1.13 0.23 2.31 -2.51 -1.59
1.36 -0.03 0.71 0.21 -0.64 2.68 2.26 3.61
-1.36 1.13 -0.39 -0.73 0.18 0.91 -0.85 1.68
-1.49 -0.86 -0.8 0.15 -0.72 -2.45 0.6 -4.12
-0.32 -0.11 0.17 0.48 1.46 -1.74 -2.94 -5.46
0.73 -0.07 -0.62 1.84 -0.94 -2.86 -3.29 -4.27
-0.53 -1.89 0.01 -0.55 0.36 -1.45 0.41 -3.59
-1.8 -0.55 1.85 -0.13 0.84 5.8 0.56 0.68
-1.36 -0.23 0.69 1.38 -0.34 0.66 -2.04 -2.58
-0.99 2.17 -1.34 0.15 0 0.48 -3.04 -2.58
-0.11 -0.11 1.66 0.93 0.42 1.18 -0.63 5.81
-0.2 1.95 -1.09 0.54 0.72 -1.23 -4.48 0.95
0.24 -0.81 0.52 1.12 2.83 -2.68 -6.43 -4.08
-0.41 1.05 -0.22 0.65 -1.16 -1.12 -0.14 1.08
1.3 -1.71 0.46 -0.09 -0.5 -2.56 2.91 4.32
-1.71 -0.19 1.11 0.76 0.51 3.51 -2.51 3.92
-0.34 1.81 -1.07 -0.65 -0.88 3.53 1.06 0.5
-1.49 0.23 -0.71 -0.25 -0.82 -1.13 0.73 -0.2
0.17 0.06 -0.82 -0.26 -0.46 -2.78 0.5 -3.91
1.24 0.31 -0.44 -0.17 0.91 -1.41 -0.7 -2.2
-0.34 -0.78 0.12 1.98 1.35 -5.89 -6.68 -5.38
-0.02 -1.67 0.13 0.39 0.29 -3.01 -0.55 -1.51
-0.1 0.31 1.07 0.18 -0.28 2.69 0.9 3.87
0.13 0.64 0.8 0.29 -0.07 2.19 -0.31 4.27
-0.47 -1.29 0.67 -1.72 1.33 1.57 2.34 -0.41
