X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.49 -0.86 -0.8 0.15 -0.72 -1.16 -0.37 -1.37
0 0.35 0.29 -0.85 -0.93 3.7 4.19 3.84
1.87 -0.34 0.15 -0.48 -0.91 -0.16 2.93 0.98
-0.33 0.33 0.75 0.37 -2.3 1.98 3.71 4.65
1.58 0.3 1.8 -1.56 -0.03 6.85 6.33 9.61
-1.86 0.76 -1.28 1.75 0.27 -1.09 -7.16 -8.89
0.5 -1.8 -1.82 -0.42 3.09 -8.83 -5.22 -5.99
-0.23 1.34 1.76 -0.75 -0.03 7.21 3.6 5.79
0.69 0.74 0.94 -1.14 -0.25 2.41 2.58 7.52
0 0.34 -0.55 -0.41 0.22 -0.02 -0.38 0.89
1.25 -0.13 0.71 0.18 1.11 0.89 0.05 3.01
0.71 1.06 -0.21 -1.6 0.8 1.21 1.18 4.68
1.24 1.19 0.67 -0.46 -1.54 4.19 3.85 4.85
-0.96 0.62 -0.8 0.05 -1.65 0.79 0.18 -2.69
1.14 -0.3 1.64 0.24 1.14 0.9 -0.27 2.42
-0.63 0.38 -0.04 -1.24 -0.63 3.4 3.64 -0.3
-2.75 -1.98 -0.7 -1.83 0.11 -1.59 2.93 -6.18
-1.2 0.48 0.98 0.1 -0.15 4.93 0.6 0.94
-0.08 -0.65 -1.09 -1.14 -1.5 -0.8 3.61 1.08
0.34 0.89 0.72 -0.7 -1.25 3.23 5.03 5.14
2.5 -0.53 0.3 0.01 -0.63 -0.36 2.5 6.36
-1.95 -0.44 -0.98 -0.16 0.54 -1.76 -1.84 -3.72
1.69 -0.92 -0.33 0.11 0.21 -3.58 0.15 1.84
0.34 0.89 0.72 -0.7 -1.25 4.2 4.13 3.57
2.02 -0.87 0.43 1.67 -0.01 -2.74 -1.25 -3.1
1.65 0.29 1.58 -1.04 0.48 4.11 3.71 5.73
-0.54 0.22 0.33 1.35 0.35 1.22 -3.18 -1.01
1.61 1.07 2.16 0.34 -0.53 4.73 2.36 8.89
0.15 1 -2.06 2.34 1.75 -7.61 -9.28 -6.1
0.1 1 0.37 0.53 2.76 -0.77 -5.14 -4.17
1.36 -0.03 0.71 0.21 -0.64 1.67 1.39 0.34
1.73 -0.09 1.98 1.16 0.39 2.75 -0.67 3.07
-0.84 -0.76 -0.47 0.38 -1.41 0.27 1.12 -1.15
1.65 0.29 1.58 -1.04 0.48 4.19 4.01 5.28
-0.99 2.17 -1.34 0.15 0 0.48 -3.04 -2.58
0.79 -0.51 -0.07 -0.22 0.36 -2.69 0.56 4.69
1.58 1.68 0.99 0.74 1.15 2 -2.3 5.69
-0.86 -0.43 -1.94 1.2 0.37 -6.13 -6.08 -7.17
0.17 0.06 -0.82 -0.26 -0.46 -3.64 0.7 -0.18
-1.88 1.24 -0.56 -0.39 0.51 0.44 -1.97 2.42
-1.8 0.05 1.19 1.13 0.23 3.84 -2.9 4.11
-1.35 -1.51 0.63 -1.42 -0.53 4.11 4.83 -1.9
0.16 -1.19 0.35 0.98 0.41 -3.49 -1.26 -0.75
-1.36 -0.23 0.69 1.38 -0.34 -0.68 -2.15 -5.49
0.03 -0.77 0.59 -0.06 -0.57 0.94 2.39 -2.35
-0.2 1.95 -1.09 0.54 0.72 -3.07 -4.99 -1.36
1.73 -0.09 1.98 1.16 0.39 1.85 -0.06 5.02
0.04 -0.04 0.23 -0.95 1.33 0.39 -0.01 2.07
-0.32 -0.11 0.17 0.48 1.46 -1.28 -3.78 0.17
1.14 2.07 0.39 1.76 -1.75 2.83 -0.89 4.4
