X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.39 1.33 -1.2 -0.35 2.47 -0.48 -5.69 -0.87
0.09 -0.53 -1.14 0.52 -0.14 -3 -1.12 -1.85
-1.2 0.48 0.98 0.1 -0.15 3.42 -0.46 -1.4
-0.41 0.26 0.83 0.56 0.75 0.07 -1.5 1.94
-0.85 0.09 1.27 -0.26 -1.11 5.71 3.6 4.92
-0.14 -0.78 -1.06 1.1 -0.12 -2.64 -3.44 -7.58
-0.32 -0.11 0.17 0.48 1.46 -1.29 -3.39 -0.91
0.92 -0.19 -0.56 -0.74 1.92 -2.24 -0.92 -0.48
-0.47 -1.29 0.67 -1.72 1.33 -0.81 1.22 2.2
0.5 -1.8 -1.82 -0.42 3.09 -8.01 -5.24 -5.94
0.41 -0.5 -0.24 0.06 -0.38 -0.46 1.34 1.18
-1.8 -0.55 1.85 -0.13 0.84 3.51 -0.33 1.27
0.74 -0.12 0.88 -0.67 0.23 2.27 1.95 1.58
0.92 -0.19 -0.56 -0.74 1.92 -1.97 -2.34 -3.13
0.6 0.67 -0.87 -0.86 -1.81 -0.51 3.33 2.43
-0.51 -0.24 1.13 -0.82 0.73 3.98 2.15 -0.62
-0.14 -0.78 -1.06 1.1 -0.12 -5.17 -2.41 -5.03
-1.71 -0.19 1.11 0.76 0.51 3.43 -1.68 -1.64
-1.57 0.47 -0.85 -0.62 -2.15 1.91 2.64 1.22
0.5 1.35 -0.06 -1.47 1.13 1.32 1.86 3.57
0.1 1.06 -0.82 0.73 0.73 -1.21 -4.26 1.93
1.66 -0.93 -1.79 -0.33 -1.3 -4.9 2.57 0.21
0.1 1 0.37 0.53 2.76 -0.43 -5.62 1.3
-0.33 0.33 0.75 0.37 -2.3 3.27 3.47 1.69
0.61 0.06 -0.91 -0.45 -0.94 -1.06 2.15 -2.69
1.32 -0.4 0.11 -0.81 0.33 -0.39 1.96 1.74
0.1 1.06 -0.82 0.73 0.73 -0.21 -3.76 -0.63
0.69 -0.64 0.52 -0.54 -0.94 0.05 3.27 3.89
1.36 -0.03 0.71 0.21 -0.64 0.78 3.09 2.88
-1.78 -2.36 1.25 1.08 0.6 -1.72 -1.45 -8.51
0.2 0.8 1.61 -0.8 0.3 6.13 2.1 2
1.5 -0.81 0.49 0.37 0.37 -0.83 -0.44 0.15
0.69 -0.28 0.71 0.11 -0.3 2.63 1.77 2.76
1.12 -0.35 -0.85 -0.85 -1.63 -1.21 4.31 1.1
-0.24 1.88 -0.43 -0.96 -0.15 3.19 1.04 0.8
-1.57 0.47 -0.85 -0.62 -2.15 -0.06 3.01 4.36
0.15 -0.68 0.58 -0.22 0.33 -0.03 0.81 1.67
-0.41 0.31 0.36 -0.68 1.17 1.82 -0.93 -0.24
-0.41 1.05 -0.22 0.65 -1.16 -1.12 -0.14 1.08
0.2 0.8 1.61 -0.8 0.3 4.57 2.83 8.6
-0.85 0.09 1.27 -0.26 -1.11 5.96 2.71 8.04
-0.34 -0.78 0.12 1.98 1.35 -1.45 -5.68 -5.76
0.09 -0.53 -1.14 0.52 -0.14 -5.29 -1.35 -1.5
-0.96 0.62 -0.8 0.05 -1.65 -1.03 0.96 -3.86
2.5 -0.53 0.3 0.01 -0.63 -0.72 3.16 0.42
0.41 -0.5 -0.24 0.06 -0.38 -3.59 -0.02 -1.22
0.41 -0.36 -0.6 0.59 1.39 -4.04 -3.85 -1.51
-1.88 -0.07 1 -0.26 -0.46 3.47 1.3 1.7
1.14 1.65 0.4 0.17 -0.48 2.52 0.25 6.67
-1.8 0.05 1.19 1.13 0.23 2.88 -2.52 -1.5
