X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.69 -0.41 1.04 0.01 0.51 2.89 0.19 2.51
0.79 -0.51 -0.07 -0.22 0.36 -0.24 1.13 1.25
-1.8 -0.55 1.85 -0.13 0.84 4.03 -0.49 -2.61
-0.33 0.33 0.75 0.37 -2.3 1.98 3.71 4.65
-1.2 0.48 0.98 0.1 -0.15 4.75 0.65 3.38
-2.12 -1.23 1.69 -0.42 -1.5 6.82 4.16 -3.15
-0.47 -1.29 0.67 -1.72 1.33 0.81 2.39 0.63
1.32 -0.4 0.11 -0.81 0.33 -0.09 2.79 2.19
-1.05 -1.27 1.7 -0.43 -0.67 1.77 2.54 3.46
-0.99 2.17 -1.34 0.15 0 0.65 -3.3 0.48
-0.1 0.55 -0.2 1.41 -1.23 0.38 -0.74 1.31
1.12 -0.35 -0.85 -0.85 -1.63 -1.86 3.55 3.24
1.69 -0.92 -0.33 0.11 0.21 -3.06 -0.17 -1.29
0.18 -0.13 -0.76 0.1 0.01 -1.79 -1.65 -3.68
0.69 0.74 0.94 -1.14 -0.25 3.24 3.42 4.77
-0.63 0.38 -0.04 -1.24 -0.63 3.4 3.64 -0.3
0.1 0.66 -0.11 0.52 -0.32 -0.24 -0.29 -0.31
-0.41 0.31 0.36 -0.68 1.17 2.88 -0.08 0.41
0.79 -0.51 -0.07 -0.22 0.36 -0.71 0.2 1.55
0.92 -0.19 -0.56 -0.74 1.92 -3.5 -0.67 -0.35
0.47 -0.3 -0.75 0.5 -1.95 -1.28 1.32 2.98
1.19 -0.39 0.04 -0.14 -0.4 -0.26 2.28 2.59
-0.38 1.82 -0.34 -1.43 -0.07 3.13 1.7 5.1
-1.71 -0.17 -0.65 0.13 0.1 -1.29 -1.92 -4.73
-0.12 0.43 -0.31 1.31 1.03 -1.85 -4.55 -5.54
-1.57 0.47 -0.85 -0.62 -2.15 1.24 2.69 -0.37
0 0.35 0.29 -0.85 -0.93 4.23 3.66 3.19
1.36 -0.03 0.71 0.21 -0.64 0.03 1.52 4.8
-0.15 -0.54 -0.84 -1.1 0.74 -2.28 1.37 -1.93
1.3 -1.71 0.46 -0.09 -0.5 -2.3 3.17 -3.06
0.53 -0.2 0.41 0.6 0.99 -0.29 -2.71 -3.14
0.17 -0.34 -1.74 0.12 1.4 -5.21 -4.87 -5.14
-0.38 1.82 -0.34 -1.43 -0.07 5.13 2.12 4.14
0.03 -0.77 0.59 -0.06 -0.57 0.71 2.17 -0.06
1.36 -0.03 0.71 0.21 -0.64 1.47 2.18 1.08
0.9 -1.37 -1.09 0.7 1.02 -7.78 -3.13 0.36
-0.3 -0.09 1.37 1.84 1.57 -0.11 -5.11 0.04
1.34 0.96 0.08 2.99 0.65 -2.55 -7.51 -1.33
0.68 -0.69 -2.09 -1.15 -0.06 -7.26 1.08 -2.12
0.04 -0.04 0.23 -0.95 1.33 -0.3 0.23 4.23
1.03 -0.22 1.2 0.75 -0.41 2.9 0.45 8.07
-0.31 0.83 1.59 -0.64 0.33 7.81 2.47 2.73
0.02 -1.03 -1.71 -1.01 -1.04 -5.1 2.84 -0.86
0.36 -0.27 -0.32 -0.71 0.8 -2.4 0.19 -3.8
0.58 0.52 0.59 1.78 1.59 -0.86 -5.16 -3.63
-1.39 1.33 -1.2 -0.35 2.47 -3.69 -6.39 -4.26
1.25 -0.13 0.71 0.18 1.11 -0.36 -0.76 2.73
-0.41 0.26 0.83 0.56 0.75 1.15 -1.94 1.76
-1.77 -0.43 -0.07 0.13 1.8 -1.4 -4.44 -2.32
1.36 -0.03 0.71 0.21 -0.64 1.58 1.88 3.06
