X1 X2 X3 X4 X5 Y1 Y2 Y3
-2.49 1.05 1.01 -0.05 -0.9 6.68 1.06 3.55
-0.15 -0.54 -0.84 -1.1 0.74 -0.91 1.07 -0.56
-0.85 0.09 1.27 -0.26 -1.11 4.37 2.49 0.14
0.04 -0.04 0.23 -0.95 1.33 -0.7 0.42 2.25
0.95 1.41 0.06 1.58 0.34 0.85 -3.55 3.68
-1.95 -0.44 -0.98 -0.16 0.54 -0.08 -2.8 -8.28
1.5 -0.81 0.49 0.37 0.37 -1.64 0.12 1.83
1.12 -0.35 -0.85 -0.85 -1.63 -1 4.84 2
-1.77 -0.43 -0.07 0.13 1.8 -3.04 -5.22 -1.82
0.92 -0.19 -0.56 -0.74 1.92 -1.9 -1.75 0.25
0.33 -0.23 1.98 -1.81 0.19 7 6.66 6.84
1.43 -0.25 0.35 -0.37 -2.35 0.88 5.13 5.82
1.02 0.3 0.78 -0.71 -0.66 3.06 3.35 3.11
-1.46 1.94 0.04 -0.39 0.75 3.96 -2.58 -1.44
-0.09 0.78 0.38 0.49 0.56 0.06 -2.32 0.49
-0.34 -0.78 0.12 1.98 1.35 -2.72 -5.53 -6.45
-1.57 0.47 -0.85 -0.62 -2.15 0.9 3.46 -1.12
0.41 -0.36 -0.6 0.59 1.39 -2.32 -3.48 -2.76
0.69 -0.28 0.71 0.11 -0.3 1.58 1.29 3.26
-0.63 0.38 -0.04 -1.24 -0.63 1.41 4.05 2.07
0.61 0.06 -0.91 -0.45 -0.94 -0.79 1.46 3.62
0.04 -0.51 0.56 2.16 -1.08 -0.75 -1.42 -0.07
0.5 -1.8 -1.82 -0.42 3.09 -8.93 -5.23 -5.07
-0.93 1.34 -1.87 -1.15 -0.42 -0.75 0.05 -1.91
0.34 0.89 0.72 -0.7 -1.25 4.6 4.5 1.44
-0.2 -0.49 -0.19 -0.51 -0.99 -0.01 2.4 0.01
-0.09 0.78 0.38 0.49 0.56 2.71 -1.67 1.17
-0.02 -1.67 0.13 0.39 0.29 -3.72 -1 -1.07
0.41 -0.5 -0.24 0.06 -0.38 -1.67 1.64 -0.57
-0.1 0.31 1.07 0.18 -0.28 2.27 1.4 -1.35
-0.52 -0.44 0.36 1.72 1.52 -1.75 -6.39 -6.47
-0.54 0.22 0.33 1.35 0.35 0.17 -4.07 -2.2
-0.16 -0.9 -1.14 0.43 0.09 -2.84 -1.73 -2.93
-0.11 -0.11 1.66 0.93 0.42 2.57 -0.65 0.63
-1.49 0.23 -0.71 -0.25 -0.82 0.47 0.34 -3.72
0.6 0.67 -0.87 -0.86 -1.81 -0.84 3.94 7.2
1.02 0.3 0.78 -0.71 -0.66 2.52 3.69 5.77
-1.57 0.47 -0.85 -0.62 -2.15 1.63 2.28 -0.88
1.14 2.07 0.39 1.76 -1.75 0.15 -0.47 4.67
-0.85 0.09 1.27 -0.26 -1.11 3.54 3.33 6.3
1.14 1.65 0.4 0.17 -0.48 4.22 0.21 10.16
0 0.35 0.29 -0.85 -0.93 4.84 3.83 1.44
-1.46 1.94 0.04 -0.39 0.75 2.26 -1.33 2.39
-1.94 -0.71 -0.55 -0.18 0.03 -2.55 -0.93 -7.54
1.25 -0.13 0.71 0.18 1.11 0.22 -0.31 -1.4
1.58 1.68 0.99 0.74 1.15 0.16 -2.81 3.37
-0.2 1.95 -1.09 0.54 0.72 -1.2 -4.44 0.75
1.44 0.49 0.48 -0.19 0.62 0.62 0.3 4.64
-0.97 -0.95 -1.69 0.74 0.06 -6.05 -4.12 -4.12
1.49 1.99 -0.47 1.43 0.1 -0.29 -3.91 2.11
