X1 X2 X3 X4 X5 Y1 Y2 Y3
1.44 0.49 0.48 -0.19 0.62 1.88 0.53 5.49
1.14 1.65 0.4 0.17 -0.48 3.83 1.49 5.74
0.95 1.41 0.06 1.58 0.34 -0.48 -4.65 -1.1
-1.71 -0.19 1.11 0.76 0.51 0.69 -1.7 0.2
2.5 -0.53 0.3 0.01 -0.63 0.25 3.12 5.74
-0.15 -0.54 -0.84 -1.1 0.74 0.14 -0.07 -5.16
1.32 -0.4 0.11 -0.81 0.33 -0.57 1.99 2.87
-1.36 1.13 -0.39 -0.73 0.18 2.18 0.36 0.29
1.14 2.07 0.39 1.76 -1.75 0.46 -2 7.01
1.5 -0.81 0.49 0.37 0.37 -0.82 0.1 1.88
0.04 -0.51 0.56 2.16 -1.08 -0.27 -1.24 0.33
0.03 -0.77 0.59 -0.06 -0.57 0.05 1.41 2.07
-1.86 0.76 -1.28 1.75 0.27 -3.04 -7.21 -6.65
-0.63 0.38 -0.04 -1.24 -0.63 2.94 2.38 -0.7
1.3 -1.71 0.46 -0.09 -0.5 -2.64 2.39 0.32
0.9 -1.37 -1.09 0.7 1.02 -5.46 -2.77 -6.17
-0.99 2.17 -1.34 0.15 0 -0.32 -2.54 -1.45
0.06 0.16 0.22 -1.45 -1.38 4.47 5.76 3.41
-0.19 -0.37 -0.77 1.76 0.3 -3.84 -5.17 -2.74
1.12 -0.35 -0.85 -0.85 -1.63 -2.26 5.1 2.13
-0.84 -0.76 -0.47 0.38 -1.41 -0.77 0.55 0.95
0.28 0.22 0.52 -0.2 1.36 1.18 -0.59 1.81
0.17 0.06 -0.82 -0.26 -0.46 -1.8 0.32 1.5
0.02 -1.03 -1.71 -1.01 -1.04 -3.96 2.36 -3.47
-0.33 0.33 0.75 0.37 -2.3 3.67 3.85 -0.44
1.14 1.65 0.4 0.17 -0.48 2.68 0.6 4.46
-0.14 -0.78 -1.06 1.1 -0.12 -3.15 -2.82 -3.63
0.79 -0.51 -0.07 -0.22 0.36 -2.36 -0.14 1.8
0.58 0.52 0.59 1.78 1.59 -1.4 -4.5 -0.98
0.52 0.41 -0.23 0.54 0.41 -1.82 -1.61 -3.62
-0.84 -0.27 0.47 -0.13 1.12 1.17 -1.98 -4.08
0.37 -0.24 0.82 -1.55 1.48 2.77 1.38 1.36
0.97 -0.08 0.54 1.97 -0.14 0.21 -2.52 0.91
-0.84 -0.27 0.47 -0.13 1.12 0.58 -1.17 -1.9
2.05 1.46 -0.08 -0.39 0.16 1.49 1.03 2.68
1.69 -0.92 -0.33 0.11 0.21 -4.6 0.46 4.52
-1.49 0.23 -0.71 -0.25 -0.82 -0.3 0.1 -0.25
-0.12 0.43 -0.31 1.31 1.03 -1.86 -5.52 -2.94
0.63 -0.91 -0.77 0.15 -0.88 -5.32 1.17 -1.03
-0.79 -1.27 1.68 -0.77 -0.1 2.55 3.82 4.94
1.58 0.3 1.8 -1.56 -0.03 7.1 5.45 12.73
0.71 1.06 -0.21 -1.6 0.8 4.07 2.16 1.88
-0.99 2.17 -1.34 0.15 0 -1.12 -2.65 0.93
-2.44 0.71 -0.92 -0.16 0.18 -1.3 -2.43 -6.93
0.63 -0.91 -0.77 0.15 -0.88 -2.89 1.3 -4.13
1.1 0.97 0.39 -0.57 -1.71 1.11 3.89 4.49
1.48 -0.9 -0.06 -0.15 -0.15 -2.28 1.51 1.99
0.9 -0.16 -2.75 0 0.2 -7.74 -3 -2.29
0.15 1.68 1.61 1.98 -2.08 4.93 -0.15 6.88
-0.99 2.17 -1.34 0.15 0 0.59 -3.33 -0.6
