X1 X2 X3 X4 X5 Y1 Y2 Y3
-3.04 -0.46 1.21 -1.08 2.2 4.58 -1.19 -0.24
-0.74 0.62 -0.46 -1.39 -0.82 3.18 3.85 2.57
-0.54 -1.34 1.01 0.17 -0.47 0.72 1 -2.92
1.53 2.18 0.85 -0.34 1.43 2.43 -0.48 7.44
-0.1 0.31 1.07 0.18 -0.28 4.17 1.41 4.65
-0.74 0.62 -0.46 -1.39 -0.82 4.22 2.71 -2.03
-0.91 0.75 1.17 -0.17 0.92 3.65 -0.7 2.44
-0.55 -2.53 -0.91 0.38 2 -6.92 -3.58 -7.43
1.28 -1.15 -0.86 -1.22 1.19 -5.63 -0.49 1.45
-0.86 -0.43 -1.94 1.2 0.37 -5.88 -5.66 -5.48
0.74 -0.12 0.88 -0.67 0.23 3.02 3.14 4.33
1.14 1.65 0.4 0.17 -0.48 2.11 0.15 6.14
0.11 1.77 0.08 -0.11 -0.43 3.1 -0.1 2.03
0.04 -0.51 0.56 2.16 -1.08 -0.69 -2.71 -3.53
0.22 -2.09 2.81 0.83 1.06 1.06 0.16 0.21
-0.14 -1.19 -0.21 -0.97 0.06 -0.18 2.63 -3.08
-2.44 0.71 -0.92 -0.16 0.18 -0.38 -1.85 -4.32
-0.85 0.09 1.27 -0.26 -1.11 5.88 3.55 2.48
0.17 0.06 -0.82 -0.26 -0.46 -0.85 0.26 1.04
0.1 0.66 -0.11 0.52 -0.32 -0.87 0.02 1.02
0.12 -0.2 0.63 -1.22 1.64 2.08 0.49 4.06
0.16 -1.19 0.35 0.98 0.41 -1.84 -1.22 -1.13
-0.81 -1.14 -0.41 -0.29 -0.46 -1.99 0.81 -0.64
-0.84 -0.76 -0.47 0.38 -1.41 -1.45 0.88 -3.23
-0.47 -1.29 0.67 -1.72 1.33 1.4 2.92 -3.62
0.41 -0.36 -0.6 0.59 1.39 -3.77 -3.92 -2.89
0.06 0.16 0.22 -1.45 -1.38 4.69 5.68 3.91
-0.52 -0.44 0.36 1.72 1.52 -3.39 -6.26 -2
-0.19 0.88 -0.57 0.27 1.55 -1.61 -3.1 -1.69
-0.09 0.78 0.38 0.49 0.56 0.4 -1.54 -2.89
0.1 1.06 -0.82 0.73 0.73 -1.23 -4.63 -3.9
1.32 -0.4 0.11 -0.81 0.33 0.24 1.43 1.18
-0.91 0.75 1.17 -0.17 0.92 5.55 -0.3 2.4
-0.2 -0.49 -0.19 -0.51 -0.99 0.08 2.7 -0.45
-0.79 -1.27 1.68 -0.77 -0.1 3.91 3.87 -0.92
0.69 -0.64 0.52 -0.54 -0.94 -0.27 3.96 6.79
-1.71 -0.17 -0.65 0.13 0.1 -1.6 -2.07 -2.15
0.1 0.66 -0.11 0.52 -0.32 0.49 -1.47 -0.07
0.79 -0.51 -0.07 -0.22 0.36 -3.5 0.64 0.33
-0.19 -0.37 -0.77 1.76 0.3 -5.4 -4.9 -0.37
-1.78 -2.36 1.25 1.08 0.6 0.44 -2.34 0.61
-2.12 -1.23 1.69 -0.42 -1.5 6.91 4.95 -0.95
0.15 1.68 1.61 1.98 -2.08 3.95 0.88 6.3
-0.3 -0.09 1.37 1.84 1.57 -1.06 -4.94 -4.91
-0.51 -0.24 1.13 -0.82 0.73 3.28 2 -1.56
-0.41 0.31 0.36 -0.68 1.17 -0.72 -1 -0.46
-0.14 -1.19 -0.21 -0.97 0.06 -1.47 2.03 0.1
0.62 0.69 -0.16 0.94 0.49 -1.39 -3.07 1.7
0.41 -0.5 -0.24 0.06 -0.38 -1.61 0.1 1.73
0.48 -1.08 -0.33 -1.31 0.27 -0.81 2.48 -0.27
