X1 X2 X3 X4 X5 Y1 Y2 Y3
0.5 -1.8 -1.82 -0.42 3.09 -7.58 -5.03 -4.47
1.53 2.18 0.85 -0.34 1.43 4.86 -0.01 6.75
-0.52 -0.44 0.36 1.72 1.52 -2.47 -6.5 -6.03
0.22 0.07 -0.83 -0.79 -1.87 -1.43 4.08 3.19
0.36 -0.27 -0.32 -0.71 0.8 0.13 0.48 2.14
2.05 1.46 -0.08 -0.39 0.16 3.22 0.5 1.25
1.44 0.49 0.48 -0.19 0.62 0.64 0.34 3.97
1.58 1.68 0.99 0.74 1.15 2.6 -1.5 4.55
0.33 -0.23 1.98 -1.81 0.19 4.21 4.64 7.89
1.34 0.96 0.08 2.99 0.65 -2.3 -7.09 0.36
-0.41 0.26 0.83 0.56 0.75 2.34 -1.04 1.63
2.5 -0.53 0.3 0.01 -0.63 -1.6 2.18 4.84
0.55 -0.31 -1.26 -1.25 -0.63 -1.88 2.18 -1.22
1.12 -0.35 -0.85 -0.85 -1.63 -0.72 3.43 -0.64
-1.36 -0.23 0.69 1.38 -0.34 -0.4 -2.64 -2.16
1.58 1.68 0.99 0.74 1.15 3.33 -1.66 2.31
-0.09 0.78 0.38 0.49 0.56 0.7 -1.25 -0.23
2.05 1.46 -0.08 -0.39 0.16 2.48 1.19 4.7
1.09 -0.81 0.89 -0.37 -1.29 2.19 4.5 4.62
-0.41 0.26 0.83 0.56 0.75 0.39 -0.84 0.54
0.02 -1.03 -1.71 -1.01 -1.04 -3.28 2.04 0.71
-1.94 -0.71 -0.55 -0.18 0.03 -0.79 -0.42 -2.92
-0.66 -2.01 -0.04 -0.73 0.76 -2.65 0.61 -1.52
2.02 -0.87 0.43 1.67 -0.01 -3.14 -1.62 -0.97
1.14 1.65 0.4 0.17 -0.48 3.08 1.17 1.34
1.43 -0.25 0.35 -0.37 -2.35 1.45 5.58 4.14
-0.79 -1.27 1.68 -0.77 -0.1 5.13 3.96 1.61
-0.12 0.43 -0.31 1.31 1.03 -3.23 -5.49 -0.59
-1.94 -0.71 -0.55 -0.18 0.03 -1.52 0.06 -4.27
-0.51 -0.24 1.13 -0.82 0.73 2.33 1.96 -2.24
-0.84 -0.27 0.47 -0.13 1.12 1.17 -1.98 -4.08
-0.81 -1.14 -0.41 -0.29 -0.46 -1.08 0.27 -3.24
0.13 0.64 0.8 0.29 -0.07 4.08 0.48 3.15
0.12 -0.2 0.63 -1.22 1.64 1.48 0.93 0.41
0.18 -0.13 -0.76 0.1 0.01 -1.89 -0.8 -3.37
1.73 -0.09 1.98 1.16 0.39 0.82 0.18 8.36
2.5 -0.53 0.3 0.01 -0.63 -1.34 2.67 4.75
0.55 -0.31 -1.26 -1.25 -0.63 -1.72 2.08 -0.66
0.24 -0.81 0.52 1.12 2.83 -5.19 -5.63 -3.2
-2.75 -1.98 -0.7 -1.83 0.11 -2.14 2.38 -1.47
0.69 0.74 0.94 -1.14 -0.25 5.75 3.32 10.51
-0.69 -2.6 -0.94 0.47 -0.51 -3.6 -0.14 -7.4
2.5 -0.53 0.3 0.01 -0.63 -2.17 3.3 4.79
1.66 -0.93 -1.79 -0.33 -1.3 -6.66 2.06 -4.41
-1.46 1.94 0.04 -0.39 0.75 3.71 -1.47 -1.98
-0.51 -0.24 1.13 -0.82 0.73 0.81 1 0.45
0.12 -0.2 0.63 -1.22 1.64 1.13 0.7 2.25
1.12 -0.35 -0.85 -0.85 -1.63 -1.49 4 3.36
0.22 -2.09 2.81 0.83 1.06 1.86 0.09 2.46
-1.39 1.33 -1.2 -0.35 2.47 -0.97 -5.93 -3.44
