X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.73 0.68 1.47 -0.91 -0.76 7.24 4.16 6.73
1.5 -0.81 0.49 0.37 0.37 -0.31 0.98 1.99
-2.49 1.05 1.01 -0.05 -0.9 5.56 0.23 -1.31
0.37 -0.24 0.82 -1.55 1.48 0.85 2.34 3.89
1.73 -0.09 1.98 1.16 0.39 3.4 0.35 6.21
1.14 2.07 0.39 1.76 -1.75 4.45 -1.12 0.99
1.02 0.3 0.78 -0.71 -0.66 2.65 3.69 5.31
1.25 -0.13 0.71 0.18 1.11 0.2 0 1.79
0.22 0.07 -0.83 -0.79 -1.87 -1.95 2.52 3.93
-0.53 -1.89 0.01 -0.55 0.36 -1.45 0.95 -1.85
-2.44 0.71 -0.92 -0.16 0.18 0.94 -1.74 -1.9
-0.1 0.9 0.53 -1.38 -0.2 3.52 2.77 5.3
1.48 -0.9 -0.06 -0.15 -0.15 -1.77 1.13 -0.47
0.28 0.22 0.52 -0.2 1.36 1.24 -1.88 -1.64
0.92 -0.19 -0.56 -0.74 1.92 -3.5 -2.05 -0.97
0.79 -0.51 -0.07 -0.22 0.36 -0.36 0.92 -1.84
1.14 2.07 0.39 1.76 -1.75 1.93 -0.09 3.55
-0.15 -0.54 -0.84 -1.1 0.74 -0.6 0.63 -1.71
0.1 0.66 -0.11 0.52 -0.32 0.77 -1.11 2.03
1.01 -1.52 -0.64 -0.67 0.66 -4.95 1.69 -1.33
-0.14 -1.19 -0.21 -0.97 0.06 -0.53 1.82 1.91
1.19 -0.39 0.04 -0.14 -0.4 -0.26 2.28 2.59
1.19 -0.39 0.04 -0.14 -0.4 -1.05 1.59 3.39
0.17 -0.34 -1.74 0.12 1.4 -5.84 -4.15 -5.57
1.25 -0.13 0.71 0.18 1.11 0.31 -0.27 -1.77
1.53 2.18 0.85 -0.34 1.43 3.72 -0.9 5.47
-2.44 0.71 -0.92 -0.16 0.18 1.63 -2.26 -2.93
1.53 2.18 0.85 -0.34 1.43 2.74 -1.28 7.3
0.15 1 -2.06 2.34 1.75 -7.61 -9.28 -6.1
0.65 0.81 1.43 -0.58 0.09 4.08 2.98 1.4
-1.35 -1.51 0.63 -1.42 -0.53 2.49 3.79 -3.42
-0.32 -0.11 0.17 0.48 1.46 -0.48 -3.95 -2.59
0.9 -1.37 -1.09 0.7 1.02 -4.76 -3.01 -3.28
-0.91 0.75 1.17 -0.17 0.92 3.91 -0.43 0.85
1.42 -0.27 -0.71 -0.04 0.71 -2.85 -0.9 -2.4
-0.2 1.95 -1.09 0.54 0.72 -2.23 -4.2 4.1
0.34 -0.54 -0.48 0.79 0.26 -3.53 -2.32 -0.76
-0.14 -1.19 -0.21 -0.97 0.06 -0.81 1.55 -1.8
-0.86 -0.43 -1.94 1.2 0.37 -8.64 -5.28 -6.3
0.51 -1.11 -0.15 1.32 1.5 -5.55 -4.56 0.01
-1.02 1.55 1.62 0.05 -1.51 8.83 2.41 10.45
0.97 0.42 0.01 1.43 -1.58 1.67 0.22 0.25
-0.55 -2.53 -0.91 0.38 2 -8.35 -3.75 -6.24
-1.88 1.24 -0.56 -0.39 0.51 0.08 -2 -4.9
0.16 -1.19 0.35 0.98 0.41 -2.03 -1.4 -5.13
0.9 -0.52 0.89 -1.62 1.09 -0.19 2.67 1.93
0.33 -0.23 1.98 -1.81 0.19 5.75 5.85 6.56
-0.12 0.43 -0.31 1.31 1.03 -2.46 -5.13 -0.62
0.22 0.07 -0.83 -0.79 -1.87 -0.31 3.3 3.43
0.52 0.41 -0.23 0.54 0.41 -0.62 -2.11 -0.11
