X1 X2 X3 X4 X5 Y1 Y2 Y3
1.61 1.07 2.16 0.34 -0.53 6.77 2.96 9.72
-0.2 -0.49 -0.19 -0.51 -0.99 1.14 3.29 1.29
0.69 -0.64 0.52 -0.54 -0.94 0.98 3.03 -0.14
0.04 -0.04 0.23 -0.95 1.33 -0.7 0.42 2.25
0.62 0.69 -0.16 0.94 0.49 0.09 -2.56 2.48
0.48 -1.08 -0.33 -1.31 0.27 0.81 2.24 -3.67
0.68 -0.69 -2.09 -1.15 -0.06 -5.32 0.72 -1.35
1.28 -1.15 -0.86 -1.22 1.19 -3.53 1.48 -0.81
-0.1 0.55 -0.2 1.41 -1.23 -2.41 -2.76 2.35
0.04 -0.04 0.23 -0.95 1.33 1.23 0.01 1.45
-0.2 0.89 0.37 -0.46 0.37 3.36 1.06 3.4
-0.14 -0.78 -1.06 1.1 -0.12 -5.4 -3.64 -2.59
-0.41 0.31 0.36 -0.68 1.17 1.66 -0.83 -0.8
1.28 -1.15 -0.86 -1.22 1.19 -3.26 0.07 -3.46
0.15 -0.68 0.58 -0.22 0.33 -0.7 0.48 0.05
0.34 0.89 0.72 -0.7 -1.25 5.22 4.62 2.76
0.53 -0.2 0.41 0.6 0.99 -1.29 -1.43 -1.26
-1.8 -0.55 1.85 -0.13 0.84 5.54 0.57 -0.27
0.37 -0.24 0.82 -1.55 1.48 2.81 1.87 3.51
1.65 0.29 1.58 -1.04 0.48 3.14 4.8 6.31
-1.46 1.94 0.04 -0.39 0.75 4.07 -2.13 3.96
0.69 -0.64 0.52 -0.54 -0.94 1.54 4.36 3.31
-0.3 -0.09 1.37 1.84 1.57 -0.09 -5.13 0.5
1.58 0.3 1.8 -1.56 -0.03 5.57 6.03 6.04
1.5 -0.81 0.49 0.37 0.37 -1.06 0.65 -2.41
0.9 -0.16 -2.75 0 0.2 -7.54 -2.99 -4.09
-0.84 -0.76 -0.47 0.38 -1.41 0.23 1.05 -1.61
-0.69 -2.6 -0.94 0.47 -0.51 -6.87 -1.04 -4.45
0.79 -0.51 -0.07 -0.22 0.36 -1.61 1.43 -0.13
0.1 0.66 -0.11 0.52 -0.32 -0.53 -0.58 -2.98
0.04 -0.04 0.23 -0.95 1.33 1.26 -0.5 -2.36
-0.66 -2.01 -0.04 -0.73 0.76 -1.74 0.07 -4.13
-0.41 1.05 -0.22 0.65 -1.16 2.71 -0.1 1.8
0.48 -1.08 -0.33 -1.31 0.27 -1.3 2.8 -0.81
-0.33 0.33 0.75 0.37 -2.3 3.73 3.56 0.79
0.97 -0.08 0.54 1.97 -0.14 -2.81 -2.64 4.55
0.9 -0.16 -2.75 0 0.2 -7.84 -2.96 -2.51
0.41 -0.36 -0.6 0.59 1.39 -3.37 -4.33 -3.41
0.69 0.74 0.94 -1.14 -0.25 2.1 4.11 5.17
2.02 -0.87 0.43 1.67 -0.01 -4.03 -1.58 3.98
-0.85 0.09 1.27 -0.26 -1.11 5.96 2.71 8.04
1.14 1.65 0.4 0.17 -0.48 4.97 1.13 3.35
-1.88 -0.07 1 -0.26 -0.46 2.53 1.97 1.53
-0.16 -0.9 -1.14 0.43 0.09 -5.81 -1.97 -7.39
0.2 0.8 1.61 -0.8 0.3 5.78 3.13 1.89
1.3 -1.71 0.46 -0.09 -0.5 -3.81 2.2 -0.38
-0.73 0.68 1.47 -0.91 -0.76 5.91 4.02 5.46
-2.75 -1.98 -0.7 -1.83 0.11 -1.45 2.14 -3.63
1.58 1.68 0.99 0.74 1.15 2.14 -2.69 6.32
1.14 1.65 0.4 0.17 -0.48 3.25 0.59 4.55
