X1 X2 X3 X4 X5 Y1 Y2 Y3
1.58 1.68 0.99 0.74 1.15 3.37 -2.12 6.76
-0.1 0.31 1.07 0.18 -0.28 4.04 1.8 3.35
-0.99 2.17 -1.34 0.15 0 -0.04 -3.93 -2.9
0.15 -0.68 0.58 -0.22 0.33 -1.02 1.2 2.06
1.33 0.16 0.66 -1.23 -1.02 4.26 5.87 7.6
-0.32 -0.11 0.17 0.48 1.46 1.08 -3.68 -5.35
1.48 -0.9 -0.06 -0.15 -0.15 -2.19 1.46 1.74
0.22 0.07 -0.83 -0.79 -1.87 0.15 4.49 1.67
1.09 -0.81 0.89 -0.37 -1.29 -0.29 3.41 5.74
1.5 -0.81 0.49 0.37 0.37 -0.82 0.1 1.88
-0.34 -0.78 0.12 1.98 1.35 -2.76 -5.32 -2.98
-1.91 1.68 -0.41 -0.52 0.55 1.85 -2.48 1.07
-0.33 0.33 0.75 0.37 -2.3 3.51 2.98 1.6
0.95 1.41 0.06 1.58 0.34 0.14 -4.62 -1.1
-1.36 -0.23 0.69 1.38 -0.34 -0.4 -2.64 -2.16
0.9 -0.16 -2.75 0 0.2 -6.51 -2.31 -5.89
1.03 -0.22 1.2 0.75 -0.41 1.03 1.62 1.62
-1.88 -0.07 1 -0.26 -0.46 5.13 1.75 0.04
0.5 1.35 -0.06 -1.47 1.13 2.96 0.72 4.58
-0.91 0.75 1.17 -0.17 0.92 2.86 0.35 1.88
1.66 -0.93 -1.79 -0.33 -1.3 -4.73 1.73 2.15
0.58 -1.57 -0.78 1.28 -0.11 -5.31 -1.88 -2.99
0.13 0.64 0.8 0.29 -0.07 2.08 0.07 4.11
-0.19 -0.37 -0.77 1.76 0.3 -4.51 -4.94 -5.32
-1.71 -0.17 -0.65 0.13 0.1 -0.89 -1.54 -6.85
0.48 -1.08 -0.33 -1.31 0.27 -1.39 2.49 -0.36
0.69 0.74 0.94 -1.14 -0.25 5.89 4.08 5.44
-0.1 0.9 0.53 -1.38 -0.2 3.11 2.85 5.45
-0.2 1.95 -1.09 0.54 0.72 -1.15 -3.33 -0.72
-1.36 1.13 -0.39 -0.73 0.18 1.26 0.02 -3.57
0.53 -0.2 0.41 0.6 0.99 -0.29 -2.71 -3.14
1.61 1.07 2.16 0.34 -0.53 6.34 2.21 6.5
-0.38 1.82 -0.34 -1.43 -0.07 5.13 2.12 4.14
-0.85 0.09 1.27 -0.26 -1.11 4.51 3.41 1.88
-0.16 1.5 -0.81 1.04 0.41 -0.81 -4.28 -2.92
-0.15 -0.54 -0.84 -1.1 0.74 -3.36 0.5 2.89
-0.2 1.95 -1.09 0.54 0.72 -1.23 -4.48 0.95
-0.19 0.88 -0.57 0.27 1.55 -0.99 -4.69 -2.11
-0.55 -2.53 -0.91 0.38 2 -9.33 -4.02 -7.51
0.1 1 0.37 0.53 2.76 -1.04 -5.4 3.21
-1.57 0.47 -0.85 -0.62 -2.15 2.77 2.29 5.33
-0.69 -0.41 1.04 0.01 0.51 4.12 0.5 -1.26
0.29 -1.55 0.92 0.51 -1.38 -1.1 3.43 1.81
-0.54 -1.34 1.01 0.17 -0.47 -0.48 1.81 -4.08
0.95 0.08 -0.7 0.22 1.05 -2.73 -2.1 -3.87
0.04 -0.04 0.23 -0.95 1.33 -1.55 -0.48 -0.46
1.28 -1.15 -0.86 -1.22 1.19 -4.09 0.72 0.12
0.66 1.53 -0.47 2.55 1.15 -3.15 -8.16 0.11
-1.88 1.24 -0.56 -0.39 0.51 1.16 -2.56 0.67
-0.52 -0.44 0.36 1.72 1.52 -1.84 -5.9 -3.74
