X1 X2 X3 X4 X5 Y1 Y2 Y3
0.61 0.06 -0.91 -0.45 -0.94 -0.4 1.81 3.08
2.25 -0.4 -1.08 1.58 -0.55 -4.67 -1.6 0.18
-0.32 -0.11 0.17 0.48 1.46 -1.17 -4.04 -4.24
-1.71 -0.17 -0.65 0.13 0.1 -2.58 -1.68 -1.76
-1.51 0.09 1.24 0.23 -0.6 5.11 1.39 3.12
-1.71 -0.17 -0.65 0.13 0.1 0.9 -2.36 -7.05
-0.38 1.82 -0.34 -1.43 -0.07 3.23 1.71 4.18
-1.88 1.24 -0.56 -0.39 0.51 1.63 -1.37 -1.09
0.58 -1.57 -0.78 1.28 -0.11 -7.63 -3.73 -1.54
-2.12 -1.23 1.69 -0.42 -1.5 5.26 4.43 1.34
1.02 0.3 0.78 -0.71 -0.66 3.81 4.54 5.85
-0.53 -1.89 0.01 -0.55 0.36 -2.65 0.49 -1.35
0.51 -1.11 -0.15 1.32 1.5 -4.42 -5.09 -5.02
-0.93 1.34 -1.87 -1.15 -0.42 -0.19 -0.72 -3.12
1.28 -1.15 -0.86 -1.22 1.19 -4.79 0.35 -1.3
-0.63 0.38 -0.04 -1.24 -0.63 3.4 3.64 -0.3
1.03 -0.22 1.2 0.75 -0.41 1.03 1.62 1.62
-0.09 1.36 0.91 -0.19 -0.08 5.71 1.23 3.65
0.36 -0.27 -0.32 -0.71 0.8 -0.48 -0.05 1.15
1.73 -0.09 1.98 1.16 0.39 1.16 0.95 4.21
-1.95 -0.44 -0.98 -0.16 0.54 -1.59 -2.68 -1.78
-1.8 0.05 1.19 1.13 0.23 2.82 -1.8 -0.33
-2.12 -1.23 1.69 -0.42 -1.5 4.34 4.43 2.22
1.14 1.65 0.4 0.17 -0.48 2.68 0.79 3.47
-0.41 0.31 0.36 -0.68 1.17 1.82 0.04 -2.84
0.63 -0.91 -0.77 0.15 -0.88 -3.2 0.77 -1.39
0.97 0.42 0.01 1.43 -1.58 1.06 0.06 2
-0.99 2.17 -1.34 0.15 0 -0.96 -3.69 1.14
0.11 1.77 0.08 -0.11 -0.43 2.64 1.39 3.02
-0.16 -0.9 -1.14 0.43 0.09 -5.19 -1.68 -7.44
-1.51 0.09 1.24 0.23 -0.6 4.5 0.39 -2.09
0.79 -0.51 -0.07 -0.22 0.36 -0.75 -0.29 -0.59
0.41 -0.97 0.29 0.25 -0.89 0.97 2.09 1.05
0.68 -0.69 -2.09 -1.15 -0.06 -5.06 0.99 -2.94
0.22 -2.09 2.81 0.83 1.06 2.49 0.73 -1.64
0.63 -0.91 -0.77 0.15 -0.88 -4.5 1.09 3.34
1.25 -0.13 0.71 0.18 1.11 -0.4 -0.8 2.93
-1.88 1.24 -0.56 -0.39 0.51 1.73 -2.61 -2.06
1.58 0.3 1.8 -1.56 -0.03 3.45 6.24 7.39
-1.88 1.24 -0.56 -0.39 0.51 0.44 -1.97 2.42
1.24 0.31 -0.44 -0.17 0.91 -0.19 -1.62 6.24
2.05 1.46 -0.08 -0.39 0.16 3.32 1.28 3.45
1.42 -0.27 -0.71 -0.04 0.71 -4.45 -0.51 1.12
-0.09 0.78 0.38 0.49 0.56 -0.22 -1.83 -2.83
-0.1 0.9 0.53 -1.38 -0.2 4.4 3.75 0.87
-1.77 -0.43 -0.07 0.13 1.8 -3.38 -4.56 -5.26
0.15 -0.68 0.58 -0.22 0.33 0 0.85 1.47
0.62 0.69 -0.16 0.94 0.49 -1.39 -3.07 1.7
0.22 -2.09 2.81 0.83 1.06 1.86 0.09 2.46
1.33 0.16 0.66 -1.23 -1.02 3.55 5.36 5.11
