X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.77 -0.43 -0.07 0.13 1.8 -0.17 -3.87 -1.87
-0.69 -0.41 1.04 0.01 0.51 2.97 0.86 1.14
0.06 0.16 0.22 -1.45 -1.38 2.96 4.7 1.08
-0.1 0.31 1.07 0.18 -0.28 1.61 1.34 4.04
0.24 -0.81 0.52 1.12 2.83 -1.79 -5.53 -0.98
-0.91 0.75 1.17 -0.17 0.92 6.02 -0.99 -2.01
0.15 -0.68 0.58 -0.22 0.33 0.09 0.81 1.22
1.12 -0.35 -0.85 -0.85 -1.63 -1 4.84 2
-1.25 1.57 -1.45 1.6 1.96 -5.53 -10.62 -2.49
-1.8 0.05 1.19 1.13 0.23 2.95 -2.5 -0.41
1.33 0.16 0.66 -1.23 -1.02 3.97 6.27 6.68
-0.32 -0.11 0.17 0.48 1.46 -1.68 -3.88 -0.36
-0.63 0.38 -0.04 -1.24 -0.63 2.62 2.65 0.42
1.58 0.3 1.8 -1.56 -0.03 6.13 5.26 4.83
-1.35 -1.51 0.63 -1.42 -0.53 0.85 4.01 -0.82
-0.14 -1.19 -0.21 -0.97 0.06 -0.18 2.63 -3.08
2.25 -0.4 -1.08 1.58 -0.55 -6.16 -1.71 -1.86
-1.2 0.48 0.98 0.1 -0.15 4.93 0.6 0.94
-3.04 -0.46 1.21 -1.08 2.2 4.19 -1.45 -1.31
-0.66 -2.01 -0.04 -0.73 0.76 -3.33 1.68 -3
1.87 -0.34 0.15 -0.48 -0.91 0.58 3.41 6.37
-0.03 0.23 0.25 -0.01 -0.4 1.56 1.38 2.18
-1.02 1.55 1.62 0.05 -1.51 7.02 2.82 6.81
0.17 -0.34 -1.74 0.12 1.4 -5.84 -4.15 -5.57
-0.47 -1.29 0.67 -1.72 1.33 1.4 2.92 -3.62
0.52 0.41 -0.23 0.54 0.41 -1.19 -2.1 -0.2
-0.32 -0.11 0.17 0.48 1.46 0.57 -3.06 -1.4
0.53 -0.2 0.41 0.6 0.99 -1.94 -2.58 1.33
-0.86 -0.43 -1.94 1.2 0.37 -6.75 -4.48 -6.75
0.12 -0.2 0.63 -1.22 1.64 0.77 1.12 -2.55
-0.16 -0.9 -1.14 0.43 0.09 -3.89 -2.67 -6.66
-0.16 1.5 -0.81 1.04 0.41 -0.64 -5.09 -1.58
-0.16 1.5 -0.81 1.04 0.41 0.45 -4.12 0.06
0.15 -0.68 0.58 -0.22 0.33 0.36 1.08 -0.37
-0.19 0.88 -0.57 0.27 1.55 -0.92 -4.01 -3.49
-0.17 -0.8 0.43 1.48 -0.51 -2.74 -1.41 2.83
0.37 -0.24 0.82 -1.55 1.48 1.83 1.95 3.5
1.44 0.49 0.48 -0.19 0.62 1.21 -0.09 2.32
-0.52 -0.44 0.36 1.72 1.52 -4.53 -5.48 -3.47
-1.39 1.33 -1.2 -0.35 2.47 -2.43 -5.68 0.44
1.09 -0.81 0.89 -0.37 -1.29 3.05 4.15 8.73
0.2 0.8 1.61 -0.8 0.3 7.75 3.13 3.52
-2.12 -1.23 1.69 -0.42 -1.5 3.49 5.08 1.8
0.41 -0.36 -0.6 0.59 1.39 -5.02 -3.72 -6.26
0.33 -1.74 0.89 -0.93 0.66 0.35 3.12 -2.87
-2.75 -1.98 -0.7 -1.83 0.11 -3.4 1.68 -6.16
-1.49 0.23 -0.71 -0.25 -0.82 -0.26 0.14 -0.45
0.47 -0.3 -0.75 0.5 -1.95 -2.16 1.44 1.58
-1.86 0.76 -1.28 1.75 0.27 -3.45 -7.26 -3.36
0.55 -0.31 -1.26 -1.25 -0.63 -1.54 2.47 -0.05
