X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.71 -0.19 1.11 0.76 0.51 3.04 -1.9 0.88
-0.1 0.55 -0.2 1.41 -1.23 0.54 -0.74 0.93
-1.8 -0.55 1.85 -0.13 0.84 4.03 -0.49 -2.61
1.14 -0.3 1.64 0.24 1.14 0.58 0.44 4.43
0.37 -0.24 0.82 -1.55 1.48 3.42 2.4 4.5
2.25 -0.4 -1.08 1.58 -0.55 -3.63 -2.74 -4.42
1.24 0.31 -0.44 -0.17 0.91 -1.9 -1.19 1.68
-0.53 -1.89 0.01 -0.55 0.36 -1.79 1.78 -2.59
-0.23 1.34 1.76 -0.75 -0.03 5.11 1.63 8.05
0.29 -1.55 0.92 0.51 -1.38 0.67 2.78 1.36
0.97 0.42 0.01 1.43 -1.58 0.37 0.58 3.03
0.6 0.67 -0.87 -0.86 -1.81 -0.11 3.17 4.15
0.41 -0.36 -0.6 0.59 1.39 -3.53 -4.23 -3.97
-1.77 -0.43 -0.07 0.13 1.8 -0.67 -4.66 -6.72
-0.34 -0.78 0.12 1.98 1.35 -4.71 -6.5 -4.68
-0.69 -0.41 1.04 0.01 0.51 2.85 0.65 -1.95
0.61 0.06 -0.91 -0.45 -0.94 -1.8 2.37 -0.33
0.36 -0.27 -0.32 -0.71 0.8 0.31 0.43 -0.3
1.42 -0.27 -0.71 -0.04 0.71 -2.64 -1.22 1.08
0.2 0.8 1.61 -0.8 0.3 4.5 3.69 5.21
-1.71 -0.17 -0.65 0.13 0.1 -0.61 -2.24 -0.54
0.04 -0.04 0.23 -0.95 1.33 1.1 0.71 1.53
-1.71 -0.19 1.11 0.76 0.51 1.69 -2.1 0.27
1.09 -0.81 0.89 -0.37 -1.29 1.52 4.73 2.04
1.14 1.65 0.4 0.17 -0.48 3.08 1.17 1.34
-1.36 1.13 -0.39 -0.73 0.18 1.89 -0.47 -0.15
-0.63 0.38 -0.04 -1.24 -0.63 4.06 3.32 2.13
-0.74 0.62 -0.46 -1.39 -0.82 1.05 2.59 3.12
-1.05 -1.27 1.7 -0.43 -0.67 3.35 4.87 0.67
-1 -0.45 -0.04 2.68 0.03 -3.95 -5.7 -8.38
0.53 -0.2 0.41 0.6 0.99 -0.29 -2.71 -3.14
0.37 -0.24 0.82 -1.55 1.48 2.77 1.38 1.36
1.34 0.96 0.08 2.99 0.65 -1.22 -6.66 0.27
0.1 0.66 -0.11 0.52 -0.32 0.18 -0.76 -0.01
-0.55 -2.53 -0.91 0.38 2 -6.75 -4.14 -9.76
-2.44 0.71 -0.92 -0.16 0.18 -1.35 -2.31 1.16
2.5 -0.53 0.3 0.01 -0.63 -1.34 2.67 4.75
0.48 -1.08 -0.33 -1.31 0.27 -0.99 2.09 -0.87
-0.15 -0.54 -0.84 -1.1 0.74 -4.17 0.58 -1.48
1.5 -0.81 0.49 0.37 0.37 -2.35 0.32 4.66
-1.36 1.13 -0.39 -0.73 0.18 3.42 -0.87 5.55
0.9 -0.52 0.89 -1.62 1.09 4.24 3.68 1.55
0.65 0.81 1.43 -0.58 0.09 3.57 3.16 6.45
-0.3 -0.09 1.37 1.84 1.57 -1.06 -4.94 -4.91
-0.52 -0.44 0.36 1.72 1.52 -2.1 -5.36 -6.58
0.58 -1.57 -0.78 1.28 -0.11 -7.97 -3.07 -4.98
0.37 -0.24 0.82 -1.55 1.48 1.87 1.99 3.3
-0.69 -0.41 1.04 0.01 0.51 1.63 -0.04 1.65
0.58 0.52 0.59 1.78 1.59 -1.34 -6.05 1.32
1.25 -0.13 0.71 0.18 1.11 0.48 -0.85 1.44
