X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.88 -0.07 1 -0.26 -0.46 4.74 1.53 2.56
0.51 -1.11 -0.15 1.32 1.5 -3.51 -3.9 -2.66
0.47 -0.3 -0.75 0.5 -1.95 -2.01 0.84 -2.42
-2.44 0.71 -0.92 -0.16 0.18 -1.34 -2.2 -1.59
-0.15 -0.54 -0.84 -1.1 0.74 -0.77 0.68 0.74
0.71 1.06 -0.21 -1.6 0.8 3.98 1.38 -0.31
-1.88 -0.07 1 -0.26 -0.46 3.49 1.34 1.03
-0.99 2.17 -1.34 0.15 0 0.31 -2.48 -0.25
0.17 -0.34 -1.74 0.12 1.4 -7.64 -5.48 -1.88
-2.12 -1.23 1.69 -0.42 -1.5 5.26 4.43 1.34
0.24 -0.81 0.52 1.12 2.83 -2.09 -5.14 -1.9
-0.17 -0.8 0.43 1.48 -0.51 -2.01 -2.19 -0.22
-2.75 -1.98 -0.7 -1.83 0.11 -1.01 1.85 -6.51
-0.55 -2.53 -0.91 0.38 2 -6.65 -4.99 -10.07
0.15 -0.68 0.58 -0.22 0.33 -0.7 0.48 0.05
-0.99 2.17 -1.34 0.15 0 1.04 -2.64 -2.5
-0.69 -0.41 1.04 0.01 0.51 1.49 0.75 -0.9
-1.94 -0.71 -0.55 -0.18 0.03 0.16 -0.68 -4.04
1.24 0.31 -0.44 -0.17 0.91 -1.05 -1.27 2.13
0.47 -0.3 -0.75 0.5 -1.95 -2.92 2.54 0.36
-0.41 0.31 0.36 -0.68 1.17 2.1 -0.66 3.47
-0.85 0.09 1.27 -0.26 -1.11 4.94 3.81 3.6
0.55 -0.31 -1.26 -1.25 -0.63 -2.4 2.5 1.91
-1.51 0.09 1.24 0.23 -0.6 3.83 1.08 -0.45
-0.1 0.9 0.53 -1.38 -0.2 4.49 3.79 0.5
-0.52 -0.44 0.36 1.72 1.52 -2.42 -5.88 -3.83
0.02 -1.03 -1.71 -1.01 -1.04 -2.28 2.54 -1.85
0.41 -0.36 -0.6 0.59 1.39 -4.75 -4.3 -1.06
1.3 -1.71 0.46 -0.09 -0.5 -1.89 3.87 0.26
-0.34 1.81 -1.07 -0.65 -0.88 0.61 1.02 -1.8
-0.41 0.26 0.83 0.56 0.75 2.02 -2.43 -2.67
0.6 0.67 -0.87 -0.86 -1.81 1.09 3.1 1.91
0.33 -1.74 0.89 -0.93 0.66 1.75 3.03 0.96
-0.3 -0.09 1.37 1.84 1.57 0.28 -4.84 -2
-0.63 0.38 -0.04 -1.24 -0.63 2.84 3.23 -0.39
-0.91 0.75 1.17 -0.17 0.92 2.53 -0.42 6.04
0.34 0.89 0.72 -0.7 -1.25 3.89 3.97 6.15
-1.36 1.13 -0.39 -0.73 0.18 2.28 -0.88 -0.67
1.69 -0.92 -0.33 0.11 0.21 -5.42 0.53 0.15
0.62 0.69 -0.16 0.94 0.49 -2.08 -2.83 3.87
0.22 0.07 -0.83 -0.79 -1.87 1.39 3.26 6.92
0.37 -0.24 0.82 -1.55 1.48 4.43 2.44 0.81
1.48 -0.9 -0.06 -0.15 -0.15 -3.15 2.09 2.24
-0.99 2.17 -1.34 0.15 0 -1.24 -3.12 -4.06
0.33 -1.74 0.89 -0.93 0.66 0.35 3.12 -2.87
-0.93 1.34 -1.87 -1.15 -0.42 -2.9 -0.62 -1.65
-1.02 1.55 1.62 0.05 -1.51 7.03 2.88 6.14
1.32 -0.4 0.11 -0.81 0.33 -0.59 1.95 3.54
-0.12 0.43 -0.31 1.31 1.03 -2.42 -5.47 -0.21
-1.46 1.94 0.04 -0.39 0.75 3.97 -2.01 0.85
