X1 X2 X3 X4 X5 Y1 Y2 Y3
1.49 1.99 -0.47 1.43 0.1 0.2 -3.68 4.68
1.36 -0.03 0.71 0.21 -0.64 2.15 2.79 4.26
0.15 1.68 1.61 1.98 -2.08 5.04 -0.4 2.47
-3.04 -0.46 1.21 -1.08 2.2 2.23 -0.98 -0.92
0.47 -0.36 -0.47 2.03 -1.93 -1.8 -0.97 1.05
0.69 -0.28 0.71 0.11 -0.3 3.1 1.08 -1.64
0.22 -2.09 2.81 0.83 1.06 1.85 0.48 1.38
1.14 0.92 -0.68 1.82 -1.23 -2.02 -1.72 0.83
0.17 -0.34 -1.74 0.12 1.4 -7.64 -5.48 -1.88
0.15 1.68 1.61 1.98 -2.08 5.73 0.22 5.85
-0.19 0.88 -0.57 0.27 1.55 -0.4 -3.4 0.07
1.34 0.96 0.08 2.99 0.65 -3.51 -7.55 0.86
0.24 -0.81 0.52 1.12 2.83 -2.84 -6.33 -4.64
-0.14 -0.78 -1.06 1.1 -0.12 -4.27 -3.76 -6.47
0.12 -0.2 0.63 -1.22 1.64 0.43 0.34 0.83
-0.96 0.62 -0.8 0.05 -1.65 1.24 1.44 -2.3
-0.02 -1.67 0.13 0.39 0.29 -3.07 0.16 -3.65
-0.84 -0.27 0.47 -0.13 1.12 1.95 -1.03 -1.31
0.18 -0.13 -0.76 0.1 0.01 -1.68 -1.12 0.11
-0.1 0.9 0.53 -1.38 -0.2 3.12 4.32 4.19
-1.39 1.33 -1.2 -0.35 2.47 -0.86 -6.05 -0.33
-0.2 -0.49 -0.19 -0.51 -0.99 0.5 3.11 1.26
-1.25 1.57 -1.45 1.6 1.96 -4 -9.47 -3.14
1.48 -0.9 -0.06 -0.15 -0.15 -2.01 1.62 -0.38
1.09 -0.81 0.89 -0.37 -1.29 1.92 5.11 -0.09
-0.33 0.33 0.75 0.37 -2.3 3.27 3.28 2.68
1.3 -1.71 0.46 -0.09 -0.5 0.01 3.04 0.99
0.29 -1.55 0.92 0.51 -1.38 -0.94 2.39 2.02
0.6 0.67 -0.87 -0.86 -1.81 0.23 4.81 2.38
-1.39 1.33 -1.2 -0.35 2.47 -2.17 -5.42 -6.94
-0.03 0.23 0.25 -0.01 -0.4 1.72 0.16 -1.71
1.3 -1.71 0.46 -0.09 -0.5 -1.04 2.15 -0.2
1.14 2.07 0.39 1.76 -1.75 3.98 -0.43 5.4
0.61 0.06 -0.91 -0.45 -0.94 -1.38 1.9 -0.03
0.33 -1.74 0.89 -0.93 0.66 0.49 2.87 -2.02
-1.39 1.33 -1.2 -0.35 2.47 -2.84 -5.59 1.21
-0.41 0.31 0.36 -0.68 1.17 1.12 -0.49 1.86
-0.19 -0.37 -0.77 1.76 0.3 -4.12 -5.53 -4.84
1.66 -0.93 -1.79 -0.33 -1.3 -7.53 2.26 -0.68
1.61 1.07 2.16 0.34 -0.53 4.81 2.97 11.02
-1.88 -0.07 1 -0.26 -0.46 5.21 0.91 5.6
0.5 1.35 -0.06 -1.47 1.13 4.58 1.3 1.88
-0.19 0.88 -0.57 0.27 1.55 -2.52 -3.62 0.03
-0.38 1.82 -0.34 -1.43 -0.07 2.15 1.88 -0.31
0.47 -0.36 -0.47 2.03 -1.93 -2.76 -0.94 -4.27
-1.36 -0.23 0.69 1.38 -0.34 -1.57 -2.83 -2.86
-0.91 0.75 1.17 -0.17 0.92 3.56 -0.66 2.69
1.14 0.92 -0.68 1.82 -1.23 -2.52 -2.57 2.18
0.51 -1.11 -0.15 1.32 1.5 -4.82 -5.14 -1.74
1.14 1.65 0.4 0.17 -0.48 3.25 0.59 4.55
